block_group,n_providers
010890002011,5
010890002021,4
010890002022,5
010890003011,4
010890003012,4
010890003013,5
010890003014,5
010890003021,5
010890003022,5
010890004031,4
010890004032,4
010890004033,5
010890004034,5
010890005011,4
010890005012,4
010890005021,4
010890005022,4
010890005031,4
010890005032,4
010890006011,4
010890006012,4
010890006021,4
010890006022,5
010890007011,4
010890007012,4
010890007013,4
010890007021,4
010890007022,4
010890009011,5
010890009012,5
010890009013,5
010890009021,4
010890009022,4
010890010001,4
010890010002,4
010890010003,4
010890010004,4
010890012001,4
010890012002,4
010890012003,4
010890013011,4
010890013012,4
010890013013,4
010890013021,4
010890014011,4
010890014021,4
010890014022,5
010890014023,4
010890014024,4
010890015001,4
010890015002,4
010890015003,4
010890015004,4
010890017001,4
010890017002,4
010890018011,4
010890018012,4
010890018013,4
010890019011,4
010890019012,4
010890019021,4
010890019031,4
010890020001,4
010890020002,4
010890020003,4
010890021001,4
010890021002,5
010890021003,4
010890022001,4
010890022002,4
010890023001,4
010890023002,4
010890023003,4
010890023004,4
010890023005,4
010890024001,4
010890024002,4
010890024003,4
010890024004,4
010890025011,4
010890025012,4
010890025021,4
010890025022,3
010890026001,4
010890026002,4
010890026003,4
010890026004,4
010890027011,4
010890027012,4
010890027211,4
010890027212,5
010890027221,4
010890027222,4
010890028011,5
010890028012,4
010890028013,4
010890028021,4
010890028022,4
010890029111,4
010890029112,4
010890029113,4
010890029121,4
010890029211,4
010890029212,4
010890029213,4
010890029214,4
010890029221,4
010890029222,4
010890029223,4
010890030001,5
010890030002,4
010890030003,4
010890031001,4
010890031002,4
010890031003,4
010890101003,5
010890102002,5
010890103011,2
010890103012,3
010890105013,3
010890106121,5
010890106211,5
010890106212,4
010890106221,5
010890106222,5
010890106223,5
010890106224,4
010890106231,5
010890107011,5
010890107014,5
010890107021,3
010890107022,5
010890107023,4
010890107024,3
010890108001,5
010890108002,5
010890108003,5
010890108004,4
010890108005,5
010890109013,3
010890110112,3
010890110212,3
010890111001,4
010890112002,4
010890112003,4
010890112004,4
010890113001,5
010890113003,3
040130820021,2
040130820022,2
040130820023,2
040130820071,2
040130820072,2
040130820081,2
040130820082,2
040130820083,2
040130820091,2
040130820092,2
040130820101,2
040130820102,2
040130820121,2
040130820122,2
040130820161,2
040130820171,2
040130820172,2
040130820181,2
040130820182,2
040130820281,2
040130820282,2
040130822052,2
040130822061,2
040130927191,2
040130927203,2
040131032052,2
040131032081,2
040131032082,2
040131032083,2
040131032091,2
040131032092,2
040131032101,2
040131032102,2
040131032103,2
040131032104,2
040131032105,2
040131032106,2
040131032111,2
040131032112,2
040131032113,2
040131032122,2
040131032151,2
040131032152,2
040131032163,2
040131032164,2
040131033021,2
040131033022,2
040131033023,2
040131033024,2
040131033031,2
040131033032,2
040131033033,2
040131033041,2
040131033042,2
040131033043,2
040131033051,2
040131033052,2
040131033061,2
040131033062,2
040131034001,2
040131034002,2
040131034003,2
040131035011,2
040131035012,2
040131035013,2
040131035021,2
040131035022,2
040131035023,2
040131035024,2
040131035025,2
040131036041,2
040131036042,2
040131036043,2
040131036051,2
040131036052,2
040131036053,2
040131036054,2
040131036061,2
040131036062,2
040131036063,2
040131036071,2
040131036072,2
040131036073,2
040131036074,2
040131036081,2
040131036082,3
040131036091,2
040131036092,2
040131036093,2
040131036094,2
040131036111,2
040131036112,2
040131036113,2
040131036121,1
040131036122,2
040131036123,3
040131036124,2
040131036141,2
040131036142,2
040131036151,2
040131036152,2
040131036153,2
040131037011,2
040131037012,2
040131037013,2
040131037021,2
040131037022,2
