address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"15310 Holmes Ave Cleveland, OH 44110",cleveland,OH,41.5600862,-81.5743331,390351174001,1650451492,EarthLink,59.95,3.0,1.0,Mbps,Copper,Earthlink Internet 3Mx1M,3.0,59.95,Slow (<25 Mbps),D,0.8652392947103275,less while,27829.0,4009.0,Middle-Lower,1637.6469035273346,2.0,0.5511811023622047,AT&T
"15625 School Ave Cleveland, OH 44110",cleveland,OH,41.5598377,-81.5719777,390351174001,1650451477,EarthLink,59.95,3.0,1.0,Mbps,Copper,Earthlink Internet 3Mx1M,3.0,59.95,Slow (<25 Mbps),D,0.8652392947103275,less while,27829.0,4009.0,Middle-Lower,1637.6469035273346,2.0,0.5511811023622047,AT&T
"15507 Saranac Rd Cleveland, OH 44110",cleveland,OH,41.5620895,-81.5734796,390351174001,1650451489,EarthLink,59.95,3.0,1.0,Mbps,Copper,Earthlink Internet 3Mx1M,3.0,59.95,Slow (<25 Mbps),,0.8652392947103275,less while,27829.0,4009.0,Middle-Lower,1637.6469035273346,2.0,0.5511811023622047,AT&T
"675 E 160th St Cleveland, OH 44110",cleveland,OH,41.5624512,-81.5685361,390351174001,1650451476,EarthLink,59.95,3.0,1.0,Mbps,Copper,Earthlink Internet 3Mx1M,3.0,59.95,Slow (<25 Mbps),D,0.8652392947103275,less while,27829.0,4009.0,Middle-Lower,1637.6469035273346,2.0,0.5511811023622047,AT&T
"678 E 162nd St Cleveland, OH 44110",cleveland,OH,41.5625572,-81.5677845,390351174001,1650451466,EarthLink,59.95,3.0,1.0,Mbps,Copper,Earthlink Internet 3Mx1M,3.0,59.95,Slow (<25 Mbps),D,0.8652392947103275,less while,27829.0,4009.0,Middle-Lower,1637.6469035273346,2.0,0.5511811023622047,AT&T
"15607 Saranac Rd Cleveland, OH 44110",cleveland,OH,41.5626558,-81.5721775,390351174001,1650451475,EarthLink,59.95,3.0,1.0,Mbps,Copper,Earthlink Internet 3Mx1M,3.0,59.95,Slow (<25 Mbps),,0.8652392947103275,less while,27829.0,4009.0,Middle-Lower,1637.6469035273346,2.0,0.5511811023622047,AT&T
"2180 W 95th St Cleveland, OH 44102",cleveland,OH,41.4720362,-81.7487802,390351016034,1650482558,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),C,0.4070247933884297,more white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485,AT&T
"2222 W 98th St Cleveland, OH 44102",cleveland,OH,41.4709375,-81.7512868,390351016034,1650482572,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.4070247933884297,more white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485,AT&T
"9619 Willard Ave Cleveland, OH 44102",cleveland,OH,41.4709861,-81.7501142,390351016034,1650482579,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),C,0.4070247933884297,more white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485,AT&T
"9817 Macon Ave Cleveland, OH 44102",cleveland,OH,41.4718764,-81.7517714,390351016034,1650482557,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.4070247933884297,more white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485,AT&T
"2155 W 100th St Cleveland, OH 44102",cleveland,OH,41.4727918,-81.7528129,390351016034,1650482599,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.4070247933884297,more white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485,AT&T
"2126 W 98th St Cleveland, OH 44102",cleveland,OH,41.4735282,-81.7512633,390351016034,1650482576,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.4070247933884297,more white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485,AT&T
