address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"4311 Shadow Oaks Cv, Memphis TN 38125",memphis,TN,35.0307707,-89.8272101,471570217444,1650283101,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"4348 Spring Oak Cv, Memphis TN 38125",memphis,TN,35.0297936,-89.8241691,471570217444,1650283090,AT&T,55.0,100.0,20.0,Mbps,Not Fiber,Internet 100,100.0,55.0,Fast (100-199),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"7183 Snyder Rd, Memphis TN 38125",memphis,TN,35.0322467,-89.8237783,471570217444,1650283151,AT&T,55.0,100.0,20.0,Mbps,Not Fiber,Internet 100,100.0,55.0,Fast (100-199),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"4411 Timber Rise Rd, Memphis TN 38125",memphis,TN,35.0279734,-89.8282341,471570217444,1650283090,AT&T,55.0,75.0,20.0,Mbps,Not Fiber,Internet 75,75.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"6974 Timber Rise Cv, Memphis TN 38125",memphis,TN,35.0285656,-89.8308117,471570217444,1650283147,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"7016 Rockingham Rd, Memphis TN 38125",memphis,TN,35.0278573,-89.829352,471570217444,1650283148,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"7183 Country Oaks Dr, Memphis TN 38125",memphis,TN,35.0304145,-89.8240056,471570217444,1650283111,AT&T,55.0,100.0,20.0,Mbps,Not Fiber,Internet 100,100.0,55.0,Fast (100-199),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"7116 Oak Chase Ln, Memphis TN 38125",memphis,TN,35.0282669,-89.826089,471570217444,1650283089,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"6995 Timber Rise Cv, Memphis TN 38125",memphis,TN,35.0283069,-89.8300753,471570217444,1650283102,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"4305 Crimson Leaf Cv, Memphis TN 38125",memphis,TN,35.030899,-89.8284029,471570217444,1650283101,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"7131 Oak Chase Ln, Memphis TN 38125",memphis,TN,35.0278866,-89.8255599,471570217444,1650283090,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"4269 Timber Rise Rd, Memphis TN 38125",memphis,TN,35.0319814,-89.8294157,471570217444,1650283101,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"4371 Oak Chase Cv, Memphis TN 38125",memphis,TN,35.0290485,-89.8234701,471570217444,1650283150,AT&T,55.0,75.0,20.0,Mbps,Not Fiber,Internet 75,75.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"7040 Rockingham Rd, Memphis TN 38125",memphis,TN,35.0278666,-89.8285536,471570217444,1650283097,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"7201 Oak Chase Ln, Memphis TN 38125",memphis,TN,35.0283822,-89.8231858,471570217444,1650283101,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"7132 Shadow Oaks Dr, Memphis TN 38125",memphis,TN,35.0290777,-89.8251168,471570217444,1650283088,AT&T,55.0,75.0,20.0,Mbps,Not Fiber,Internet 75,75.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"4266 Riverdale Rd, Memphis TN 38141",memphis,TN,35.0319967,-89.8310001,471570217444,1650283160,AT&T,55.0,25.0,5.0,Mbps,Not Fiber,Internet 25,25.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
"7082 Shadow Oaks Dr, Memphis TN 38125",memphis,TN,35.0299633,-89.827135,471570217444,1650283098,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.7626459143968871,more white,56842.0,-14978.0,Middle-Upper,1768.7299555408736,2.0,0.8144104803493449
