address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"8503 La Palomita Rd NE Albuquerque, NM 87111",albuquerque,NM,35.1194327,-106.5493977,350010001202,1652029470,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"8813 Candelaria Rd NE Albuquerque, NM 87112",albuquerque,NM,35.1167134,-106.5455725,350010001202,1652695293,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"8905 Aztec Rd NE Albuquerque, NM 87111",albuquerque,NM,35.1197801,-106.5444055,350010001202,1653235314,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"8811 Aztec Rd NE Albuquerque, NM 87111",albuquerque,NM,35.1197932,-106.5458225,350010001202,1652745791,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"8802 Cottonwood Rd NE Albuquerque, NM 87111",albuquerque,NM,35.1186481,-106.5462521,350010001202,1652995152,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"8604 La Sala Del Sur NE Albuquerque, NM 87111",albuquerque,NM,35.1205633,-106.5477333,350010001202,1653265877,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"8810 Shoshone Rd NE Albuquerque, NM 87111",albuquerque,NM,35.1170489,-106.5457544,350010001202,1652950865,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"8914 Cottonwood Rd NE Albuquerque, NM 87111",albuquerque,NM,35.1186076,-106.5448652,350010001202,1652360731,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"8421 La Camila Rd NE Albuquerque, NM 87111",albuquerque,NM,35.1184908,-106.5494878,350010001202,1651568470,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"3110 General Chennault St NE Albuquerque, NM 87111",albuquerque,NM,35.1182395,-106.5451901,350010001202,1653188487,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"9002 Cottonwood Rd NE Albuquerque, NM 87111",albuquerque,NM,35.1186237,-106.5446595,350010001202,1653012122,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"2908 La Camila Rd NE Albuquerque, NM 87111",albuquerque,NM,35.1169902,-106.5481166,350010001202,1652198490,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"3204 La Sala Cuadra NE Albuquerque, NM 87111",albuquerque,NM,35.1207041,-106.5447919,350010001202,1651878133,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"8922 Aztec Rd NE Albuquerque, NM 87111",albuquerque,NM,35.1193448,-106.5436057,350010001202,1653149252,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"3412 La Sala Del Este NE Albuquerque, NM 87111",albuquerque,NM,35.122862,-106.5447311,350010001202,1652256105,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
"2903 General Stilwell St NE Albuquerque, NM 87111",albuquerque,NM,35.1167272,-106.5467717,350010001202,1653289297,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.6791641057160418,less white,37857.0,16079.0,Low,2547.9083504681607,2.0,0.7567114093959731,CenturyLink
