address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"929 Jett St NW, Atlanta GA 30314",atlanta,GA,33.7672787,-84.4179015,131210023003,1650289389,AT&T,55.0,1.0,1.0,Mbps,Not Fiber,Internet Basic 1.5,1.0,55.0,Slow (<25 Mbps),D,1.0,least white,19844.0,44335.0,Low,614.1464803329186,2.0,0.6767676767676768
"933 Jett St NW, Atlanta GA 30314",atlanta,GA,33.7672792,-84.4180337,131210023003,1650289388,AT&T,55.0,1.0,1.0,Mbps,Not Fiber,Internet Basic 1.5,1.0,55.0,Slow (<25 Mbps),D,1.0,least white,19844.0,44335.0,Low,614.1464803329186,2.0,0.6767676767676768
"848 Beechwood Ave SW, Atlanta GA 30310",atlanta,GA,33.7199753,-84.4156922,131210065003,1650281297,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"669 Erin Ave SW, Atlanta GA 30310",atlanta,GA,33.7198895,-84.4095755,131210065003,1650281320,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"831 Erin Ave SW, Atlanta GA 30310",atlanta,GA,33.7195647,-84.4151768,131210065003,1650281319,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"865 Dill Ave SW, Atlanta GA 30310",atlanta,GA,33.7185845,-84.4164027,131210065003,1650281316,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"1290 Hartford Ave SW, Atlanta GA 30310",atlanta,GA,33.7197074,-84.4165479,131210065003,1650281308,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"685 Erin Ave SW, Atlanta GA 30310",atlanta,GA,33.7198902,-84.4100659,131210065003,1650281320,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"843 Dill Ave SW, Atlanta GA 30310",atlanta,GA,33.7185825,-84.4155742,131210065003,1650281298,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"675 Dill Ave SW, Atlanta GA 30310",atlanta,GA,33.7186268,-84.4098249,131210065003,1650281297,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"813 Erin Ave SW, Atlanta GA 30310",atlanta,GA,33.7195575,-84.4145191,131210065003,1650281309,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"731 Dill Ave SW, Atlanta GA 30310",atlanta,GA,33.7186143,-84.4117157,131210065003,1650281310,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"1255 Allene Ave SW, Atlanta GA 30310",atlanta,GA,33.7206664,-84.4131991,131210065003,1650281297,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"1283 Allene Ave SW, Atlanta GA 30310",atlanta,GA,33.7198129,-84.4131926,131210065003,1650281313,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
"1264 Hartford Ave SW, Atlanta GA 30310",atlanta,GA,33.7203837,-84.4165543,131210065003,1650281298,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.8553971486761711,less white,37857.0,26322.0,Middle-Lower,803.946707011365,2.0,0.6898148148148148
