address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"2575 Alston Dr SE Atlanta, GA 30317",atlanta,GA,33.7425828,-84.3023083,130899800001,1652263500,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.0,most white,,,,0.0,2.0,,AT&T
"2842 Marco Dr NW Atlanta, GA 30318",atlanta,GA,33.7981201,-84.4770867,131210087003,1652249891,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.8834547346514048,less white,31285.0,32894.0,Low,2124.45879909495,2.0,0.6322930800542741,AT&T
"1601 Jackson Trace Ct NW Atlanta, GA 30318",atlanta,GA,33.8000059,-84.476139,131210087003,1653422510,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.8834547346514048,less white,31285.0,32894.0,Low,2124.45879909495,2.0,0.6322930800542741,AT&T
"2796 Argyle Dr NW Atlanta, GA 30318",atlanta,GA,33.7990628,-84.4793923,131210087003,1653159691,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.8834547346514048,less white,31285.0,32894.0,Low,2124.45879909495,2.0,0.6322930800542741,AT&T
"2873 Argyle Dr NW Atlanta, GA 30318",atlanta,GA,33.7998123,-84.4817248,131210087003,1652439842,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.8834547346514048,less white,31285.0,32894.0,Low,2124.45879909495,2.0,0.6322930800542741,AT&T
"2795 Argyle Dr NW Atlanta, GA 30318",atlanta,GA,33.7996068,-84.4796486,131210087003,1653375975,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.8834547346514048,less white,31285.0,32894.0,Low,2124.45879909495,2.0,0.6322930800542741,AT&T
"2889 Delray Dr NW Atlanta, GA 30318",atlanta,GA,33.7964834,-84.4778958,131210087003,1652389451,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.8834547346514048,less white,31285.0,32894.0,Low,2124.45879909495,2.0,0.6322930800542741,AT&T
"1538 Glenrock Dr NW Atlanta, GA 30318",atlanta,GA,33.7971869,-84.4770974,131210087003,1652943675,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.8834547346514048,less white,31285.0,32894.0,Low,2124.45879909495,2.0,0.6322930800542741,AT&T
"1625 Bridgeport Dr NW Atlanta, GA 30318",atlanta,GA,33.7994588,-84.4765275,131210087003,1652191559,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.8834547346514048,less white,31285.0,32894.0,Low,2124.45879909495,2.0,0.6322930800542741,AT&T
"2908 Delray Dr NW Atlanta, GA 30318",atlanta,GA,33.7969462,-84.4785661,131210087003,1652893326,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.8834547346514048,less white,31285.0,32894.0,Low,2124.45879909495,2.0,0.6322930800542741,AT&T
