address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"1419 CONCORD DR,BILLINGS,MT 59101,USA",billings,MT,45.7691241,-108.5523191,301110010003,1650125413,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888
"1207 GLENCOE DR,BILLINGS,MT 59101,USA",billings,MT,45.7666497,-108.546451,301110010003,1650125412,CenturyLink,50.0,20.0,1.5,Mbps,Not Fiber,HSI Upto 20 Mbps/1.5 Mbps Prepaid,20.0,50.0,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888
"1220 HARNEY DR,BILLINGS,MT 59101,USA",billings,MT,45.7655073,-108.5471143,301110010003,1650125402,CenturyLink,50.0,30.0,1.5,Mbps,Not Fiber,HSI Upto 30 Mbps/1.5 Mbps Prepaid,30.0,50.0,Medium (25-99),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888
"1320 ELDORADO DR,BILLINGS,MT 59101,USA",billings,MT,45.7679748,-108.5495402,301110010003,1650125411,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888
"1246 CENTRAL AVE,BILLINGS,MT 59102,USA",billings,MT,45.7695324,-108.5486564,301110010003,1650125402,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888
"1308 CONCORD DR,BILLINGS,MT 59101,USA",billings,MT,45.768807,-108.5488174,301110010003,1650125403,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888
"1327 ELDORADO DR,BILLINGS,MT 59101,USA",billings,MT,45.7683146,-108.5500164,301110010003,1650125417,CenturyLink,50.0,30.0,1.5,Mbps,Not Fiber,HSI Upto 30 Mbps/1.5 Mbps Prepaid,30.0,50.0,Medium (25-99),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888
"1324 ELDORADO DR,BILLINGS,MT 59101,USA",billings,MT,45.7679642,-108.5497518,301110010003,1650125404,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888
"1411 CONCORD DR,BILLINGS,MT 59101,USA",billings,MT,45.769104,-108.5518765,301110010003,1650125426,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888
"348 FOSTER LN,BILLINGS,MT 59101,USA",billings,MT,45.7629953,-108.5450765,301110010003,1650125426,CenturyLink,50.0,20.0,1.5,Mbps,Not Fiber,HSI Upto 20 Mbps/1.5 Mbps Prepaid,20.0,50.0,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888
