address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"1002 Howard Ave Billings, MT 59102",billings,MT,45.7728727,-108.5410758,301110010004,1650572899,EarthLink,49.95,3.0,0.512,Mbps,Copper,EarthLink Internet 3M,3.0,49.95,Slow (<25 Mbps),,0.1158008658008658,less white,39745.0,20287.0,Low,2658.8474299246946,2.0,0.820040899795501,CenturyLink
"1036 Howard Ave Billings, MT 59102",billings,MT,45.7728729,-108.5427286,301110010004,1650572940,EarthLink,49.95,3.0,0.512,Mbps,Copper,EarthLink Internet 3M,3.0,49.95,Slow (<25 Mbps),,0.1158008658008658,less white,39745.0,20287.0,Low,2658.8474299246946,2.0,0.820040899795501,CenturyLink
"1415 Concord Dr Billings, MT 59101",billings,MT,45.7691238,-108.5520546,301110010003,1653105774,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,60.0,69.95,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888,CenturyLink
"37 S 12th St W Billings, MT 59101",billings,MT,45.7685512,-108.5458409,301110010003,1653072859,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888,CenturyLink
"1420 Central Ave Billings, MT 59102",billings,MT,45.7695278,-108.5521143,301110010003,1652860401,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,60.0,69.95,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888,CenturyLink
"1335 Concord Dr Billings, MT 59101",billings,MT,45.7691331,-108.5504552,301110010003,1653015660,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888,CenturyLink
"48 Foster Ln Billings, MT 59101",billings,MT,45.7680538,-108.5450263,301110010003,1651690952,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888,CenturyLink
"231 S 12th St W Billings, MT 59101",billings,MT,45.7649333,-108.5458076,301110010003,1652857392,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,40.0,69.95,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888,CenturyLink
"1440 Eldorado Dr Billings, MT 59101",billings,MT,45.7679387,-108.5532777,301110010003,1652846481,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888,CenturyLink
"97 S 12th St W Billings, MT 59101",billings,MT,45.7682273,-108.545813,301110010003,1651766645,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888,CenturyLink
"1328 Eldorado Dr Billings, MT 59101",billings,MT,45.767972,-108.5499899,301110010003,1653397521,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888,CenturyLink
"10 Foster Ln Billings, MT 59101",billings,MT,45.7693649,-108.5450263,301110010003,1652245342,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888,CenturyLink
"346 Foster Ln Billings, MT 59101",billings,MT,45.7631871,-108.5450312,301110010003,1652641258,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.160513643659711,less white,27054.0,32978.0,Low,1654.5211183819156,2.0,0.7406340057636888,CenturyLink
