address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"4314 W CLARK ST,BOISE,ID 83705,USA",boise,ID,43.5916867,-116.235618,160010014002,1650130533,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4516 W OVERLAND RD,BOISE,ID 83705,USA",boise,ID,43.5905399,-116.2376199,160010014002,1650130574,CenturyLink,50.0,140.0,20.0,Mbps,Not Fiber,HSI Upto 140 Mbps/20 Mbps Prepaid,140.0,50.0,Fast (100-199),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4721 W CAMAS ST,BOISE,ID 83705,USA",boise,ID,43.5950614,-116.2407526,160010014002,1650130580,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"1123 S ABBEY CIR,BOISE,ID 83705,USA",boise,ID,43.5939696,-116.2366859,160010014002,1650130533,CenturyLink,50.0,100.0,10.0,Mbps,Not Fiber,HSI Upto 100 Mbps/10 Mbps Prepaid,100.0,50.0,Fast (100-199),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4320 W CAMAS ST,BOISE,ID 83705,USA",boise,ID,43.5953392,-116.2358451,160010014002,1650130580,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"1030 S LAREDO CIR,BOISE,ID 83705,USA",boise,ID,43.5945086,-116.2380142,160010014002,1650130551,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4310 W CAMAS ST,BOISE,ID 83705,USA",boise,ID,43.5953741,-116.2351622,160010014002,1650130542,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4614 W CLARK ST,BOISE,ID 83705,USA",boise,ID,43.591731,-116.2395211,160010014002,1650130550,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4925 W BLASER CIR,BOISE,ID 83705,USA",boise,ID,43.596031,-116.242668,160010014002,1650130545,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4915 W CAMAS ST,BOISE,ID 83705,USA",boise,ID,43.5951276,-116.2427775,160010014002,1650130548,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4803 W MARVIN ST,BOISE,ID 83705,USA",boise,ID,43.5907163,-116.2413235,160010014002,1650130540,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4426 W CLARK CIR,BOISE,ID 83705,USA",boise,ID,43.5922477,-116.2365024,160010014002,1650130561,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"1103 S ABBEY CIR,BOISE,ID 83705,USA",boise,ID,43.5941176,-116.2363668,160010014002,1650130522,CenturyLink,50.0,80.0,10.0,Mbps,Not Fiber,HSI Upto 80 Mbps/10 Mbps Prepaid,80.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4813 W EDSON ST,BOISE,ID 83705,USA",boise,ID,43.5941303,-116.2417063,160010014002,1650130522,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"1047 S ABBEY LN,BOISE,ID 83705,USA",boise,ID,43.5944931,-116.2366122,160010014002,1650130533,CenturyLink,50.0,30.0,1.5,Mbps,Not Fiber,HSI Upto 30 Mbps/1.5 Mbps Prepaid,30.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4315 TETON ST,BOISE,ID 83705,USA",boise,ID,43.5923596,-116.2354576,160010014002,1650130523,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4219 W KOOTENAI ST,BOISE,ID 83705,USA",boise,ID,43.5932697,-116.2344376,160010014002,1650130570,CenturyLink,50.0,80.0,10.0,Mbps,Not Fiber,HSI Upto 80 Mbps/10 Mbps Prepaid,80.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4860 W BLASER CIR,BOISE,ID 83705,USA",boise,ID,43.5963414,-116.241708,160010014002,1650130570,CenturyLink,50.0,20.0,1.5,Mbps,Not Fiber,HSI Upto 20 Mbps/1.5 Mbps Prepaid,20.0,50.0,Slow (<25 Mbps),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4880 W CLARK ST,BOISE,ID 83705,USA",boise,ID,43.5921305,-116.2421946,160010014002,1650130537,CenturyLink,50.0,30.0,1.5,Mbps,Not Fiber,HSI Upto 30 Mbps/1.5 Mbps Prepaid,30.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"1115 S WILSON ST,BOISE,ID 83705,USA",boise,ID,43.5940168,-116.2353193,160010014002,1650130558,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4205 TETON ST,BOISE,ID 83705,USA",boise,ID,43.592396,-116.233837,160010014002,1650130522,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4566 W KOOTENAI ST,BOISE,ID 83705,USA",boise,ID,43.593516,-116.2385544,160010014002,1650130580,CenturyLink,50.0,80.0,10.0,Mbps,Not Fiber,HSI Upto 80 Mbps/10 Mbps Prepaid,80.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4868 W BLASER CIR,BOISE,ID 83705,USA",boise,ID,43.5964115,-116.2418464,160010014002,1650130560,CenturyLink,50.0,30.0,1.5,Mbps,Not Fiber,HSI Upto 30 Mbps/1.5 Mbps Prepaid,30.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4306 W CLARK ST,BOISE,ID 83705,USA",boise,ID,43.5917437,-116.234835,160010014002,1650130541,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"1030 S GARDEN PL,BOISE,ID 83705,USA",boise,ID,43.595046,-116.2388511,160010014002,1650130521,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"1180 S GARDEN PL,BOISE,ID 83705,USA",boise,ID,43.5940098,-116.2391061,160010014002,1650130560,CenturyLink,50.0,30.0,1.5,Mbps,Not Fiber,HSI Upto 30 Mbps/1.5 Mbps Prepaid,30.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4829 W CLARK ST,BOISE,ID 83705,USA",boise,ID,43.5914477,-116.2422984,160010014002,1650130555,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4501 W CAMAS ST,BOISE,ID 83705,USA",boise,ID,43.5951229,-116.2374909,160010014002,1650130531,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4308 W CAMAS ST,BOISE,ID 83705,USA",boise,ID,43.5953675,-116.2349074,160010014002,1650130571,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4861 W BLASER CIR,BOISE,ID 83705,USA",boise,ID,43.5960453,-116.2418284,160010014002,1650130570,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4311 W MARVIN ST,BOISE,ID 83705,USA",boise,ID,43.5905815,-116.2354327,160010014002,1650130521,CenturyLink,50.0,140.0,20.0,Mbps,Not Fiber,HSI Upto 140 Mbps/20 Mbps Prepaid,140.0,50.0,Fast (100-199),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"1024 S WILSON ST,BOISE,ID 83705,USA",boise,ID,43.5939601,-116.2349244,160010014002,1650130551,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4211 W MARVIN ST,BOISE,ID 83705,USA",boise,ID,43.5905902,-116.2343166,160010014002,1650130542,CenturyLink,50.0,140.0,20.0,Mbps,Not Fiber,HSI Upto 140 Mbps/20 Mbps Prepaid,140.0,50.0,Fast (100-199),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4402 W CLARK ST,BOISE,ID 83705,USA",boise,ID,43.5917392,-116.2360539,160010014002,1650130531,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4609 KOOTENAI PL,BOISE,ID 83705,USA",boise,ID,43.5927446,-116.2390449,160010014002,1650130534,CenturyLink,50.0,80.0,10.0,Mbps,Not Fiber,HSI Upto 80 Mbps/10 Mbps Prepaid,80.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"1110 S POND ST,BOISE,ID 83705,USA",boise,ID,43.5942297,-116.2408767,160010014002,1650130551,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4359 W WOOD ACRES CT,BOISE,ID 83705,USA",boise,ID,43.5959647,-116.2355634,160010014002,1650130542,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
"4866 W CASSIA ST,BOISE,ID 83705,USA",boise,ID,43.5971495,-116.2420411,160010014002,1650130570,CenturyLink,50.0,30.0,1.5,Mbps,Not Fiber,HSI Upto 30 Mbps/1.5 Mbps Prepaid,30.0,50.0,Medium (25-99),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902
