address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"8967 W Sloan St Boise, ID 83714",boise,ID,43.6826012,-116.297654,160010102232,1652241809,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.070891514500537,most white,75789.0,-11011.0,Middle-Upper,863.9451158217721,3.0,0.8425624321389794,CenturyLink
"7373 N Bogart Ln Boise, ID 83714",boise,ID,43.6821171,-116.2943569,160010102232,1652745730,EarthLink,49.95,3.0,0.512,Mbps,Copper,EarthLink Internet 3M,3.0,49.95,Slow (<25 Mbps),,0.070891514500537,most white,75789.0,-11011.0,Middle-Upper,863.9451158217721,3.0,0.8425624321389794,CenturyLink
"8197 N Matlock Ave Boise, ID 83714",boise,ID,43.6857136,-116.3027354,160010102232,1652731319,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.070891514500537,most white,75789.0,-11011.0,Middle-Upper,863.9451158217721,3.0,0.8425624321389794,CenturyLink
"6333 N Bogart Ln Boise, ID 83714",boise,ID,43.6777759,-116.2946329,160010102232,1651010464,EarthLink,49.95,3.0,0.512,Mbps,Copper,EarthLink Internet 3M,3.0,49.95,Slow (<25 Mbps),,0.070891514500537,most white,75789.0,-11011.0,Middle-Upper,863.9451158217721,3.0,0.8425624321389794,CenturyLink
"6756 N Waterlilly Way Boise, ID 83714",boise,ID,43.6795615,-116.3003589,160010102232,1651964662,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.070891514500537,most white,75789.0,-11011.0,Middle-Upper,863.9451158217721,3.0,0.8425624321389794,CenturyLink
"9514 W Ben St Boise, ID 83714",boise,ID,43.6844454,-116.3026308,160010102232,1652760078,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.070891514500537,most white,75789.0,-11011.0,Middle-Upper,863.9451158217721,3.0,0.8425624321389794,CenturyLink
"9212 W Sloan St Boise, ID 83714",boise,ID,43.6808477,-116.2992434,160010102232,1653166885,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.070891514500537,most white,75789.0,-11011.0,Middle-Upper,863.9451158217721,3.0,0.8425624321389794,CenturyLink
"6798 N Misty Cove Ave Boise, ID 83714",boise,ID,43.6797311,-116.2994203,160010102232,1652104928,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.070891514500537,most white,75789.0,-11011.0,Middle-Upper,863.9451158217721,3.0,0.8425624321389794,CenturyLink
"4913 W Camas St Boise, ID 83705",boise,ID,43.5951216,-116.2425482,160010014002,1652443292,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902,CenturyLink
"4842 W Blaser Cir Boise, ID 83705",boise,ID,43.5960506,-116.2411556,160010014002,1653174089,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,40.0,69.95,Slow (<25 Mbps),,0.2144144144144144,least white,37154.0,27624.0,Low,1748.9927534975916,2.0,0.7607843137254902,CenturyLink
