address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"2 AVERY ST, BOSTON, MA, 02111-1002, USA",boston,MA,42.353067,-71.062842,250250701015,1650447459,Verizon,39.99,10.0,1.0,Mbps,Not fiber,HSI Up to 7.1 - 15 Mbps,10.0,40.0,Slow (<25 Mbps),,0.4127659574468085,more white,136071.0,-59773.0,Upper Income,14178.8343188126,3.0,1.0
"156 PORTER ST, EAST BOSTON, MA, 02128-2122, USA",boston,MA,42.37131,-71.03246,250259813002,1650497431,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),,0.4116222760290557,more white,128000.0,-51702.0,Upper Income,65.12729705790194,2.0,0.9583333333333334
"16 BARNARD PL, SOUTH BOSTON, MA, 02127-1521, USA",boston,MA,42.33673,-71.03927,250250605012,1650488693,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),D,0.0976505139500734,most white,142188.0,-65890.0,Upper Income,21354.321819977737,2.0,0.9304029304029304
"632 E BROADWAY, SOUTH BOSTON, MA, 02127-1502, USA",boston,MA,42.33575,-71.03917,250250605012,1650488683,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.0976505139500734,most white,142188.0,-65890.0,Upper Income,21354.321819977737,2.0,0.9304029304029304
"22 BARNARD PL, SOUTH BOSTON, MA, 02127-1521, USA",boston,MA,42.33674,-71.03904,250250605012,1650488683,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),D,0.0976505139500734,most white,142188.0,-65890.0,Upper Income,21354.321819977737,2.0,0.9304029304029304
"3 EMMET ST, SOUTH BOSTON, MA, 02127-1514, USA",boston,MA,42.33675,-71.03861,250250605012,1650488683,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),D,0.0976505139500734,most white,142188.0,-65890.0,Upper Income,21354.321819977737,2.0,0.9304029304029304
"90 EMERSON ST, SOUTH BOSTON, MA, 02127-1742, USA",boston,MA,42.33609,-71.04102,250250605012,1650488692,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.0976505139500734,most white,142188.0,-65890.0,Upper Income,21354.321819977737,2.0,0.9304029304029304
"69 I ST, SOUTH BOSTON, MA, 02127-8811, USA",boston,MA,42.33593,-71.04009,250250605012,1650488686,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.0976505139500734,most white,142188.0,-65890.0,Upper Income,21354.321819977737,2.0,0.9304029304029304
"584 E BROADWAY, SOUTH BOSTON, MA, 02127-4405, USA",boston,MA,42.3357497,-71.0407898,250250605012,1650488687,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.0976505139500734,most white,142188.0,-65890.0,Upper Income,21354.321819977737,2.0,0.9304029304029304
"86 EMERSON ST, SOUTH BOSTON, MA, 02127-1476, USA",boston,MA,42.33612,-71.04121,250250605012,1650488693,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.0976505139500734,most white,142188.0,-65890.0,Upper Income,21354.321819977737,2.0,0.9304029304029304
