address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"122 Peachtree St, Charleston SC 29403",charleston,SC,32.8090308,-79.958661,450190016001,1650315558,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.272020725388601,less white,125385.0,-53314.0,Upper Income,1301.9427954668106,3.0,0.8706293706293706
"17 Devereaux Ave, Charleston SC 29403",charleston,SC,32.8064173,-79.9621779,450190016001,1650315566,AT&T,55.0,75.0,20.0,Mbps,Not Fiber,Internet 75,75.0,55.0,Medium (25-99),,0.272020725388601,less white,125385.0,-53314.0,Upper Income,1301.9427954668106,3.0,0.8706293706293706
"151 Mary Ellen Dr, Charleston SC 29403",charleston,SC,32.8051264,-79.9634476,450190016001,1650315558,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.272020725388601,less white,125385.0,-53314.0,Upper Income,1301.9427954668106,3.0,0.8706293706293706
"20 Devereaux Ave, Charleston SC 29403",charleston,SC,32.806377,-79.9615865,450190016001,1650315558,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.272020725388601,less white,125385.0,-53314.0,Upper Income,1301.9427954668106,3.0,0.8706293706293706
"253 W Poplar St, Charleston SC 29403",charleston,SC,32.8066845,-79.9607611,450190016001,1650315576,AT&T,55.0,100.0,20.0,Mbps,Not Fiber,Internet 100,100.0,55.0,Fast (100-199),,0.272020725388601,less white,125385.0,-53314.0,Upper Income,1301.9427954668106,3.0,0.8706293706293706
"90 Gordon St, Charleston SC 29403",charleston,SC,32.8042562,-79.9583739,450190016001,1650315559,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),,0.272020725388601,less white,125385.0,-53314.0,Upper Income,1301.9427954668106,3.0,0.8706293706293706
"161 Mary Ellen Dr, Charleston SC 29403",charleston,SC,32.8050624,-79.9627248,450190016001,1650315567,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.272020725388601,less white,125385.0,-53314.0,Upper Income,1301.9427954668106,3.0,0.8706293706293706
"28 Riverside Dr, Charleston SC 29403",charleston,SC,32.811829,-79.9592845,450190016001,1650315569,AT&T,55.0,75.0,20.0,Mbps,Not Fiber,Internet 75,75.0,55.0,Medium (25-99),,0.272020725388601,less white,125385.0,-53314.0,Upper Income,1301.9427954668106,3.0,0.8706293706293706
"13 Devereaux Ave, Charleston SC 29403",charleston,SC,32.8060968,-79.9622199,450190016001,1650315558,AT&T,55.0,100.0,20.0,Mbps,Not Fiber,Internet 100,100.0,55.0,Fast (100-199),,0.272020725388601,less white,125385.0,-53314.0,Upper Income,1301.9427954668106,3.0,0.8706293706293706
"46 Clemson St, Charleston SC 29403",charleston,SC,32.8109913,-79.9584746,450190016001,1650315567,AT&T,55.0,75.0,20.0,Mbps,Not Fiber,Internet 75,75.0,55.0,Medium (25-99),,0.272020725388601,less white,125385.0,-53314.0,Upper Income,1301.9427954668106,3.0,0.8706293706293706
