address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"2275 Forest Lakes Blvd Charleston, SC 29414",charleston,SC,32.8128741,-80.048515,450190026133,1650578957,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
"1962 Treebark Dr Charleston, SC 29414",charleston,SC,32.8223287,-80.0441274,450190026133,1650578971,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
"1693 Sulgrave Rd Charleston, SC 29414",charleston,SC,32.8164639,-80.0461085,450190026133,1650578963,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
"2163 Forest Lakes Blvd Charleston, SC 29414",charleston,SC,32.8207222,-80.0506095,450190026133,1650578966,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
"1854 Oleander Ct Charleston, SC 29414",charleston,SC,32.8194393,-80.0432987,450190026133,1650578983,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
"2175 Forest Lakes Blvd Charleston, SC 29414",charleston,SC,32.820054,-80.050991,450190026133,1650578965,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
"1951 White Birch Ln Charleston, SC 29414",charleston,SC,32.8210288,-80.0444024,450190026133,1650578960,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
"2191 Forest Lakes Blvd Charleston, SC 29414",charleston,SC,32.8185689,-80.0517341,450190026133,1650578983,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
"2067 Dogwood Rd Charleston, SC 29414",charleston,SC,32.8184092,-80.0488288,450190026133,1650578946,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
"2184 Forest Lakes Blvd Charleston, SC 29414",charleston,SC,32.8183897,-80.0521133,450190026133,1650578970,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
"2164 Forest Lakes Blvd Charleston, SC 29414",charleston,SC,32.8198624,-80.0515833,450190026133,1650578957,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
"1867 Oleander Ct Charleston, SC 29414",charleston,SC,32.8189249,-80.0433606,450190026133,1650578957,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.0394736842105263,most white,98164.0,-26093.0,Upper Income,919.2321508701864,3.0,0.6808510638297872,AT&T
