address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"303 E 26TH ST,CHEYENNE,WY 82001,USA",cheyenne,WY,41.1428015,-104.817316,560210010004,1650129957,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068
"2510 WARREN AVE,CHEYENNE,WY 82001,USA",cheyenne,WY,41.1418277,-104.818766,560210010004,1650129934,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068
"2618 EVANS AVE,CHEYENNE,WY 82001,USA",cheyenne,WY,41.143723,-104.817211,560210010004,1650129955,CenturyLink,50.0,6.0,0.5,Mbps,Not Fiber,HSI Upto 6 Mbps/500 Kbps Prepaid,6.0,50.0,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068
"912 W 25TH ST,CHEYENNE,WY 82001,USA",cheyenne,WY,41.1377506,-104.8290858,560210010004,1650129940,CenturyLink,50.0,6.0,0.5,Mbps,Not Fiber,HSI Upto 6 Mbps/500 Kbps Prepaid,6.0,50.0,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068
"2610 WARREN AVE,CHEYENNE,WY 82001,USA",cheyenne,WY,41.1427008,-104.8193085,560210010004,1650129946,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068
"104 W 26TH ST,CHEYENNE,WY 82001,USA",cheyenne,WY,41.1420562,-104.8204585,560210010004,1650129952,CenturyLink,50.0,6.0,0.5,Mbps,Not Fiber,HSI Upto 6 Mbps/500 Kbps Prepaid,6.0,50.0,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068
"412 RANDALL AVE,CHEYENNE,WY 82001,USA",cheyenne,WY,41.1419415,-104.8249136,560210010004,1650129943,CenturyLink,50.0,6.0,0.5,Mbps,Not Fiber,HSI Upto 6 Mbps/500 Kbps Prepaid,6.0,50.0,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068
"609 W 25TH ST,CHEYENNE,WY 82001,USA",cheyenne,WY,41.1386796,-104.8253386,560210010004,1650129922,CenturyLink,50.0,15.0,0.75,Mbps,Not Fiber,HSI Upto 15 Mbps/750 Kbps Prepaid,15.0,50.0,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068
"2510 HOUSE AVE,CHEYENNE,WY 82001,USA",cheyenne,WY,41.1422375,-104.8175884,560210010004,1650129921,CenturyLink,50.0,15.0,0.75,Mbps,Not Fiber,HSI Upto 15 Mbps/750 Kbps Prepaid,15.0,50.0,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068
"2615 CAPITOL AVE,CHEYENNE,WY 82001,USA",cheyenne,WY,41.1421929,-104.8212151,560210010004,1650129947,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068
