address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"610 W 26th St Cheyenne, WY 82001",cheyenne,WY,41.1399157,-104.8261751,560210010004,1650575415,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"620 W 24th St Cheyenne, WY 82001",cheyenne,WY,41.1380877,-104.8252754,560210010004,1650575402,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"510 W 24th St Cheyenne, WY 82001",cheyenne,WY,41.1385444,-104.8239288,560210010004,1650575412,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"416 W 24th St Cheyenne, WY 82001",cheyenne,WY,41.1388802,-104.8230089,560210010004,1650575421,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"2519 House Ave Cheyenne, WY 82001",cheyenne,WY,41.1426681,-104.8172657,560210010004,1650575495,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"820 W 26th St Cheyenne, WY 82001",cheyenne,WY,41.1389537,-104.8288504,560210010004,1650575414,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"2717 House Ave Cheyenne, WY 82001",cheyenne,WY,41.1444479,-104.8184832,560210010004,1650575507,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"2615 Central Ave Cheyenne, WY 82001",cheyenne,WY,41.1426329,-104.8200636,560210010004,1650575429,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"108 W 27th St Cheyenne, WY 82001",cheyenne,WY,41.142935,-104.8211125,560210010004,1650575448,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"508 W 24th St Cheyenne, WY 82001",cheyenne,WY,41.13858,-104.8238149,560210010004,1650575459,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"2508 Oneil Ave Cheyenne, WY 82001",cheyenne,WY,41.1392428,-104.8254493,560210010004,1650575412,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"2619 Central Ave Cheyenne, WY 82001",cheyenne,WY,41.1427463,-104.8201175,560210010004,1650575428,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"708 W 26th St Cheyenne, WY 82001",cheyenne,WY,41.1394681,-104.8274246,560210010004,1650575404,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"704 W 26th St Cheyenne, WY 82001",cheyenne,WY,41.1395434,-104.82722,560210010004,1650575451,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"312 W 27th St Cheyenne, WY 82001",cheyenne,WY,41.1420493,-104.8235363,560210010004,1650575418,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"818 W 26th St Cheyenne, WY 82001",cheyenne,WY,41.1390012,-104.828724,560210010004,1650575434,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"206 E 25th St Cheyenne, WY 82001",cheyenne,WY,41.1418443,-104.8180554,560210010004,1650575421,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
"2622 Warren Ave Cheyenne, WY 82001",cheyenne,WY,41.1430829,-104.8195879,560210010004,1650575440,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2065217391304347,less white,42127.0,26484.0,Low,1243.9949235735105,4.0,0.7750677506775068,CenturyLink
