address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"2171 W 100th St, Cleveland OH 44102",cleveland,OH,41.472217,-81.7528465,390351016034,1650269278,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4070247933884297,most white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485
"9911 Nicholas Ave, Cleveland OH 44102",cleveland,OH,41.4706471,-81.7524689,390351016034,1650269279,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4070247933884297,most white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485
"2223 W 100th St, Cleveland OH 44102",cleveland,OH,41.4709159,-81.7528874,390351016034,1650269287,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4070247933884297,most white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485
"9914 Nicholas Ave, Cleveland OH 44102",cleveland,OH,41.4709612,-81.7525869,390351016034,1650269290,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4070247933884297,most white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485
"2127 W 100th St, Cleveland OH 44102",cleveland,OH,41.4735121,-81.7527395,390351016034,1650269283,AT&T,55.0,10.0,1.0,Mbps,Not Fiber,Internet 10,10.0,55.0,Slow (<25 Mbps),C,0.4070247933884297,most white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485
"9619 Willard Ave, Cleveland OH 44102",cleveland,OH,41.4709861,-81.7501142,390351016034,1650269283,AT&T,55.0,5.0,1.0,Mbps,Not Fiber,Internet Basic 5,5.0,55.0,Slow (<25 Mbps),C,0.4070247933884297,most white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485
"2222 W 98th St, Cleveland OH 44102",cleveland,OH,41.4709375,-81.7512868,390351016034,1650269286,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4070247933884297,most white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485
"9819 Nicholas Ave, Cleveland OH 44102",cleveland,OH,41.4706566,-81.7518018,390351016034,1650269290,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4070247933884297,most white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485
"2156 W 98th St, Cleveland OH 44102",cleveland,OH,41.4727982,-81.751266,390351016034,1650269278,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4070247933884297,most white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485
"2145 W 100th St, Cleveland OH 44102",cleveland,OH,41.4730626,-81.7528207,390351016034,1650269279,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4070247933884297,most white,58393.0,-26555.0,Upper Income,4199.711920587265,2.0,0.8484848484848485
