address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"3028 W 19th Ave Denver, CO 80204",denver,CO,39.7462447,-105.0261701,80310007021,1650589240,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),C,0.5429362880886427,less white,,,,3321.0518810861035,2.0,0.6972477064220184,CenturyLink
"3024 W 19th Ave Denver, CO 80204",denver,CO,39.7462443,-105.026074,80310007021,1650589268,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),C,0.5429362880886427,less white,,,,3321.0518810861035,2.0,0.6972477064220184,CenturyLink
"3136 W 19th Ave Denver, CO 80204",denver,CO,39.7460558,-105.0276507,80310007021,1650589212,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),C,0.5429362880886427,less white,,,,3321.0518810861035,2.0,0.6972477064220184,CenturyLink
"3350 W 19th Ave Denver, CO 80204",denver,CO,39.7461782,-105.0308008,80310007021,1650589258,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),C,0.5429362880886427,less white,,,,3321.0518810861035,2.0,0.6972477064220184,CenturyLink
"3142 W 18th Ave Denver, CO 80204",denver,CO,39.7450301,-105.0279101,80310007021,1650589258,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),C,0.5429362880886427,less white,,,,3321.0518810861035,2.0,0.6972477064220184,CenturyLink
"3105 W 16th Ave Denver, CO 80204",denver,CO,39.7429325,-105.0271704,80310007021,1650589268,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),D,0.5429362880886427,less white,,,,3321.0518810861035,2.0,0.6972477064220184,CenturyLink
"3356 W 18th Ave Denver, CO 80204",denver,CO,39.7448248,-105.0308134,80310007021,1650589233,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),C,0.5429362880886427,less white,,,,3321.0518810861035,2.0,0.6972477064220184,CenturyLink
"3220 W 18th Ave Denver, CO 80204",denver,CO,39.7450104,-105.0291692,80310007021,1650589257,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),C,0.5429362880886427,less white,,,,3321.0518810861035,2.0,0.6972477064220184,CenturyLink
"1422 Larimer St Denver, CO 80202",denver,CO,39.7476042,-104.9991327,80310017015,1650508534,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.097669256381798,most white,79722.0,-7061.0,Middle-Upper,5088.785469004157,2.0,0.9049295774647887,CenturyLink
"1416 Market St Denver, CO 80202",denver,CO,39.7481637,-105.000288,80310017015,1650508528,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.097669256381798,most white,79722.0,-7061.0,Middle-Upper,5088.785469004157,2.0,0.9049295774647887,CenturyLink
"1516 Blake St Denver, CO 80202",denver,CO,39.7497238,-104.9998253,80310017015,1650508511,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.097669256381798,most white,79722.0,-7061.0,Middle-Upper,5088.785469004157,2.0,0.9049295774647887,CenturyLink
"6305 W Berry Ave Denver, CO 80123",denver,CO,39.6167999,-105.0665904,80310120103,1650544287,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,40.0,69.95,Slow (<25 Mbps),,0.4108623548922056,less white,69038.0,3623.0,Middle-Lower,2486.5005288452617,2.0,0.9588014981273408,CenturyLink
