address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"4306 42ND ST,DES MOINES,IA 50310,USA",des moines,IA,41.6379159,-93.6752374,191530007041,1650163945,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.0783190066857688,most white,72321.0,-17478.0,Middle-Upper,1264.2469278316655,2.0,0.8941798941798942
"3506 CRESTMOOR PL,DES MOINES,IA 50310,USA",des moines,IA,41.6415007,-93.6665824,191530007041,1650163956,CenturyLink,50.0,80.0,10.0,Mbps,Not Fiber,HSI Upto 80 Mbps/10 Mbps Prepaid,80.0,50.0,Medium (25-99),,0.0783190066857688,most white,72321.0,-17478.0,Middle-Upper,1264.2469278316655,2.0,0.8941798941798942
"3827 HILLCREST DR,DES MOINES,IA 50310,USA",des moines,IA,41.6436741,-93.6699351,191530007041,1650163947,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.0783190066857688,most white,72321.0,-17478.0,Middle-Upper,1264.2469278316655,2.0,0.8941798941798942
"4214 42ND ST,DES MOINES,IA 50310,USA",des moines,IA,41.6374011,-93.6752362,191530007041,1650163963,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.0783190066857688,most white,72321.0,-17478.0,Middle-Upper,1264.2469278316655,2.0,0.8941798941798942
"4206 43RD ST,DES MOINES,IA 50310,USA",des moines,IA,41.637133,-93.6764185,191530007041,1650163936,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.0783190066857688,most white,72321.0,-17478.0,Middle-Upper,1264.2469278316655,2.0,0.8941798941798942
"3901 HILLCREST DR,DES MOINES,IA 50310,USA",des moines,IA,41.6436605,-93.6706143,191530007041,1650163956,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.0783190066857688,most white,72321.0,-17478.0,Middle-Upper,1264.2469278316655,2.0,0.8941798941798942
"4221 43RD ST,DES MOINES,IA 50310,USA",des moines,IA,41.6377728,-93.6758524,191530007041,1650163936,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.0783190066857688,most white,72321.0,-17478.0,Middle-Upper,1264.2469278316655,2.0,0.8941798941798942
"3821 HILLCREST DR,DES MOINES,IA 50310,USA",des moines,IA,41.6436852,-93.6696913,191530007041,1650163954,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.0783190066857688,most white,72321.0,-17478.0,Middle-Upper,1264.2469278316655,2.0,0.8941798941798942
"4410 41ST ST,DES MOINES,IA 50310,USA",des moines,IA,41.6389875,-93.674929,191530007041,1650163965,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.0783190066857688,most white,72321.0,-17478.0,Middle-Upper,1264.2469278316655,2.0,0.8941798941798942
"4301 42ND ST,DES MOINES,IA 50310,USA",des moines,IA,41.6377406,-93.6747355,191530007041,1650163936,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.0783190066857688,most white,72321.0,-17478.0,Middle-Upper,1264.2469278316655,2.0,0.8941798941798942
