address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"1335 Hull Ave Des Moines, IA 50316",des moines,IA,41.6220633,-93.6018599,191530005002,1650526616,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.1987179487179487,more white,54007.0,836.0,Middle-Lower,2872.0818911554607,2.0,0.6501766784452296,CenturyLink
"1320 Boyd St Des Moines, IA 50316",des moines,IA,41.6215478,-93.6024279,191530005002,1650526644,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.1987179487179487,more white,54007.0,836.0,Middle-Lower,2872.0818911554607,2.0,0.6501766784452296,CenturyLink
"915 Hull Ave Des Moines, IA 50316",des moines,IA,41.6220457,-93.6057323,191530005002,1650526617,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.1987179487179487,more white,54007.0,836.0,Middle-Lower,2872.0818911554607,2.0,0.6501766784452296,CenturyLink
"720 Boyd St Des Moines, IA 50316",des moines,IA,41.6215374,-93.6093364,191530005002,1650526650,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,60.0,69.95,Slow (<25 Mbps),,0.1987179487179487,more white,54007.0,836.0,Middle-Lower,2872.0818911554607,2.0,0.6501766784452296,CenturyLink
"1333 Hull Ave Des Moines, IA 50316",des moines,IA,41.6220565,-93.6020441,191530005002,1650526585,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.1987179487179487,more white,54007.0,836.0,Middle-Lower,2872.0818911554607,2.0,0.6501766784452296,CenturyLink
"817 Hull Ave Des Moines, IA 50316",des moines,IA,41.6220991,-93.607661,191530005002,1650526580,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,40.0,69.95,Slow (<25 Mbps),,0.1987179487179487,more white,54007.0,836.0,Middle-Lower,2872.0818911554607,2.0,0.6501766784452296,CenturyLink
"3809 SE 8th St Des Moines, IA 50315",des moines,IA,41.5489629,-93.6022789,191530044004,1652115730,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),C,0.4859611231101511,least white,23285.0,31558.0,Low,2117.476498526228,2.0,0.7468030690537084,CenturyLink
"3015 SE 8th St Des Moines, IA 50315",des moines,IA,41.557571,-93.6022846,191530044004,1651982523,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),C,0.4859611231101511,least white,23285.0,31558.0,Low,2117.476498526228,2.0,0.7468030690537084,CenturyLink
"1105 E Rose Ave Des Moines, IA 50315",des moines,IA,41.5487154,-93.5995788,191530044004,1651773826,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),C,0.4859611231101511,least white,23285.0,31558.0,Low,2117.476498526228,2.0,0.7468030690537084,CenturyLink
"1201 E Rose Ave Des Moines, IA 50315",des moines,IA,41.5487165,-93.5986532,191530044004,1652918857,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),C,0.4859611231101511,least white,23285.0,31558.0,Low,2117.476498526228,2.0,0.7468030690537084,CenturyLink
