address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"1038 17TH ST N,FARGO,ND 58102,USA",fargo,ND,46.8882299,-96.8079974,380170005022,1650164997,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167
"1118 14TH ST N,FARGO,ND 58102,USA",fargo,ND,46.8893877,-96.8014613,380170005022,1650164996,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167
"1005 17TH ST N,FARGO,ND 58102,USA",fargo,ND,46.8871385,-96.8073826,380170005022,1650165002,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167
"1122 14TH ST N,FARGO,ND 58102,USA",fargo,ND,46.8895224,-96.8015035,380170005022,1650165011,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167
"1022 17TH ST N,FARGO,ND 58102,USA",fargo,ND,46.8876928,-96.8080065,380170005022,1650165006,CenturyLink,50.0,30.0,1.5,Mbps,Not Fiber,HSI Upto 30 Mbps/1.5 Mbps Prepaid,30.0,50.0,Medium (25-99),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167
"1108 18TH ST N,FARGO,ND 58102,USA",fargo,ND,46.8892297,-96.8111044,380170005022,1650164997,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167
"1119 17TH ST N,FARGO,ND 58102,USA",fargo,ND,46.8893595,-96.8073788,380170005022,1650165007,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167
"920 14TH ST N,FARGO,ND 58102,USA",fargo,ND,46.8866331,-96.8015075,380170005022,1650165001,CenturyLink,50.0,100.0,10.0,Mbps,Not Fiber,HSI Upto 100 Mbps/10 Mbps Prepaid,100.0,50.0,Fast (100-199),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167
"1022 15TH ST N,FARGO,ND 58102,USA",fargo,ND,46.8877029,-96.804992,380170005022,1650165002,CenturyLink,50.0,30.0,1.5,Mbps,Not Fiber,HSI Upto 30 Mbps/1.5 Mbps Prepaid,30.0,50.0,Medium (25-99),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167
"1042 16TH ST N,FARGO,ND 58102,USA",fargo,ND,46.8883465,-96.8065348,380170005022,1650165011,CenturyLink,50.0,30.0,1.5,Mbps,Not Fiber,HSI Upto 30 Mbps/1.5 Mbps Prepaid,30.0,50.0,Medium (25-99),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167
