address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"1034 14th St N Fargo, ND 58102",fargo,ND,46.888184,-96.8015285,380170005022,1653095279,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167,CenturyLink
"1108 19th St N Fargo, ND 58102",fargo,ND,46.8892297,-96.8111044,380170005022,1652644913,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167,CenturyLink
"1030 14th St N Fargo, ND 58102",fargo,ND,46.8880356,-96.8015338,380170005022,1651654850,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167,CenturyLink
"1134 18th St N Fargo, ND 58102",fargo,ND,46.8898905,-96.809534,380170005022,1652173378,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167,CenturyLink
"1609 11th Ave N Fargo, ND 58102",fargo,ND,46.8888367,-96.8067957,380170005022,1650938456,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.2184154175588865,less white,24612.0,32908.0,Low,4788.859492606493,5.0,0.7786790266512167,CenturyLink
"910 19th Ave S Fargo, ND 58103",fargo,ND,46.8498565,-96.7943028,380170009014,1650603001,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"1725 14th St S Fargo, ND 58103",fargo,ND,46.85313,-96.8018988,380170009014,1650603034,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"802 19th Ave S Fargo, ND 58103",fargo,ND,46.8498205,-96.7922768,380170009014,1650603014,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,60.0,69.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"1618 14th St S Fargo, ND 58103",fargo,ND,46.8549332,-96.8012155,380170009014,1650603003,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"1617 University Dr S Fargo, ND 58103",fargo,ND,46.8548977,-96.7990716,380170009014,1650603019,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"611 19th Ave S Fargo, ND 58103",fargo,ND,46.8503757,-96.7901374,380170009014,1650603018,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"1601 University Dr S Fargo, ND 58103",fargo,ND,46.8554901,-96.7989838,380170009014,1650603000,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"1718 14th St S Fargo, ND 58103",fargo,ND,46.8534651,-96.8012045,380170009014,1650603035,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"709 19th Ave S Fargo, ND 58103",fargo,ND,46.8503355,-96.7913161,380170009014,1650603018,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"710 19th Ave S Fargo, ND 58103",fargo,ND,46.8498173,-96.7913791,380170009014,1650602997,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,60.0,69.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"1742 14th St S Fargo, ND 58103",fargo,ND,46.8524522,-96.8012087,380170009014,1650603017,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"1825 14th St S Fargo, ND 58103",fargo,ND,46.8506224,-96.8019286,380170009014,1650603016,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"1002 South Dr S Fargo, ND 58103",fargo,ND,46.8507827,-96.795275,380170009014,1650603014,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"1813 14th St S Fargo, ND 58103",fargo,ND,46.8511589,-96.8019008,380170009014,1650603019,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"706 South Dr S Fargo, ND 58103",fargo,ND,46.8508295,-96.7909969,380170009014,1650602999,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"913 South Dr S Fargo, ND 58103",fargo,ND,46.8512307,-96.7946111,380170009014,1650603001,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"1837 14th St S Fargo, ND 58103",fargo,ND,46.8501028,-96.8019246,380170009014,1650602999,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"701 South Dr S Fargo, ND 58103",fargo,ND,46.8513325,-96.7909902,380170009014,1650602997,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1822827938671209,less white,53466.0,4054.0,Middle-Lower,1079.2167129669635,3.0,0.7032967032967034,CenturyLink
"1009 Monte Carlo Dr N Fargo, ND 58102",fargo,ND,46.9232619,-96.7930573,380170002021,1653282041,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.245136186770428,least white,35089.0,22431.0,Low,1168.2242990654206,3.0,0.6260683760683761,CenturyLink
"1201 Monte Carlo Dr N Fargo, ND 58102",fargo,ND,46.9223242,-96.7962617,380170002021,1651680070,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.245136186770428,least white,35089.0,22431.0,Low,1168.2242990654206,3.0,0.6260683760683761,CenturyLink
"3507 Rainier Rue St N Fargo, ND 58102",fargo,ND,46.9228637,-96.7960047,380170002021,1651662330,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.245136186770428,least white,35089.0,22431.0,Low,1168.2242990654206,3.0,0.6260683760683761,CenturyLink
"3632 10th St N Fargo, ND 58102",fargo,ND,46.926411,-96.793532,380170002021,1653364943,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.245136186770428,least white,35089.0,22431.0,Low,1168.2242990654206,3.0,0.6260683760683761,CenturyLink
"1004 Gibraltor Ave N Fargo, ND 58102",fargo,ND,46.9234542,-96.7923523,380170002021,1651723338,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.245136186770428,least white,35089.0,22431.0,Low,1168.2242990654206,3.0,0.6260683760683761,CenturyLink
"3902 10th St N Fargo, ND 58102",fargo,ND,46.9315387,-96.7943494,380170002021,1652202091,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,60.0,69.95,Slow (<25 Mbps),,0.245136186770428,least white,35089.0,22431.0,Low,1168.2242990654206,3.0,0.6260683760683761,CenturyLink
"1023 36th Ave N Fargo, ND 58102",fargo,ND,46.9259027,-96.793723,380170002021,1652479303,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.245136186770428,least white,35089.0,22431.0,Low,1168.2242990654206,3.0,0.6260683760683761,CenturyLink
