address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"2406 Country Club Ave NW, Huntsville AL 35816",huntsville,AL,34.7451794,-86.6068062,10890007022,1650310200,AT&T,55.0,0.768,0.384,Mbps,Not Fiber,Internet Basic 768kbps,0.768,55.0,Slow (<25 Mbps),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933
"1902 Oglesby Dr NW, Huntsville AL 35816",huntsville,AL,34.7475626,-86.6071402,10890007022,1650310229,AT&T,55.0,5.0,1.0,Mbps,Not Fiber,Internet Basic 5,5.0,55.0,Slow (<25 Mbps),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933
"2312 Cardinal Ave NW, Huntsville AL 35816",huntsville,AL,34.7465043,-86.6058839,10890007022,1650310203,AT&T,55.0,0.768,0.384,Mbps,Not Fiber,Internet Basic 768kbps,0.768,55.0,Slow (<25 Mbps),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933
"1903 Oglesby Dr NW, Huntsville AL 35816",huntsville,AL,34.7477586,-86.6076753,10890007022,1650310195,AT&T,55.0,5.0,1.0,Mbps,Not Fiber,Internet Basic 5,5.0,55.0,Slow (<25 Mbps),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933
"1905 Canterbury Cir NW, Huntsville AL 35816",huntsville,AL,34.7485846,-86.605223,10890007022,1650310196,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933
"1811 Canterbury Cir NW, Huntsville AL 35816",huntsville,AL,34.7481455,-86.604693,10890007022,1650310195,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933
"1814 Canary St NW, Huntsville AL 35816",huntsville,AL,34.7465956,-86.604511,10890007022,1650310204,AT&T,55.0,0.768,0.384,Mbps,Not Fiber,Internet Basic 768kbps,0.768,55.0,Slow (<25 Mbps),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933
"2211 Country Club Ave NW, Huntsville AL 35816",huntsville,AL,34.7437598,-86.6045841,10890007022,1650310211,AT&T,55.0,0.768,0.384,Mbps,Not Fiber,Internet Basic 768kbps,0.768,55.0,Slow (<25 Mbps),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933
"2411 Cardinal Ave NW, Huntsville AL 35816",huntsville,AL,34.7460224,-86.6075174,10890007022,1650310220,AT&T,55.0,0.768,0.384,Mbps,Not Fiber,Internet Basic 768kbps,0.768,55.0,Slow (<25 Mbps),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933
"1800 Canterbury Cir NW, Huntsville AL 35816",huntsville,AL,34.7485759,-86.6040452,10890007022,1650310195,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933
