address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"1703 Canterbury Cir NW Huntsville, AL 35816",huntsville,AL,34.7489378,-86.6035231,10890007022,1652169664,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933,AT&T
"1811 Canterbury Cir NW Huntsville, AL 35816",huntsville,AL,34.7481455,-86.604693,10890007022,1653221771,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933,AT&T
"1905 Canterbury Cir NW Huntsville, AL 35816",huntsville,AL,34.7485846,-86.605223,10890007022,1652094190,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933,AT&T
"1906 Dunham Cir NW Huntsville, AL 35816",huntsville,AL,34.7475807,-86.6080274,10890007022,1652086927,EarthLink,59.95,3.0,1.0,Mbps,Copper,Earthlink Internet 3Mx1M,3.0,59.95,Slow (<25 Mbps),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933,AT&T
"2047 Max Luther Dr NW Huntsville, AL 35810",huntsville,AL,34.7576893,-86.5957801,10890007022,1652850410,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933,AT&T
"1800 Canterbury Cir NW Huntsville, AL 35816",huntsville,AL,34.7485759,-86.6040452,10890007022,1651813289,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933,AT&T
"1903 Oglesby Dr NW Huntsville, AL 35816",huntsville,AL,34.7477586,-86.6076753,10890007022,1651993280,EarthLink,59.95,3.0,1.0,Mbps,Copper,Earthlink Internet 3Mx1M,3.0,59.95,Slow (<25 Mbps),,0.4750593824228028,less white,21667.0,35091.0,Low,512.09006946666,4.0,0.5278810408921933,AT&T
"6309 Sheri Dr NW Huntsville, AL 35806",huntsville,AL,34.7149295,-86.6623288,10890014021,1651963928,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.3609341825902335,less white,44688.0,12070.0,Middle-Lower,1814.9939307527795,4.0,0.8920454545454546,AT&T
"519 Harolds Dr NW Huntsville, AL 35806",huntsville,AL,34.7196896,-86.6605778,10890014021,1652252741,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.3609341825902335,less white,44688.0,12070.0,Middle-Lower,1814.9939307527795,4.0,0.8920454545454546,AT&T
"6302 Davies Ave NW Huntsville, AL 35806",huntsville,AL,34.7163183,-86.6609135,10890014021,1652762168,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.3609341825902335,less white,44688.0,12070.0,Middle-Lower,1814.9939307527795,4.0,0.8920454545454546,AT&T
