address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"3948 N College Ave, Indianapolis IN 46205",indianapolis,IN,39.827998,-86.1453866,180973221002,1650357664,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"506 E 39th St, Indianapolis IN 46205",indianapolis,IN,39.826968,-86.1494425,180973221002,1650357665,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"3906 N Park Ave, Indianapolis IN 46205",indianapolis,IN,39.827078,-86.1476994,180973221002,1650357664,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"3946 N College Ave, Indianapolis IN 46205",indianapolis,IN,39.8279467,-86.1453801,180973221002,1650357665,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"3817 Carrollton Ave, Indianapolis IN 46205",indianapolis,IN,39.8256951,-86.1434026,180973221002,1650357666,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"3847 N Park Ave, Indianapolis IN 46205",indianapolis,IN,39.8262676,-86.1472093,180973221002,1650357673,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"3852 N College Ave, Indianapolis IN 46205",indianapolis,IN,39.8263423,-86.1453591,180973221002,1650357673,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"3968 Guilford Ave, Indianapolis IN 46205",indianapolis,IN,39.828509,-86.1426106,180973221002,1650357673,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"3927 Central Ave, Indianapolis IN 46205",indianapolis,IN,39.8276494,-86.1495139,180973221002,1650357665,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"621 E 39th St, Indianapolis IN 46205",indianapolis,IN,39.8267019,-86.1466776,180973221002,1650357666,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"3941 Ruckle St, Indianapolis IN 46205",indianapolis,IN,39.8278034,-86.1484008,180973221002,1650357664,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"3959 N Park Ave, Indianapolis IN 46205",indianapolis,IN,39.8282378,-86.1472291,180973221002,1650357665,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058
"45 W 46th St, Indianapolis IN 46208",indianapolis,IN,39.8392305,-86.1587975,180973219003,1650315412,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),A,0.2746113989637305,more white,113750.0,-62937.0,Upper Income,1902.6325336361767,2.0,0.9371428571428572
"47 W 46th St, Indianapolis IN 46208",indianapolis,IN,39.839235,-86.1588662,180973219003,1650315413,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),A,0.2746113989637305,more white,113750.0,-62937.0,Upper Income,1902.6325336361767,2.0,0.9371428571428572
"6942 Evanston Ave, Indianapolis IN 46220",indianapolis,IN,39.8814272,-86.1271922,180973206001,1650317849,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),D,0.0591872791519434,most white,43792.0,7021.0,Middle-Upper,685.2088706704575,2.0,0.7784911717495987
"7206 N Keystone Ave, Indianapolis IN 46240",indianapolis,IN,39.8844236,-86.1226355,180973206001,1650317846,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),,0.0591872791519434,most white,43792.0,7021.0,Middle-Upper,685.2088706704575,2.0,0.7784911717495987
"1732 E 75th St, Indianapolis IN 46240",indianapolis,IN,39.8923988,-86.1314353,180973206001,1650317846,AT&T,55.0,25.0,5.0,Mbps,Not Fiber,Internet 25,25.0,55.0,Medium (25-99),D,0.0591872791519434,most white,43792.0,7021.0,Middle-Upper,685.2088706704575,2.0,0.7784911717495987
"6940 Evanston Ave, Indianapolis IN 46220",indianapolis,IN,39.8813705,-86.1271918,180973206001,1650317845,AT&T,55.0,25.0,5.0,Mbps,Not Fiber,Internet 25,25.0,55.0,Medium (25-99),D,0.0591872791519434,most white,43792.0,7021.0,Middle-Upper,685.2088706704575,2.0,0.7784911717495987
"7002 N Keystone Ave, Indianapolis IN 46220",indianapolis,IN,39.8824058,-86.1226063,180973206001,1650317846,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),,0.0591872791519434,most white,43792.0,7021.0,Middle-Upper,685.2088706704575,2.0,0.7784911717495987
"7202 N Keystone Ave, Indianapolis IN 46240",indianapolis,IN,39.884269,-86.1226298,180973206001,1650317846,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),,0.0591872791519434,most white,43792.0,7021.0,Middle-Upper,685.2088706704575,2.0,0.7784911717495987
"7204 N Keystone Ave, Indianapolis IN 46240",indianapolis,IN,39.8843409,-86.1226349,180973206001,1650317846,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),,0.0591872791519434,most white,43792.0,7021.0,Middle-Upper,685.2088706704575,2.0,0.7784911717495987
"7004 N Keystone Ave, Indianapolis IN 46220",indianapolis,IN,39.8824692,-86.1226124,180973206001,1650317849,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),,0.0591872791519434,most white,43792.0,7021.0,Middle-Upper,685.2088706704575,2.0,0.7784911717495987
"7216 N Keystone Ave, Indianapolis IN 46240",indianapolis,IN,39.8850821,-86.1225766,180973206001,1650317847,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),,0.0591872791519434,most white,43792.0,7021.0,Middle-Upper,685.2088706704575,2.0,0.7784911717495987
"1734 E 75th St, Indianapolis IN 46240",indianapolis,IN,39.8924732,-86.1314256,180973206001,1650317846,AT&T,55.0,25.0,5.0,Mbps,Not Fiber,Internet 25,25.0,55.0,Medium (25-99),D,0.0591872791519434,most white,43792.0,7021.0,Middle-Upper,685.2088706704575,2.0,0.7784911717495987
"2029 S State Ave, Indianapolis IN 46203",indianapolis,IN,39.7391541,-86.1301973,180973573001,1650314927,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),D,0.2760690172543136,more white,35428.0,15385.0,Middle-Lower,1750.9454185784111,2.0,0.7782909930715936
