address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"3817 Carrollton Ave Indianapolis, IN 46205",indianapolis,IN,39.8256951,-86.1434026,180973221002,1653132743,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058,AT&T
"3906 N Park Ave Indianapolis, IN 46205",indianapolis,IN,39.827078,-86.1476994,180973221002,1652202522,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058,AT&T
"3858 N Park Ave Indianapolis, IN 46205",indianapolis,IN,39.8263965,-86.1476704,180973221002,1651853026,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058,AT&T
"3948 N College Ave Indianapolis, IN 46205",indianapolis,IN,39.827998,-86.1453866,180973221002,1651906872,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058,AT&T
"3852 N College Ave Indianapolis, IN 46205",indianapolis,IN,39.8263423,-86.1453591,180973221002,1653257118,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058,AT&T
"3927 Central Ave Indianapolis, IN 46205",indianapolis,IN,39.8276494,-86.1495139,180973221002,1652191322,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058,AT&T
"3847 N Park Ave Indianapolis, IN 46205",indianapolis,IN,39.8262676,-86.1472093,180973221002,1652601631,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058,AT&T
"3941 Ruckle St Indianapolis, IN 46205",indianapolis,IN,39.8278034,-86.1484008,180973221002,1652212931,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058,AT&T
"621 E 39th St Indianapolis, IN 46205",indianapolis,IN,39.8267019,-86.1466776,180973221002,1651900984,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058,AT&T
"506 E 39th St Indianapolis, IN 46205",indianapolis,IN,39.826968,-86.1494425,180973221002,1651003386,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.760441292356186,least white,,,,3952.322963027561,2.0,0.8235294117647058,AT&T
