address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"6652 Lake Glen Dr Jackson, MS 39213",jackson,MS,32.3735439,-90.2089598,280490102032,1651106417,AT&T,55.0,75.0,20.0,Mbps,Not Fiber,Internet 75,75.0,55.0,Medium (25-99),,0.980453972257251,less white,15542.0,24522.0,Low,281.2456166203747,3.0,0.6097560975609756
"6721 Lake Glen Dr Jackson, MS 39213",jackson,MS,32.3747098,-90.2094572,280490102032,1651106420,AT&T,55.0,100.0,20.0,Mbps,Not Fiber,Internet 100,100.0,55.0,Fast (100-199),,0.980453972257251,less white,15542.0,24522.0,Low,281.2456166203747,3.0,0.6097560975609756
"6694 Glen Ridge Dr Jackson, MS 39213",jackson,MS,32.3751214,-90.2085782,280490102032,1651106418,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.980453972257251,less white,15542.0,24522.0,Low,281.2456166203747,3.0,0.6097560975609756
"6642 Lake Forest Dr Jackson, MS 39213",jackson,MS,32.3739182,-90.2073743,280490102032,1651106419,AT&T,55.0,75.0,20.0,Mbps,Not Fiber,Internet 75,75.0,55.0,Medium (25-99),,0.980453972257251,less white,15542.0,24522.0,Low,281.2456166203747,3.0,0.6097560975609756
"6636 Lake Forest Dr Jackson, MS 39213",jackson,MS,32.3738124,-90.2072708,280490102032,1651106410,AT&T,55.0,100.0,20.0,Mbps,Not Fiber,Internet 100,100.0,55.0,Fast (100-199),,0.980453972257251,less white,15542.0,24522.0,Low,281.2456166203747,3.0,0.6097560975609756
"2331 Forest Glen Dr Jackson, MS 39213",jackson,MS,32.3745305,-90.2057252,280490102032,1651106418,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.980453972257251,less white,15542.0,24522.0,Low,281.2456166203747,3.0,0.6097560975609756
"2364 Forest Glen Dr Jackson, MS 39213",jackson,MS,32.3729627,-90.2062144,280490102032,1651106419,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.980453972257251,less white,15542.0,24522.0,Low,281.2456166203747,3.0,0.6097560975609756
"6506 Lake Forest Dr Jackson, MS 39213",jackson,MS,32.3709798,-90.2067299,280490102032,1651106411,AT&T,55.0,100.0,20.0,Mbps,Not Fiber,Internet 100,100.0,55.0,Fast (100-199),,0.980453972257251,less white,15542.0,24522.0,Low,281.2456166203747,3.0,0.6097560975609756
"6634 Lake Glen Dr Jackson, MS 39213",jackson,MS,32.373156,-90.2089559,280490102032,1651106410,AT&T,55.0,75.0,20.0,Mbps,Not Fiber,Internet 75,75.0,55.0,Medium (25-99),,0.980453972257251,less white,15542.0,24522.0,Low,281.2456166203747,3.0,0.6097560975609756
"2306 Forest Glen Dr Jackson, MS 39213",jackson,MS,32.3741348,-90.2062057,280490102032,1651106410,AT&T,55.0,75.0,20.0,Mbps,Not Fiber,Internet 75,75.0,55.0,Medium (25-99),,0.980453972257251,less white,15542.0,24522.0,Low,281.2456166203747,3.0,0.6097560975609756
