address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"7805 NE 122nd Ter Kansas City, MO 64167",kansas city,MO,39.3140473,-94.4868266,290470218043,1650578398,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.0101302460202604,most white,106776.0,-50597.0,Upper Income,51.28712023617756,6.0,0.9219512195121952,AT&T
"12215 N Eastern Ave Kansas City, MO 64166",kansas city,MO,39.3141363,-94.4895471,290470218043,1650578415,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.0101302460202604,most white,106776.0,-50597.0,Upper Income,51.28712023617756,6.0,0.9219512195121952,AT&T
"8011 NE 122nd Ter Kansas City, MO 64167",kansas city,MO,39.3139976,-94.4833032,290470218043,1650578409,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.0101302460202604,most white,106776.0,-50597.0,Upper Income,51.28712023617756,6.0,0.9219512195121952,AT&T
"12101 N Eastern Ave Kansas City, MO 64166",kansas city,MO,39.3133201,-94.4895597,290470218043,1650578400,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.0101302460202604,most white,106776.0,-50597.0,Upper Income,51.28712023617756,6.0,0.9219512195121952,AT&T
"8005 NE 122nd Ter Kansas City, MO 64167",kansas city,MO,39.3140007,-94.4846595,290470218043,1650578419,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.0101302460202604,most white,106776.0,-50597.0,Upper Income,51.28712023617756,6.0,0.9219512195121952,AT&T
"12301 N Eastern Ave Kansas City, MO 64166",kansas city,MO,39.3168803,-94.4915414,290470218043,1650578406,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.0101302460202604,most white,106776.0,-50597.0,Upper Income,51.28712023617756,6.0,0.9219512195121952,AT&T
"9008 N Lane Ave Kansas City, MO 64157",kansas city,MO,38.916429,-94.4825541,290959883001,1650674138,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.3,more white,56719.0,-540.0,Middle-Lower,7.08753337608061,3.0,0.8367346938775511,AT&T
"7921 N Anita Dr Kansas City, MO 64151",kansas city,MO,39.2384862,-94.6323836,291650302074,1650485168,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"4711 NW 83rd Ter Kansas City, MO 64151",kansas city,MO,39.2455818,-94.6354873,291650302074,1650485167,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"4810 NW 82nd Ter Kansas City, MO 64151",kansas city,MO,39.2433086,-94.6345726,291650302074,1650485121,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"8203 N London Dr Kansas City, MO 64151",kansas city,MO,39.2426238,-94.6318404,291650302074,1650485115,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"4702 NW 82nd Ter Kansas City, MO 64151",kansas city,MO,39.2433104,-94.6334379,291650302074,1650485172,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"8128 NW Beaman Dr Kansas City, MO 64151",kansas city,MO,39.2414605,-94.6383508,291650302074,1650485171,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"5000 NW Coves Dr Kansas City, MO 64151",kansas city,MO,39.2453754,-94.6373902,291650302074,1650485115,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"8148 NW Twin Oaks Dr Kansas City, MO 64151",kansas city,MO,39.241709,-94.636586,291650302074,1650485137,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"4600 NW 83rd St Kansas City, MO 64151",kansas city,MO,39.2450459,-94.6334766,291650302074,1650485148,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"7917 N Anita Dr Kansas City, MO 64151",kansas city,MO,39.2383503,-94.6326151,291650302074,1650485140,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"8123 N Kirkwood Ave Kansas City, MO 64151",kansas city,MO,39.2415575,-94.6393159,291650302074,1650485168,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"5017 NW Coves Dr Kansas City, MO 64151",kansas city,MO,39.2445917,-94.6387814,291650302074,1650485115,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"4904 NW 80th St Kansas City, MO 64151",kansas city,MO,39.2400618,-94.6364472,291650302074,1650485165,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"4700 NW 83rd Ter Kansas City, MO 64151",kansas city,MO,39.24589,-94.6347963,291650302074,1650485141,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"8107 NW Beaman Dr Kansas City, MO 64151",kansas city,MO,39.2407707,-94.6390165,291650302074,1650485145,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"8136 NW Beaman Dr Kansas City, MO 64151",kansas city,MO,39.2416084,-94.6380995,291650302074,1650485168,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"8164 NW Twin Oaks Dr Kansas City, MO 64151",kansas city,MO,39.2422057,-94.6362041,291650302074,1650485122,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"4709 NW Coves Dr Kansas City, MO 64151",kansas city,MO,39.2448148,-94.6353439,291650302074,1650485140,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
"4604 NW 82nd Ter Kansas City, MO 64151",kansas city,MO,39.2430376,-94.6322378,291650302074,1650485172,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.1332503113325031,most white,75625.0,-19446.0,Middle-Upper,1211.2892763941893,3.0,0.9551724137931036,AT&T
