address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"5329 W Lake Mead Blvd Las Vegas, NV 89108",las vegas,NV,36.1952989,-115.2132983,320030034233,1652533232,EarthLink,49.95,3.0,0.512,Mbps,Copper,EarthLink Internet 3M,3.0,49.95,Slow (<25 Mbps),,0.6608219178082192,least white,44487.0,13890.0,Low,2216.6458565119588,2.0,0.8025889967637541,CenturyLink
"5136 Lamarjon Ct Las Vegas, NV 89108",las vegas,NV,36.1926464,-115.2121147,320030034233,1652986992,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.6608219178082192,least white,44487.0,13890.0,Low,2216.6458565119588,2.0,0.8025889967637541,CenturyLink
"1775 N Decatur Blvd Las Vegas, NV 89108",las vegas,NV,36.1915132,-115.2067766,320030034233,1653195981,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.6608219178082192,least white,44487.0,13890.0,Low,2216.6458565119588,2.0,0.8025889967637541,CenturyLink
"1701 Tripp Ct Las Vegas, NV 89108",las vegas,NV,36.1893012,-115.2117525,320030034233,1653073298,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.6608219178082192,least white,44487.0,13890.0,Low,2216.6458565119588,2.0,0.8025889967637541,CenturyLink
"5301 W Lake Mead Blvd Las Vegas, NV 89108",las vegas,NV,36.1952935,-115.2129554,320030034233,1651816913,EarthLink,49.95,3.0,0.512,Mbps,Copper,EarthLink Internet 3M,3.0,49.95,Slow (<25 Mbps),,0.6608219178082192,least white,44487.0,13890.0,Low,2216.6458565119588,2.0,0.8025889967637541,CenturyLink
"1705 Tripp Ct Las Vegas, NV 89108",las vegas,NV,36.1894793,-115.2117474,320030034233,1653141743,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.6608219178082192,least white,44487.0,13890.0,Low,2216.6458565119588,2.0,0.8025889967637541,CenturyLink
"5281 Hayes Ave Las Vegas, NV 89108",las vegas,NV,36.191202,-115.212398,320030034233,1652310086,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,40.0,69.95,Slow (<25 Mbps),,0.6608219178082192,least white,44487.0,13890.0,Low,2216.6458565119588,2.0,0.8025889967637541,CenturyLink
"3025 W Sahara Ave Las Vegas, NV 89102",las vegas,NV,36.1439762,-115.1834893,320030022012,1653148874,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,40.0,69.95,Slow (<25 Mbps),,0.8132701421800947,least white,55595.0,2782.0,Middle-Lower,3320.3352437063127,2.0,0.9415807560137456,CenturyLink
"2812 Northam St Las Vegas, NV 89102",las vegas,NV,36.1385524,-115.1839503,320030022012,1651593871,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),,0.8132701421800947,least white,55595.0,2782.0,Middle-Lower,3320.3352437063127,2.0,0.9415807560137456,CenturyLink
"2716 Yardley St Las Vegas, NV 89102",las vegas,NV,36.1402227,-115.1857621,320030022012,1652256096,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,40.0,69.95,Slow (<25 Mbps),,0.8132701421800947,least white,55595.0,2782.0,Middle-Lower,3320.3352437063127,2.0,0.9415807560137456,CenturyLink
"3209 Wilmington Way Las Vegas, NV 89102",las vegas,NV,36.1397193,-115.1853439,320030022012,1652101297,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,40.0,69.95,Slow (<25 Mbps),,0.8132701421800947,least white,55595.0,2782.0,Middle-Lower,3320.3352437063127,2.0,0.9415807560137456,CenturyLink
"8712 Monarchy Ct Las Vegas, NV 89129",las vegas,NV,36.2362913,-115.2878531,320030032422,1652212930,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"4000 Mountain Trek St Las Vegas, NV 89129",las vegas,NV,36.2342944,-115.2920642,320030032422,1652659397,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"4201 Scott Peak Ct Las Vegas, NV 89129",las vegas,NV,36.2375864,-115.2926235,320030032422,1652475640,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"4116 Rubicon Peak Ct Las Vegas, NV 89129",las vegas,NV,36.2370871,-115.2931947,320030032422,1652263479,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"4101 Highland Castle Ct Las Vegas, NV 89129",las vegas,NV,36.2355145,-115.2904978,320030032422,1652310093,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"4021 Flaming Peak Ct Las Vegas, NV 89129",las vegas,NV,36.2357732,-115.2960871,320030032422,1652926557,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"8712 Kingship Ct Las Vegas, NV 89129",las vegas,NV,36.2353843,-115.287859,320030032422,1652792545,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"4108 Freel Peak Ct Las Vegas, NV 89129",las vegas,NV,36.2364654,-115.2943238,320030032422,1652364077,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"4108 Everest St Las Vegas, NV 89129",las vegas,NV,36.2366246,-115.2966556,320030032422,1652421943,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"4005 Everest St Las Vegas, NV 89129",las vegas,NV,36.2343529,-115.2972361,320030032422,1651737823,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"9112 Frosty Morning Ave Las Vegas, NV 89129",las vegas,NV,36.236211,-115.2962518,320030032422,1653130911,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"4208 Scott Peak Ct Las Vegas, NV 89129",las vegas,NV,36.2381115,-115.2922957,320030032422,1652893306,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"8908 Mount Hood Ct Las Vegas, NV 89129",las vegas,NV,36.2370496,-115.2916426,320030032422,1653408222,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"4117 Freel Peak Ct Las Vegas, NV 89129",las vegas,NV,36.2370787,-115.2949894,320030032422,1651932117,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"8708 Monarchy Ct Las Vegas, NV 89129",las vegas,NV,36.2362504,-115.2873427,320030032422,1653023019,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.2476076555023923,most white,171375.0,-112998.0,Upper Income,627.2165465126835,2.0,0.8858131487889274,CenturyLink
"512 Bowman Ave Las Vegas, NV 89106",las vegas,NV,36.1932387,-115.1491702,320030003011,1651806116,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"613 Holland Ave Las Vegas, NV 89106",las vegas,NV,36.194187,-115.1499011,320030003011,1652403976,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"1945 Susan St Las Vegas, NV 89106",las vegas,NV,36.1943144,-115.1467789,320030003011,1652360499,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"1642 E St Las Vegas, NV 89106",las vegas,NV,36.1904351,-115.1484047,320030003011,1652587271,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"417 Freeman Ave Las Vegas, NV 89106",las vegas,NV,36.1899635,-115.1483657,320030003011,1652155412,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"1952 Walker St Las Vegas, NV 89106",las vegas,NV,36.1946301,-115.1506592,320030003011,1651827987,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"509 Freeman Ave Las Vegas, NV 89106",las vegas,NV,36.1899342,-115.1491923,320030003011,1651701648,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"1900 Holmes St Las Vegas, NV 89106",las vegas,NV,36.1930477,-115.1480296,320030003011,1652184110,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"501 Frederick Ave Las Vegas, NV 89106",las vegas,NV,36.1921798,-115.148497,320030003011,1652048349,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"212 Perkins Cir Las Vegas, NV 89106",las vegas,NV,36.1947055,-115.1447733,320030003011,1652432686,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"1944 Leona St Las Vegas, NV 89106",las vegas,NV,36.1942332,-115.1439987,320030003011,1652943615,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"401 Frederick Ave Las Vegas, NV 89106",las vegas,NV,36.1921822,-115.1476444,320030003011,1651788069,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"1666 G St Las Vegas, NV 89106",las vegas,NV,36.1911194,-115.1512901,320030003011,1651586514,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"217 Paul Ave Las Vegas, NV 89106",las vegas,NV,36.1906517,-115.1458483,320030003011,1652421994,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"1660 George Pl Las Vegas, NV 89106",las vegas,NV,36.1913119,-115.1466618,320030003011,1651626377,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"516 Wyatt Ave Las Vegas, NV 89106",las vegas,NV,36.1911592,-115.1496609,320030003011,1651712464,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
"201 George Pl Las Vegas, NV 89106",las vegas,NV,36.1914387,-115.144819,320030003011,1652090534,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.9760359460808788,least white,38284.0,20093.0,Low,3115.415005008306,2.0,0.7033898305084746,CenturyLink
