address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"9 Erinwood Dr, Little Rock AR 72227",little rock,AR,34.7665188,-92.3707902,51190022034,1650315734,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"38 Flintwood Dr, Little Rock AR 72227",little rock,AR,34.7655104,-92.3688413,51190022034,1650315747,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"8723 Evergreen Dr, Little Rock AR 72227",little rock,AR,34.7645404,-92.371279,51190022034,1650315752,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"1821 Foreman Dr, Little Rock AR 72227",little rock,AR,34.7693497,-92.3700894,51190022034,1650315744,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"59 Flintwood Dr, Little Rock AR 72227",little rock,AR,34.7659417,-92.3721235,51190022034,1650315734,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"6 Biscayne Cir, Little Rock AR 72227",little rock,AR,34.7737146,-92.3644407,51190022034,1650315752,AT&T,55.0,100.0,20.0,Mbps,Not Fiber,Internet 100,100.0,55.0,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"8306 Reymere Dr, Little Rock AR 72227",little rock,AR,34.772678,-92.366067,51190022034,1650315734,AT&T,55.0,100.0,20.0,Mbps,Not Fiber,Internet 100,100.0,55.0,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"15 Janwood Dr, Little Rock AR 72227",little rock,AR,34.7658381,-92.3689165,51190022034,1650315752,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"5 Flintwood Dr, Little Rock AR 72227",little rock,AR,34.7670564,-92.3692176,51190022034,1650315743,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"8501 Evergreen Dr, Little Rock AR 72227",little rock,AR,34.7643206,-92.3682213,51190022034,1650315751,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"1514 Mountain Dr, Little Rock AR 72227",little rock,AR,34.7663332,-92.3696745,51190022034,1650315739,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"8614 Leatrice Dr, Little Rock AR 72227",little rock,AR,34.7712342,-92.3700567,51190022034,1650315753,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"8705 Boulder Ln, Little Rock AR 72227",little rock,AR,34.7690061,-92.3705448,51190022034,1650315753,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"8700 Boulder Ln, Little Rock AR 72227",little rock,AR,34.7693942,-92.3708866,51190022034,1650315742,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"8416 Leatrice Dr, Little Rock AR 72227",little rock,AR,34.7709372,-92.3677622,51190022034,1650315732,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"8824 Leatrice Dr, Little Rock AR 72227",little rock,AR,34.7705747,-92.3723308,51190022034,1650315733,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"8822 Old Spanish Trl, Little Rock AR 72227",little rock,AR,34.7694931,-92.3722467,51190022034,1650315733,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"1617 Mountain Dr, Little Rock AR 72227",little rock,AR,34.7670508,-92.3709042,51190022034,1650315734,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"8701 Leatrice Dr, Little Rock AR 72227",little rock,AR,34.7708301,-92.3707263,51190022034,1650315753,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
"7 Stoney Brook Ct, Little Rock AR 72227",little rock,AR,34.7639177,-92.3709049,51190022034,1650315743,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783
