address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"8101 Cantrell Rd Little Rock, AR 72227",little rock,AR,34.7757453,-92.36372,51190022034,1650661623,EarthLink,59.95,24.0,3.0,Mbps,Fiber Based,Earthlink Internet 24Mx3M,24.0,59.95,Slow (<25 Mbps),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8822 Old Spanish Trl Little Rock, AR 72227",little rock,AR,34.7694931,-92.3722467,51190022034,1650661639,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"5 Flintwood Dr Little Rock, AR 72227",little rock,AR,34.7670564,-92.3692176,51190022034,1650661632,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"1617 Mountain Dr Little Rock, AR 72227",little rock,AR,34.7670508,-92.3709042,51190022034,1650661613,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"6 Foreman Ct Little Rock, AR 72227",little rock,AR,34.7681981,-92.3702931,51190022034,1650661645,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"7 Stoney Brook Ct Little Rock, AR 72227",little rock,AR,34.7639177,-92.3709049,51190022034,1650661662,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"38 Flintwood Dr Little Rock, AR 72227",little rock,AR,34.7655104,-92.3688413,51190022034,1650661623,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"15 Janwood Dr Little Rock, AR 72227",little rock,AR,34.7658381,-92.3689165,51190022034,1650661628,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8416 Leatrice Dr Little Rock, AR 72227",little rock,AR,34.7709372,-92.3677622,51190022034,1650661620,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"17 Janwood Dr Little Rock, AR 72227",little rock,AR,34.7657006,-92.3694748,51190022034,1650661655,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"7 Foreman Ct Little Rock, AR 72227",little rock,AR,34.7679907,-92.3703013,51190022034,1650661653,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8813 Old Spanish Trl Little Rock, AR 72227",little rock,AR,34.7692957,-92.371567,51190022034,1650661662,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"2102 Biscayne Dr Little Rock, AR 72227",little rock,AR,34.772547,-92.3641203,51190022034,1650661612,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8700 Boulder Ln Little Rock, AR 72227",little rock,AR,34.7693942,-92.3708866,51190022034,1650661648,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"1514 Mountain Dr Little Rock, AR 72227",little rock,AR,34.7663332,-92.3696745,51190022034,1650661620,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8306 Reymere Dr Little Rock, AR 72227",little rock,AR,34.772678,-92.366067,51190022034,1650661630,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"6 Biscayne Cir Little Rock, AR 72227",little rock,AR,34.7737146,-92.3644407,51190022034,1650661635,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"59 Flintwood Dr Little Rock, AR 72227",little rock,AR,34.7659417,-92.3721235,51190022034,1650661653,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"7 Windy Ct Little Rock, AR 72227",little rock,AR,34.7707015,-92.3728453,51190022034,1650661635,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8723 Evergreen Dr Little Rock, AR 72227",little rock,AR,34.7645404,-92.371279,51190022034,1650661648,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8318 Reymere Dr Little Rock, AR 72227",little rock,AR,34.7726283,-92.3665987,51190022034,1650661655,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"1600 Mountain Dr Little Rock, AR 72227",little rock,AR,34.7673506,-92.3698922,51190022034,1650661638,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8701 Leatrice Dr Little Rock, AR 72227",little rock,AR,34.7708301,-92.3707263,51190022034,1650661661,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8705 Boulder Ln Little Rock, AR 72227",little rock,AR,34.7690061,-92.3705448,51190022034,1650661642,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8501 Evergreen Dr Little Rock, AR 72227",little rock,AR,34.7643206,-92.3682213,51190022034,1650661628,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"9 Erinwood Dr Little Rock, AR 72227",little rock,AR,34.7665188,-92.3707902,51190022034,1650661642,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8614 Leatrice Dr Little Rock, AR 72227",little rock,AR,34.7712342,-92.3700567,51190022034,1650661646,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8602 Leatrice Dr Little Rock, AR 72227",little rock,AR,34.7711796,-92.3695513,51190022034,1650661661,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"8824 Leatrice Dr Little Rock, AR 72227",little rock,AR,34.7705747,-92.3723308,51190022034,1650661612,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.419925013390466,more white,40531.0,13089.0,Middle-Lower,1419.4501930361027,2.0,0.8412874583795783,AT&T
"2212 Fair Park Blvd Little Rock, AR 72204",little rock,AR,34.7314015,-92.3351894,51190019003,1651737795,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2600 S Taylor St Little Rock, AR 72204",little rock,AR,34.7281175,-92.3364309,51190019003,1652493664,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2610 S Taylor St Little Rock, AR 72204",little rock,AR,34.7274186,-92.336475,51190019003,1651817050,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2104 S Taylor St Little Rock, AR 72204",little rock,AR,34.7325267,-92.3362482,51190019003,1651842142,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2309 S Fillmore St Little Rock, AR 72204",little rock,AR,34.7306598,-92.3368794,51190019003,1652551437,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2207 S Taylor St Little Rock, AR 72204",little rock,AR,34.7314233,-92.335779,51190019003,1651978885,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2302 S Taylor St Little Rock, AR 72204",little rock,AR,34.7307779,-92.3363325,51190019003,1652267234,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2318 Fair Park Blvd Little Rock, AR 72204",little rock,AR,34.7303374,-92.3352237,51190019003,1652439689,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2304 S Tyler St Little Rock, AR 72204",little rock,AR,34.7305514,-92.3340557,51190019003,1652958159,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2605 Fair Park Blvd Little Rock, AR 72204",little rock,AR,34.7279308,-92.3348082,51190019003,1651582972,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2704 S Tyler St Little Rock, AR 72204",little rock,AR,34.7268244,-92.3342583,51190019003,1652745675,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2217 Fair Park Blvd Little Rock, AR 72204",little rock,AR,34.7313691,-92.3346647,51190019003,1653281226,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2606 S Taylor St Little Rock, AR 72204",little rock,AR,34.7276958,-92.3364724,51190019003,1652709897,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2124 Fair Park Blvd Little Rock, AR 72204",little rock,AR,34.7320754,-92.3351753,51190019003,1652457704,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2619 Fair Park Blvd Little Rock, AR 72204",little rock,AR,34.7275104,-92.3348343,51190019003,1652760177,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2217 S Fillmore St Little Rock, AR 72204",little rock,AR,34.7313305,-92.3368489,51190019003,1652972811,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2615 Fair Park Blvd Little Rock, AR 72204",little rock,AR,34.7276369,-92.3348482,51190019003,1653001324,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
"2413 S Fillmore St Little Rock, AR 72204",little rock,AR,34.7295822,-92.3369278,51190019003,1651964651,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.5476190476190477,less white,24219.0,29401.0,Low,1117.274842517451,3.0,0.5077519379844961,AT&T
