address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"522 Dresden Ave, Louisville KY 40215",louisville,KY,38.1974743,-85.7697972,211110040001,1650339961,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.5144157814871017,less white,26875.0,28054.0,Low,3000.8287569556387,2.0,0.6134453781512605
"601 W Evelyn Ave, Louisville KY 40215",louisville,KY,38.1969158,-85.7702523,211110040001,1650339952,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.5144157814871017,less white,26875.0,28054.0,Low,3000.8287569556387,2.0,0.6134453781512605
"4003 S 5th St, Louisville KY 40214",louisville,KY,38.1965264,-85.7681969,211110040001,1650339963,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.5144157814871017,less white,26875.0,28054.0,Low,3000.8287569556387,2.0,0.6134453781512605
"701 Dresden Ave, Louisville KY 40215",louisville,KY,38.1978259,-85.7717065,211110040001,1650339972,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),D,0.5144157814871017,less white,26875.0,28054.0,Low,3000.8287569556387,2.0,0.6134453781512605
"510 W Evelyn Ave, Louisville KY 40215",louisville,KY,38.1965449,-85.7690213,211110040001,1650339952,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.5144157814871017,less white,26875.0,28054.0,Low,3000.8287569556387,2.0,0.6134453781512605
"547 Dresden Ave, Louisville KY 40215",louisville,KY,38.1978205,-85.7707236,211110040001,1650339962,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.5144157814871017,less white,26875.0,28054.0,Low,3000.8287569556387,2.0,0.6134453781512605
"712 Dresden Ave, Louisville KY 40215",louisville,KY,38.1974255,-85.772288,211110040001,1650339968,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),D,0.5144157814871017,less white,26875.0,28054.0,Low,3000.8287569556387,2.0,0.6134453781512605
"3914 S 5th St, Louisville KY 40214",louisville,KY,38.1977999,-85.7686616,211110040001,1650339963,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.5144157814871017,less white,26875.0,28054.0,Low,3000.8287569556387,2.0,0.6134453781512605
"514 W Evelyn Ave, Louisville KY 40215",louisville,KY,38.1965195,-85.7691508,211110040001,1650339952,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.5144157814871017,less white,26875.0,28054.0,Low,3000.8287569556387,2.0,0.6134453781512605
"723 Denmark St, Louisville KY 40215",louisville,KY,38.1959755,-85.7722163,211110040001,1650339971,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),D,0.5144157814871017,less white,26875.0,28054.0,Low,3000.8287569556387,2.0,0.6134453781512605
