address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"3007 Cleveland Blvd Louisville, KY 40206",louisville,KY,38.2656711,-85.6936015,211110076032,1651640505,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2143884892086331,more white,59375.0,-4446.0,Middle-Upper,1519.0360350318122,2.0,0.8640483383685801,AT&T
"3030 Eastern Ave Louisville, KY 40206",louisville,KY,38.2670228,-85.6951369,211110076032,1651824345,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2143884892086331,more white,59375.0,-4446.0,Middle-Upper,1519.0360350318122,2.0,0.8640483383685801,AT&T
"3042 University Rd Louisville, KY 40206",louisville,KY,38.2666751,-85.6931799,211110076032,1651906888,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2143884892086331,more white,59375.0,-4446.0,Middle-Upper,1519.0360350318122,2.0,0.8640483383685801,AT&T
"811 River Dell Dr Louisville, KY 40206",louisville,KY,38.2689332,-85.6991852,211110076032,1652259701,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),C,0.2143884892086331,more white,59375.0,-4446.0,Middle-Upper,1519.0360350318122,2.0,0.8640483383685801,AT&T
"611 Country Club Rd Louisville, KY 40206",louisville,KY,38.2656046,-85.6957176,211110076032,1650960172,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2143884892086331,more white,59375.0,-4446.0,Middle-Upper,1519.0360350318122,2.0,0.8640483383685801,AT&T
"607 Country Club Rd Louisville, KY 40206",louisville,KY,38.2655079,-85.6953208,211110076032,1652479258,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2143884892086331,more white,59375.0,-4446.0,Middle-Upper,1519.0360350318122,2.0,0.8640483383685801,AT&T
"3008 Eastern Ave Louisville, KY 40206",louisville,KY,38.2664813,-85.6963804,211110076032,1653156141,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2143884892086331,more white,59375.0,-4446.0,Middle-Upper,1519.0360350318122,2.0,0.8640483383685801,AT&T
"3058 University Rd Louisville, KY 40206",louisville,KY,38.2674819,-85.6928215,211110076032,1652641272,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2143884892086331,more white,59375.0,-4446.0,Middle-Upper,1519.0360350318122,2.0,0.8640483383685801,AT&T
"3208 University Rd Louisville, KY 40206",louisville,KY,38.2687934,-85.6942993,211110076032,1652274066,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2143884892086331,more white,59375.0,-4446.0,Middle-Upper,1519.0360350318122,2.0,0.8640483383685801,AT&T
"3005 University Rd Louisville, KY 40206",louisville,KY,38.2653128,-85.6948536,211110076032,1651053091,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2143884892086331,more white,59375.0,-4446.0,Middle-Upper,1519.0360350318122,2.0,0.8640483383685801,AT&T
"3056 University Rd Louisville, KY 40206",louisville,KY,38.2673951,-85.6927096,211110076032,1653384658,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2143884892086331,more white,59375.0,-4446.0,Middle-Upper,1519.0360350318122,2.0,0.8640483383685801,AT&T
"7214 Lawnside Dr Louisville, KY 40214",louisville,KY,38.1484377,-85.7696337,211110091063,1651860319,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.4411463664278403,less white,30670.0,24259.0,Middle-Lower,1669.571755699101,2.0,0.7634961439588689,AT&T
"722 Palatka Rd Louisville, KY 40214",louisville,KY,38.1475024,-85.769329,211110091063,1652907776,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.4411463664278403,less white,30670.0,24259.0,Middle-Lower,1669.571755699101,2.0,0.7634961439588689,AT&T
"7210 Ivan Ct Louisville, KY 40214",louisville,KY,38.1488985,-85.7662528,211110091063,1653148113,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.4411463664278403,less white,30670.0,24259.0,Middle-Lower,1669.571755699101,2.0,0.7634961439588689,AT&T
"7211 Aurora Dr Louisville, KY 40214",louisville,KY,38.14796,-85.7653908,211110091063,1651762996,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.4411463664278403,less white,30670.0,24259.0,Middle-Lower,1669.571755699101,2.0,0.7634961439588689,AT&T
"7216 Lawnside Dr Louisville, KY 40214",louisville,KY,38.148308,-85.7697653,211110091063,1653307275,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.4411463664278403,less white,30670.0,24259.0,Middle-Lower,1669.571755699101,2.0,0.7634961439588689,AT&T
"105 Lenoak Dr Louisville, KY 40214",louisville,KY,38.148034,-85.7671503,211110091063,1651723546,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.4411463664278403,less white,30670.0,24259.0,Middle-Lower,1669.571755699101,2.0,0.7634961439588689,AT&T
