address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"318 Parkdale Dr Memphis, TN 38109",memphis,TN,35.0310441,-90.0534948,471570223222,1650480518,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.9811133200795228,least white,38533.0,3331.0,Middle-Lower,1566.6975541764325,2.0,0.8329177057356608,AT&T
"4350 Marguerite Dr Memphis, TN 38109",memphis,TN,35.0299051,-90.0504484,471570223222,1650480536,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.9811133200795228,least white,38533.0,3331.0,Middle-Lower,1566.6975541764325,2.0,0.8329177057356608,AT&T
"4357 Newton Dr Memphis, TN 38109",memphis,TN,35.0297102,-90.0531805,471570223222,1650480515,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.9811133200795228,least white,38533.0,3331.0,Middle-Lower,1566.6975541764325,2.0,0.8329177057356608,AT&T
"4330 Hodge Rd Memphis, TN 38109",memphis,TN,35.0305437,-90.049303,471570223222,1650480513,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.9811133200795228,least white,38533.0,3331.0,Middle-Lower,1566.6975541764325,2.0,0.8329177057356608,AT&T
"4204 Neely Rd Memphis, TN 38109",memphis,TN,35.0339122,-90.0559119,471570223222,1650480535,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.9811133200795228,least white,38533.0,3331.0,Middle-Lower,1566.6975541764325,2.0,0.8329177057356608,AT&T
"522 Parkdale Dr Memphis, TN 38109",memphis,TN,35.0310408,-90.0466383,471570223222,1650480491,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.9811133200795228,least white,38533.0,3331.0,Middle-Lower,1566.6975541764325,2.0,0.8329177057356608,AT&T
"4238 Neely Rd Memphis, TN 38109",memphis,TN,35.0329379,-90.0559339,471570223222,1650480510,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.9811133200795228,least white,38533.0,3331.0,Middle-Lower,1566.6975541764325,2.0,0.8329177057356608,AT&T
"4378 Marguerite Dr Memphis, TN 38109",memphis,TN,35.0291048,-90.0504516,471570223222,1650480540,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.9811133200795228,least white,38533.0,3331.0,Middle-Lower,1566.6975541764325,2.0,0.8329177057356608,AT&T
"355 E Raines Rd Memphis, TN 38109",memphis,TN,35.0344657,-90.0521525,471570223222,1650480519,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.9811133200795228,least white,38533.0,3331.0,Middle-Lower,1566.6975541764325,2.0,0.8329177057356608,AT&T
"4327 Marguerite Dr Memphis, TN 38109",memphis,TN,35.0305749,-90.0508807,471570223222,1650480514,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.9811133200795228,least white,38533.0,3331.0,Middle-Lower,1566.6975541764325,2.0,0.8329177057356608,AT&T
