address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"2431 N 1st St, Milwaukee WI 53212",milwaukee,WI,43.0628628,-87.9115555,550791856003,1650275272,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727
"2422 N 2nd St, Milwaukee WI 53212",milwaukee,WI,43.0626616,-87.9121947,550791856003,1650275266,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727
"2449 N 2nd St, Milwaukee WI 53212",milwaukee,WI,43.0632168,-87.9130484,550791856003,1650275265,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727
"2323 N Palmer St, Milwaukee WI 53212",milwaukee,WI,43.0608354,-87.9100808,550791856003,1650275267,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727
"2438 N 1st St, Milwaukee WI 53212",milwaukee,WI,43.062925,-87.9106948,550791856003,1650275265,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727
"2336 N 2nd St, Milwaukee WI 53212",milwaukee,WI,43.0611249,-87.9122112,550791856003,1650275265,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727
"2442 N 1st St, Milwaukee WI 53212",milwaukee,WI,43.0630622,-87.9106932,550791856003,1650275270,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727
"2351 N 1st St, Milwaukee WI 53212",milwaukee,WI,43.061417,-87.9115719,550791856003,1650275265,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727
"2329 N Palmer St, Milwaukee WI 53212",milwaukee,WI,43.0609496,-87.9100794,550791856003,1650275266,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727
"2338 N 2nd St, Milwaukee WI 53212",milwaukee,WI,43.0611249,-87.9122112,550791856003,1650275265,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727
