address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"4402 W Roosevelt Dr Milwaukee, WI 53216",milwaukee,WI,43.0852997,-87.9689606,550790038001,1650496602,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.9848156182212582,least white,40667.0,2458.0,Middle-Lower,2088.4392880279424,2.0,0.601010101010101,AT&T
"4724 W Scranton Pl Milwaukee, WI 53216",milwaukee,WI,43.084791,-87.9727463,550790038001,1650496590,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.9848156182212582,least white,40667.0,2458.0,Middle-Lower,2088.4392880279424,2.0,0.601010101010101,AT&T
"4437 W Spencer Pl Milwaukee, WI 53216",milwaukee,WI,43.086852,-87.9694935,550790038001,1650496609,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.9848156182212582,least white,40667.0,2458.0,Middle-Lower,2088.4392880279424,2.0,0.601010101010101,AT&T
"4327 W Capitol Dr Milwaukee, WI 53216",milwaukee,WI,43.0894876,-87.9680642,550790038001,1650496591,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.9848156182212582,least white,40667.0,2458.0,Middle-Lower,2088.4392880279424,2.0,0.601010101010101,AT&T
"4646 W Scranton Pl Milwaukee, WI 53216",milwaukee,WI,43.0835763,-87.9711882,550790038001,1650496609,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),B,0.9848156182212582,least white,40667.0,2458.0,Middle-Lower,2088.4392880279424,2.0,0.601010101010101,AT&T
"3958 N 44th St Milwaukee, WI 53216",milwaukee,WI,43.0892095,-87.9680893,550790038001,1650496596,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.9848156182212582,least white,40667.0,2458.0,Middle-Lower,2088.4392880279424,2.0,0.601010101010101,AT&T
"3836 N 44th St Milwaukee, WI 53216",milwaukee,WI,43.0865798,-87.9681179,550790038001,1650496609,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.9848156182212582,least white,40667.0,2458.0,Middle-Lower,2088.4392880279424,2.0,0.601010101010101,AT&T
"4444 W Leon Ter Milwaukee, WI 53216",milwaukee,WI,43.0861625,-87.9692649,550790038001,1650496635,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.9848156182212582,least white,40667.0,2458.0,Middle-Lower,2088.4392880279424,2.0,0.601010101010101,AT&T
"3521 N 45th St Milwaukee, WI 53216",milwaukee,WI,43.0830484,-87.9700906,550790038001,1650496602,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),B,0.9848156182212582,least white,40667.0,2458.0,Middle-Lower,2088.4392880279424,2.0,0.601010101010101,AT&T
"3822 N 44th St Milwaukee, WI 53216",milwaukee,WI,43.0863054,-87.9681229,550790038001,1650496596,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),B,0.9848156182212582,least white,40667.0,2458.0,Middle-Lower,2088.4392880279424,2.0,0.601010101010101,AT&T
"4605 W Ridge Ct Milwaukee, WI 53216",milwaukee,WI,43.0856479,-87.971504,550790038001,1650496604,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),B,0.9848156182212582,least white,40667.0,2458.0,Middle-Lower,2088.4392880279424,2.0,0.601010101010101,AT&T
"2439 N 2nd St Milwaukee, WI 53212",milwaukee,WI,43.0629423,-87.9130512,550791856003,1653451296,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727,AT&T
"2442 N 1st St Milwaukee, WI 53212",milwaukee,WI,43.0630622,-87.9106932,550791856003,1651519029,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727,AT&T
"2422 N 2nd St Milwaukee, WI 53212",milwaukee,WI,43.0626616,-87.9121947,550791856003,1651456894,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727,AT&T
"2436 N 2nd St Milwaukee, WI 53212",milwaukee,WI,43.0630047,-87.9121908,550791856003,1651521878,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727,AT&T
"2431 N 1st St Milwaukee, WI 53212",milwaukee,WI,43.0628628,-87.9115555,550791856003,1650949413,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727,AT&T
"2403 N 2nd St Milwaukee, WI 53212",milwaukee,WI,43.0622566,-87.9130583,550791856003,1651507373,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727,AT&T
"2351 N 1st St Milwaukee, WI 53212",milwaukee,WI,43.061417,-87.9115719,550791856003,1651176189,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727,AT&T
"2438 N 1st St Milwaukee, WI 53212",milwaukee,WI,43.062925,-87.9106948,550791856003,1650931274,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727,AT&T
"2329 N Palmer St Milwaukee, WI 53212",milwaukee,WI,43.0609496,-87.9100794,550791856003,1653364953,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727,AT&T
"2336 N 2nd St Milwaukee, WI 53212",milwaukee,WI,43.0611249,-87.9122112,550791856003,1651395699,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727,AT&T
"2449 N 2nd St Milwaukee, WI 53212",milwaukee,WI,43.0632168,-87.9130484,550791856003,1652803653,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),C,0.7636363636363637,more white,42171.0,954.0,Middle-Lower,3690.059406906816,2.0,0.7102272727272727,AT&T
"4100 N 27th St Milwaukee, WI 53216",milwaukee,WI,43.0917675,-87.9465742,550790042003,1651402885,EarthLink,59.95,3.0,1.0,Mbps,Copper,Earthlink Internet 3Mx1M,3.0,59.95,Slow (<25 Mbps),C,0.9861963190184048,least white,41000.0,2125.0,Middle-Lower,4847.691770076656,2.0,0.7447916666666666,AT&T
"4285 N 26th St Milwaukee, WI 53209",milwaukee,WI,43.0945866,-87.945992,550790042003,1651709294,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.9861963190184048,least white,41000.0,2125.0,Middle-Lower,4847.691770076656,2.0,0.7447916666666666,AT&T
"4071 N 26th St Milwaukee, WI 53209",milwaukee,WI,43.0914308,-87.9460641,550790042003,1651132934,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.9861963190184048,least white,41000.0,2125.0,Middle-Lower,4847.691770076656,2.0,0.7447916666666666,AT&T
"4260 N 27th St Milwaukee, WI 53216",milwaukee,WI,43.0940988,-87.9465174,550790042003,1651168828,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.9861963190184048,least white,41000.0,2125.0,Middle-Lower,4847.691770076656,2.0,0.7447916666666666,AT&T
