address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"3739 SNELLING AVE,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9348799,-93.2257266,270531088001,1650164907,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),D,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3636 34TH AVE S,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9366218,-93.2233313,270531088001,1650164906,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3740 SNELLING AVE,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9346924,-93.2265906,270531088001,1650164915,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),D,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3759 1/2 SNELLING AVE,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9344676,-93.2252103,270531088001,1650164918,CenturyLink,50.0,30.0,1.5,Mbps,Not Fiber,HSI Upto 30 Mbps/1.5 Mbps Prepaid,30.0,50.0,Medium (25-99),D,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3741 MINNEHAHA AVE,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9346907,-93.2238197,270531088001,1650164916,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),C,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3640 34TH AVE S,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9365129,-93.2233306,270531088001,1650164907,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3647 SNELLING AVE,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9364954,-93.2269033,270531088001,1650164906,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),D,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3636 33RD AVE S,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9365366,-93.2246345,270531088001,1650164906,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),C,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3620 MINNEHAHA AVE,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9370012,-93.2265476,270531088001,1650164906,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),D,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3721 MINNEHAHA AVE,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9351768,-93.2241686,270531088001,1650164911,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),C,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3752 SNELLING AVE,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9343974,-93.2263754,270531088001,1650164916,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),D,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3631 33RD AVE S,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.936838,-93.2239298,270531088001,1650164906,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3734 34TH AVE S,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9345467,-93.2231504,270531088001,1650164923,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),C,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3748 SNELLING AVE,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9344963,-93.2264468,270531088001,1650164916,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),D,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3744 SNELLING AVE,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9345956,-93.2265205,270531088001,1650164917,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),D,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3738 MINNEHAHA AVE,MINNEAPOLIS,MN 55406,USA",minneapolis,MN,44.9348085,-93.2249469,270531088001,1650164917,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),D,0.6405750798722045,least white,60417.0,5651.0,Middle-Lower,3329.255969792054,3.0,0.6080246913580247
"3731 PARK AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9348538,-93.2646029,270530095002,1650129605,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3637 PARK AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9365321,-93.2646121,270530095002,1650129599,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3740 CHICAGO AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9346378,-93.2628871,270530095002,1650129608,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3637 OAKLAND AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9363961,-93.2659685,270530095002,1650129599,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3711 COLUMBUS AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9354533,-93.2634214,270530095002,1650129616,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3642 OAKLAND AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9362731,-93.2666537,270530095002,1650129598,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3607 PORTLAND AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9374134,-93.2671744,270530095002,1650129620,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3628 CHICAGO AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9368529,-93.2629056,270530095002,1650129605,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3612 COLUMBUS AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9372675,-93.2641349,270530095002,1650129616,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3629 PARK AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.936803,-93.264617,270530095002,1650129620,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"612 E 37TH ST,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9361329,-93.2667832,270530095002,1650129609,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3600 COLUMBUS AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9376147,-93.264139,270530095002,1650129621,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"620 E 37TH ST,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.936188,-93.2660757,270530095002,1650129619,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3633 PORTLAND AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9365372,-93.2671614,270530095002,1650129615,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
"3715 OAKLAND AVE,MINNEAPOLIS,MN 55407,USA",minneapolis,MN,44.9354662,-93.2659588,270530095002,1650129624,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),B,0.6868537666174298,least white,50278.0,15790.0,Middle-Lower,4219.751178039842,3.0,0.8699186991869918
