address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"337 Ladybird Ct Nashville, TN 37217",nashville,TN,36.0977763,-86.6646468,470370156134,1664223393,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.3566739606126914,less white,46523.0,15564.0,Middle-Lower,335.39881267352484,2.0,0.928395061728395
"3729 Lausanne Dr Nashville, TN 37211",nashville,TN,36.0406136,-86.7225056,470370191161,1664224470,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004
"2328 Zermatt Ave Nashville, TN 37211",nashville,TN,36.040765,-86.7213438,470370191161,1664224487,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004
"3555 Steffisburg Dr Nashville, TN 37211",nashville,TN,36.040339,-86.7226891,470370191161,1664224475,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004
"2334 Zermatt Ave Nashville, TN 37211",nashville,TN,36.0406126,-86.7213683,470370191161,1664224493,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004
"3709 Lausanne Dr Nashville, TN 37211",nashville,TN,36.0408179,-86.7216816,470370191161,1664224467,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004
"3756 Steffisburg Dr Nashville, TN 37211",nashville,TN,36.0401002,-86.7222052,470370191161,1664224466,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004
"15561 Old Hickory Blvd Nashville, TN 37211",nashville,TN,36.0396675,-86.7423681,470370191162,1664224094,AT&T,55.0,75.0,20.0,Mbps,Not Fiber,Internet 75,75.0,55.0,Medium (25-99),,0.2492452197249245,more white,121019.0,-58932.0,Upper Income,774.4868797090153,2.0,0.9512411347517732
"15565 Old Hickory Blvd Nashville, TN 37211",nashville,TN,36.0396675,-86.7423681,470370191162,1664224095,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.2492452197249245,more white,121019.0,-58932.0,Upper Income,774.4868797090153,2.0,0.9512411347517732
"15563 Old Hickory Blvd Nashville, TN 37211",nashville,TN,36.0396675,-86.7423681,470370191162,1664224097,AT&T,55.0,50.0,10.0,Mbps,Not Fiber,Internet 50,50.0,55.0,Medium (25-99),,0.2492452197249245,more white,121019.0,-58932.0,Upper Income,774.4868797090153,2.0,0.9512411347517732
"908 Crownhill Dr Nashville, TN 37217",nashville,TN,36.1294271,-86.7208117,470370158023,1664223581,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER — INTERNET 300,1000.0,80.0,Blazing (≥200),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677
"906 Havenhill Dr Nashville, TN 37217",nashville,TN,36.1303023,-86.7222236,470370158023,1664223587,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER — INTERNET 300,1000.0,80.0,Blazing (≥200),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677
