address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"15561 Old Hickory Blvd Nashville, TN 37211",nashville,TN,36.0396675,-86.7423681,470370191162,1664355632,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,75.0,64.95,Slow (<25 Mbps),,0.2492452197249245,more white,121019.0,-58932.0,Upper Income,774.4868797090153,2.0,0.9512411347517732,AT&T
"15563 Old Hickory Blvd Nashville, TN 37211",nashville,TN,36.0396675,-86.7423681,470370191162,1664362856,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.2492452197249245,more white,121019.0,-58932.0,Upper Income,774.4868797090153,2.0,0.9512411347517732,AT&T
"15565 Old Hickory Blvd Nashville, TN 37211",nashville,TN,36.0396675,-86.7423681,470370191162,1664319619,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.2492452197249245,more white,121019.0,-58932.0,Upper Income,774.4868797090153,2.0,0.9512411347517732,AT&T
"337 Ladybird Ct Nashville, TN 37217",nashville,TN,36.0977763,-86.6646468,470370156134,1664244164,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.3566739606126914,less white,46523.0,15564.0,Middle-Lower,335.39881267352484,2.0,0.928395061728395,AT&T
"8167 Sawyer Brown Rd Nashville, TN 37221",nashville,TN,36.0810846,-86.947294,470370184015,1664258432,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.2395929694727104,more white,51389.0,10698.0,Middle-Lower,833.6225178330441,2.0,0.8263358778625954,AT&T
"8159 Sawyer Brown Rd Nashville, TN 37221",nashville,TN,36.0810846,-86.947294,470370184015,1664287255,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.2395929694727104,more white,51389.0,10698.0,Middle-Lower,833.6225178330441,2.0,0.8263358778625954,AT&T
"8169 Sawyer Brown Rd Nashville, TN 37221",nashville,TN,36.0810846,-86.947294,470370184015,1664325925,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.2395929694727104,more white,51389.0,10698.0,Middle-Lower,833.6225178330441,2.0,0.8263358778625954,AT&T
"8155 Sawyer Brown Rd Nashville, TN 37221",nashville,TN,36.0810846,-86.947294,470370184015,1664276426,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.2395929694727104,more white,51389.0,10698.0,Middle-Lower,833.6225178330441,2.0,0.8263358778625954,AT&T
"2328 Zermatt Ave Nashville, TN 37211",nashville,TN,36.040765,-86.7213438,470370191161,1664244408,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004,AT&T
"3555 Steffisburg Dr Nashville, TN 37211",nashville,TN,36.040339,-86.7226891,470370191161,1664282899,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004,AT&T
"3756 Steffisburg Dr Nashville, TN 37211",nashville,TN,36.0401002,-86.7222052,470370191161,1664262082,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004,AT&T
"2334 Zermatt Ave Nashville, TN 37211",nashville,TN,36.0406126,-86.7213683,470370191161,1664359299,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004,AT&T
"3729 Lausanne Dr Nashville, TN 37211",nashville,TN,36.0406136,-86.7225056,470370191161,1664370199,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004,AT&T
"3709 Lausanne Dr Nashville, TN 37211",nashville,TN,36.0408179,-86.7216816,470370191161,1664269257,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),,0.3988321167883211,less white,51982.0,10105.0,Middle-Lower,1497.1034872239154,2.0,0.9157134256472004,AT&T
"906 Havenhill Dr Nashville, TN 37217",nashville,TN,36.1303023,-86.7222236,470370158023,1664316286,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677,AT&T
"402 Bunkerhill Dr Nashville, TN 37217",nashville,TN,36.1309634,-86.7221664,470370158023,1664272851,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677,AT&T
"340 Plus Park Blvd Nashville, TN 37217",nashville,TN,36.1322242,-86.7230695,470370158023,1664312444,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677,AT&T
"908 Crownhill Dr Nashville, TN 37217",nashville,TN,36.1294271,-86.7208117,470370158023,1664251251,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677,AT&T
"893 Murfreesboro Pike Nashville, TN 37217",nashville,TN,36.1322203,-86.7210962,470370158023,1664265761,EarthLink,59.95,3.0,1.0,Mbps,Copper,EarthLink Internet 3Mx1M,3.0,59.95,Slow (<25 Mbps),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677,AT&T
"912 Crownhill Dr Nashville, TN 37217",nashville,TN,36.1291242,-86.7208401,470370158023,1664247659,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677,AT&T
"413 Foothill Dr Nashville, TN 37217",nashville,TN,36.1287732,-86.7201791,470370158023,1664370021,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677,AT&T
"912 Havenhill Dr Nashville, TN 37217",nashville,TN,36.1303269,-86.721493,470370158023,1664272835,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677,AT&T
"311 Plus Park Blvd Nashville, TN 37217",nashville,TN,36.129978,-86.726068,470370158023,1664276430,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677,AT&T
"926 Havenhill Dr Nashville, TN 37217",nashville,TN,36.1309934,-86.7206428,470370158023,1664348580,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677,AT&T
"320 Plus Park Blvd Nashville, TN 37217",nashville,TN,36.1304915,-86.7250325,470370158023,1664265814,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),,0.405284147557328,less white,27094.0,34993.0,Low,1063.7395269911974,2.0,0.766721044045677,AT&T
"808 Goodwin Ct Nashville, TN 37217",nashville,TN,36.0853641,-86.6253439,470370156181,1664370130,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.644794952681388,less white,53042.0,9045.0,Middle-Lower,1573.9071027398893,2.0,0.9305019305019304,AT&T
"1614 Fatherland St Nashville, TN 37206",nashville,TN,36.173092,-86.7410966,470370122003,1664370097,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.0748091603053435,most white,73990.0,-11903.0,Middle-Upper,2342.7580163456555,3.0,1.0,AT&T
"1613 Fatherland St Nashville, TN 37206",nashville,TN,36.1734517,-86.7412111,470370122003,1664359237,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.0748091603053435,most white,73990.0,-11903.0,Middle-Upper,2342.7580163456555,3.0,1.0,AT&T
"1406 Fatherland St Nashville, TN 37206",nashville,TN,36.1735016,-86.7456026,470370122003,1664244280,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,45.0,64.95,Slow (<25 Mbps),C,0.0748091603053435,most white,73990.0,-11903.0,Middle-Upper,2342.7580163456555,3.0,1.0,AT&T
"1517 Lillian St Nashville, TN 37206",nashville,TN,36.1725844,-86.7431259,470370122003,1664280085,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.0748091603053435,most white,73990.0,-11903.0,Middle-Upper,2342.7580163456555,3.0,1.0,AT&T
"1508 Lillian St Nashville, TN 37206",nashville,TN,36.1723127,-86.7439032,470370122003,1664323225,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.0748091603053435,most white,73990.0,-11903.0,Middle-Upper,2342.7580163456555,3.0,1.0,AT&T
"1420 Lillian St Nashville, TN 37206",nashville,TN,36.1724177,-86.7448793,470370122003,1664370033,EarthLink,54.95,12.0,1.0,Mbps,Fiber Based,EarthLink Internet 12Mx1M,75.0,64.95,Slow (<25 Mbps),C,0.0748091603053435,most white,73990.0,-11903.0,Middle-Upper,2342.7580163456555,3.0,1.0,AT&T
"1621 Fatherland St Nashville, TN 37206",nashville,TN,36.1733999,-86.7407064,470370122003,1664359281,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.0748091603053435,most white,73990.0,-11903.0,Middle-Upper,2342.7580163456555,3.0,1.0,AT&T
"200 S 16th St Nashville, TN 37206",nashville,TN,36.1742623,-86.7425031,470370122003,1664308809,EarthLink,59.95,100.0,100.0,Mbps,Fiber,EarthLink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.0748091603053435,most white,73990.0,-11903.0,Middle-Upper,2342.7580163456555,3.0,1.0,AT&T
