address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"420 Delery St, New Orleans LA 70117",new orleans,LA,29.9528562,-90.0112131,220710007023,1650312113,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),D,0.3673469387755102,more white,,,,457.8198432200618,4.0,0.9195402298850576
"324 Delery St, New Orleans LA 70117",new orleans,LA,29.9520906,-90.0116073,220710007023,1650312111,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),,0.3673469387755102,more white,,,,457.8198432200618,4.0,0.9195402298850576
"323 Tricou St, New Orleans LA 70117",new orleans,LA,29.9523247,-90.0122986,220710007023,1650312112,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),,0.3673469387755102,more white,,,,457.8198432200618,4.0,0.9195402298850576
"6321 Alhambra St, New Orleans LA 70117",new orleans,LA,29.9517578,-90.0120819,220710007023,1650312122,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),,0.3673469387755102,more white,,,,457.8198432200618,4.0,0.9195402298850576
"522 Tricou St, New Orleans LA 70117",new orleans,LA,29.9539388,-90.011742,220710007023,1650312120,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),D,0.3673469387755102,more white,,,,457.8198432200618,4.0,0.9195402298850576
"524 Tupelo St, New Orleans LA 70117",new orleans,LA,29.9547866,-90.0137573,220710007023,1650312112,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),D,0.3673469387755102,more white,,,,457.8198432200618,4.0,0.9195402298850576
"511 Alabo St, New Orleans LA 70117",new orleans,LA,29.9549352,-90.0146462,220710007023,1650312117,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),D,0.3673469387755102,more white,,,,457.8198432200618,4.0,0.9195402298850576
"1241 Congress St, New Orleans LA 70117",new orleans,LA,29.9682512,-90.0381388,220710136002,1650323600,AT&T,55.0,5.0,1.0,Mbps,Not Fiber,Internet Basic 5,5.0,55.0,Slow (<25 Mbps),D,0.4668769716088328,more white,64583.0,-21325.0,Middle-Upper,4848.3921538638015,3.0,0.7154471544715447
"8129 Cohn St, New Orleans LA 70118",new orleans,LA,29.952924,-90.1250253,220710130001,1650345079,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"8138 Cohn St, New Orleans LA 70118",new orleans,LA,29.9528711,-90.1254218,220710130001,1650345086,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1804 Dante St, New Orleans LA 70118",new orleans,LA,29.9532183,-90.1270168,220710130001,1650345070,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1921 Dublin St, New Orleans LA 70118",new orleans,LA,29.9533527,-90.1249077,220710130001,1650345077,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"8237 Hickory St, New Orleans LA 70118",new orleans,LA,29.9529428,-90.1267082,220710130001,1650345060,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"8236 Spruce St, New Orleans LA 70118",new orleans,LA,29.9542188,-90.125421,220710130001,1650345062,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"8419 Hickory St, New Orleans LA 70118",new orleans,LA,29.9540767,-90.1281377,220710130001,1650345070,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1910 Cambronne St, New Orleans LA 70118",new orleans,LA,29.9546912,-90.1269397,220710130001,1650345080,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1802 Cambronne St, New Orleans LA 70118",new orleans,LA,29.953855,-90.1278307,220710130001,1650345061,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1930 Dublin St, New Orleans LA 70118",new orleans,LA,29.9536428,-90.1249168,220710130001,1650345061,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"8412 Cohn St, New Orleans LA 70118",new orleans,LA,29.9546037,-90.1275196,220710130001,1650345071,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1819 Dublin St, New Orleans LA 70118",new orleans,LA,29.9525871,-90.1257054,220710130001,1650345078,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1820 S Carrollton Ave, New Orleans LA 70118",new orleans,LA,29.9520365,-90.1250389,220710130001,1650345087,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"8525 Cohn St, New Orleans LA 70118",new orleans,LA,29.9555392,-90.1283173,220710130001,1650345062,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),D,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1804 Cambronne St, New Orleans LA 70118",new orleans,LA,29.9538936,-90.1277907,220710130001,1650345079,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"8518 Spruce St, New Orleans LA 70118",new orleans,LA,29.9560202,-90.127659,220710130001,1650345070,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,5000.0,180.0,Blazing (≥200),D,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"8124 Spruce St, New Orleans LA 70118",new orleans,LA,29.9533418,-90.1243208,220710130001,1650345062,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1922 S Carrollton Ave, New Orleans LA 70118",new orleans,LA,29.9528301,-90.1242124,220710130001,1650345087,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1824 Cambronne St, New Orleans LA 70118",new orleans,LA,29.9541419,-90.1275351,220710130001,1650345070,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1920 Dublin St, New Orleans LA 70118",new orleans,LA,29.9535114,-90.1250545,220710130001,1650345087,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"8515 Cohn St, New Orleans LA 70118",new orleans,LA,29.9554093,-90.1281595,220710130001,1650345086,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),D,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1916 Dublin St, New Orleans LA 70118",new orleans,LA,29.9534415,-90.1251288,220710130001,1650345071,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"8119 Cohn St, New Orleans LA 70118",new orleans,LA,29.9527767,-90.1248489,220710130001,1650345078,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
"1810 Dante St, New Orleans LA 70118",new orleans,LA,29.9533132,-90.1269058,220710130001,1650345061,AT&T,55.0,18.0,1.0,Mbps,Not Fiber,Internet 18,18.0,55.0,Slow (<25 Mbps),C,0.4215686274509804,more white,36786.0,6472.0,Middle-Lower,4126.881372390355,3.0,0.7405660377358491
