address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"272 SUMMER AVE, NEWARK, NJ, 07104-2714, USA",newark,NJ,40.7610904,-74.1709038,340130092003,1650476515,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.9237097980553478,more white,27500.0,9976.0,Low,24877.195593926765,2.0,0.7267441860465116
"242 SUMMER AVE, NEWARK, NJ, 07104-2721, USA",newark,NJ,40.7601461,-74.1714284,340130092003,1650476516,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,99.99,Blazing (≥200),C,0.9237097980553478,more white,27500.0,9976.0,Low,24877.195593926765,2.0,0.7267441860465116
"256 GARSIDE ST, NEWARK, NJ, 07104-5519, USA",newark,NJ,40.7603815,-74.172542,340130092003,1650476516,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.9237097980553478,more white,27500.0,9976.0,Low,24877.195593926765,2.0,0.7267441860465116
"274 GARSIDE ST, NEWARK, NJ, 07104-2710, USA",newark,NJ,40.7610029,-74.1721018,340130092003,1650476518,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.9237097980553478,more white,27500.0,9976.0,Low,24877.195593926765,2.0,0.7267441860465116
"255 GARSIDE ST, NEWARK, NJ, 07104-2709, USA",newark,NJ,40.7603277,-74.1721728,340130092003,1650476520,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.9237097980553478,more white,27500.0,9976.0,Low,24877.195593926765,2.0,0.7267441860465116
"270 SUMMER AVE, NEWARK, NJ, 07104-2736, USA",newark,NJ,40.7610394,-74.170936,340130092003,1650476517,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,99.99,Blazing (≥200),C,0.9237097980553478,more white,27500.0,9976.0,Low,24877.195593926765,2.0,0.7267441860465116
"282 SUMMER AVE, NEWARK, NJ, 07104-2714, USA",newark,NJ,40.7614199,-74.1707263,340130092003,1650476520,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,99.99,Blazing (≥200),C,0.9237097980553478,more white,27500.0,9976.0,Low,24877.195593926765,2.0,0.7267441860465116
"217 ALEXANDER ST, NEWARK, NJ, 07106-2621, USA",newark,NJ,40.7384605,-74.2280922,340130023002,1650468510,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,1.0,least white,75625.0,-38149.0,Upper Income,11194.26935568764,2.0,0.5671641791044776
"183 ALEXANDER ST, NEWARK, NJ, 07106-2604, USA",newark,NJ,40.7397689,-74.2276969,340130023002,1650468510,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,1.0,least white,75625.0,-38149.0,Upper Income,11194.26935568764,2.0,0.5671641791044776
"190 SUNSET AVE, NEWARK, NJ, 07106-2642, USA",newark,NJ,40.7396368,-74.2282466,340130023002,1650468512,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,1.0,least white,75625.0,-38149.0,Upper Income,11194.26935568764,2.0,0.5671641791044776
