address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"6500 Dulane Cir Oklahoma City, OK 73132",oklahoma city,OK,35.5631317,-97.6302428,401091085144,1652540473,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.4958540630182421,less white,,,,,,0.6381418092909535,AT&T
"6625 Parkwood Ln Oklahoma City, OK 73132",oklahoma city,OK,35.5607786,-97.631994,401091085144,1652936512,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.4958540630182421,less white,,,,,,0.6381418092909535,AT&T
"9004 Salsbury Ln Oklahoma City, OK 73132",oklahoma city,OK,35.562641,-97.6337857,401091085144,1651719747,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.4958540630182421,less white,,,,,,0.6381418092909535,AT&T
"9005 Candlewood Dr Oklahoma City, OK 73132",oklahoma city,OK,35.5614063,-97.6303033,401091085144,1652598406,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.4958540630182421,less white,,,,,,0.6381418092909535,AT&T
"6500 Rock Creek Cir Oklahoma City, OK 73132",oklahoma city,OK,35.5640107,-97.6302394,401091085144,1652727681,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),,0.4958540630182421,less white,,,,,,0.6381418092909535,AT&T
"6624 Parkwood Ln Oklahoma City, OK 73132",oklahoma city,OK,35.5603967,-97.6320488,401091085144,1653076925,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.4958540630182421,less white,,,,,,0.6381418092909535,AT&T
"6505 Westrock Dr Oklahoma City, OK 73132",oklahoma city,OK,35.5620182,-97.6304988,401091085144,1652609257,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.4958540630182421,less white,,,,,,0.6381418092909535,AT&T
"9001 Pebble Ln Oklahoma City, OK 73132",oklahoma city,OK,35.5623796,-97.6337328,401091085144,1653094977,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.4958540630182421,less white,,,,,,0.6381418092909535,AT&T
"9109 Rolling Green Ave Oklahoma City, OK 73132",oklahoma city,OK,35.5631415,-97.6356608,401091085144,1652191293,EarthLink,59.95,75.0,8.0,Mbps,Fiber Based,Earthlink Internet 75Mx8M,75.0,59.95,Medium (25-99),,0.4958540630182421,less white,,,,,,0.6381418092909535,AT&T
"6612 Parkwood Ln Oklahoma City, OK 73132",oklahoma city,OK,35.5602403,-97.6314199,401091085144,1651683710,EarthLink,59.95,45.0,6.0,Mbps,Fiber Based,Earthlink Internet 45Mx6M,45.0,59.95,Medium (25-99),,0.4958540630182421,less white,,,,,,0.6381418092909535,AT&T
