address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"1205 N 95TH ST,OMAHA,NE 68114,USA",omaha,NE,41.2707732,-96.0598366,310550066021,1650129555,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.1284916201117318,more white,61406.0,807.0,Middle-Lower,1669.5632708516637,2.0,0.7983870967741935
"9314 DECATUR PLAZA CIR,OMAHA,NE 68114,USA",omaha,NE,41.2758255,-96.0580034,310550066021,1650129552,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.1284916201117318,more white,61406.0,807.0,Middle-Lower,1669.5632708516637,2.0,0.7983870967741935
"9112 CHARLES ST,OMAHA,NE 68114,USA",omaha,NE,41.2739958,-96.0552169,310550066021,1650129560,CenturyLink,50.0,80.0,10.0,Mbps,Not Fiber,HSI Upto 80 Mbps/10 Mbps Prepaid,80.0,50.0,Medium (25-99),,0.1284916201117318,more white,61406.0,807.0,Middle-Lower,1669.5632708516637,2.0,0.7983870967741935
"9361 HILLSIDE PLZ,OMAHA,NE 68114,USA",omaha,NE,41.2761617,-96.0586918,310550066021,1650129561,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.1284916201117318,more white,61406.0,807.0,Middle-Lower,1669.5632708516637,2.0,0.7983870967741935
"9568 LOUIS DR,OMAHA,NE 68114,USA",omaha,NE,41.2736196,-96.0618532,310550066021,1650129546,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.1284916201117318,more white,61406.0,807.0,Middle-Lower,1669.5632708516637,2.0,0.7983870967741935
"1477 N 90TH AVE,OMAHA,NE 68114,USA",omaha,NE,41.273837,-96.0531573,310550066021,1650129566,CenturyLink,50.0,100.0,10.0,Mbps,Not Fiber,HSI Upto 100 Mbps/10 Mbps Prepaid,100.0,50.0,Fast (100-199),,0.1284916201117318,more white,61406.0,807.0,Middle-Lower,1669.5632708516637,2.0,0.7983870967741935
"1458 N 90TH AVE,OMAHA,NE 68114,USA",omaha,NE,41.2729684,-96.0535556,310550066021,1650129565,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.1284916201117318,more white,61406.0,807.0,Middle-Lower,1669.5632708516637,2.0,0.7983870967741935
"9108 CHARLES ST,OMAHA,NE 68114,USA",omaha,NE,41.2739894,-96.0549272,310550066021,1650129560,CenturyLink,50.0,80.0,10.0,Mbps,Not Fiber,HSI Upto 80 Mbps/10 Mbps Prepaid,80.0,50.0,Medium (25-99),,0.1284916201117318,more white,61406.0,807.0,Middle-Lower,1669.5632708516637,2.0,0.7983870967741935
"1224 N 95TH AVE,OMAHA,NE 68114,USA",omaha,NE,41.2713474,-96.0617305,310550066021,1650129547,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.1284916201117318,more white,61406.0,807.0,Middle-Lower,1669.5632708516637,2.0,0.7983870967741935
"9009 FRANKLIN ST,OMAHA,NE 68114,USA",omaha,NE,41.274806,-96.0537176,310550066021,1650129556,CenturyLink,50.0,80.0,10.0,Mbps,Not Fiber,HSI Upto 80 Mbps/10 Mbps Prepaid,80.0,50.0,Medium (25-99),,0.1284916201117318,more white,61406.0,807.0,Middle-Lower,1669.5632708516637,2.0,0.7983870967741935
"912 S 180TH AVE,ELKHORN,NE 68022,USA",omaha,NE,41.2505892,-96.1970574,310550075132,1650213268,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.1481481481481481,more white,112177.0,-49964.0,Upper Income,1235.0989520687042,2.0,0.9342105263157896
"18163 MAYBERRY ST,ELKHORN,NE 68022,USA",omaha,NE,41.2500561,-96.2001535,310550075132,1650213268,CenturyLink,50.0,100.0,10.0,Mbps,Not Fiber,HSI Upto 100 Mbps/10 Mbps Prepaid,100.0,50.0,Fast (100-199),,0.1481481481481481,more white,112177.0,-49964.0,Upper Income,1235.0989520687042,2.0,0.9342105263157896
"924 S 180TH AVE,ELKHORN,NE 68022,USA",omaha,NE,41.2501304,-96.196951,310550075132,1650213268,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.1481481481481481,more white,112177.0,-49964.0,Upper Income,1235.0989520687042,2.0,0.9342105263157896
"18129 MASON ST,ELKHORN,NE 68022,USA",omaha,NE,41.2488135,-96.2006477,310550075132,1650213273,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.1481481481481481,more white,112177.0,-49964.0,Upper Income,1235.0989520687042,2.0,0.9342105263157896
"18175 MAYBERRY ST,ELKHORN,NE 68022,USA",omaha,NE,41.2504462,-96.2005363,310550075132,1650213268,CenturyLink,50.0,80.0,10.0,Mbps,Not Fiber,HSI Upto 80 Mbps/10 Mbps Prepaid,80.0,50.0,Medium (25-99),,0.1481481481481481,more white,112177.0,-49964.0,Upper Income,1235.0989520687042,2.0,0.9342105263157896
"926 S 181ST ST,ELKHORN,NE 68022,USA",omaha,NE,41.2499623,-96.1983573,310550075132,1650213268,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.1481481481481481,more white,112177.0,-49964.0,Upper Income,1235.0989520687042,2.0,0.9342105263157896
"18123 MASON ST,ELKHORN,NE 68022,USA",omaha,NE,41.2487931,-96.2003092,310550075132,1650213273,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.1481481481481481,more white,112177.0,-49964.0,Upper Income,1235.0989520687042,2.0,0.9342105263157896
"18058 LEAVENWORTH ST,ELKHORN,NE 68022,USA",omaha,NE,41.2519059,-96.1977371,310550075132,1650213273,CenturyLink,50.0,60.0,5.0,Mbps,Not Fiber,HSI Upto 60 Mbps/5 Mbps Prepaid,60.0,50.0,Medium (25-99),,0.1481481481481481,more white,112177.0,-49964.0,Upper Income,1235.0989520687042,2.0,0.9342105263157896
"18168 LEAVENWORTH ST,ELKHORN,NE 68022,USA",omaha,NE,41.2518729,-96.200127,310550075132,1650213267,CenturyLink,50.0,100.0,10.0,Mbps,Not Fiber,HSI Upto 100 Mbps/10 Mbps Prepaid,100.0,50.0,Fast (100-199),,0.1481481481481481,more white,112177.0,-49964.0,Upper Income,1235.0989520687042,2.0,0.9342105263157896
"13003 L ST,OMAHA,NE 68137,USA",omaha,NE,41.2121374,-96.1169078,310550074561,1650131061,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),,0.4165680473372781,less white,46750.0,15463.0,Middle-Lower,1721.7385280256242,2.0,0.856140350877193
"4720 S 129TH ST,OMAHA,NE 68137,USA",omaha,NE,41.2116887,-96.1159217,310550074561,1650131045,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),,0.4165680473372781,less white,46750.0,15463.0,Middle-Lower,1721.7385280256242,2.0,0.856140350877193
"5062 S 130TH CIR,OMAHA,NE 68137,USA",omaha,NE,41.2065772,-96.1171084,310550074561,1650131055,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,60.0,Blazing (≥200),,0.4165680473372781,less white,46750.0,15463.0,Middle-Lower,1721.7385280256242,2.0,0.856140350877193
"13030 N ST,OMAHA,NE 68137,USA",omaha,NE,41.2102601,-96.1177345,310550074561,1650131044,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),,0.4165680473372781,less white,46750.0,15463.0,Middle-Lower,1721.7385280256242,2.0,0.856140350877193
"5014 S 131ST ST,OMAHA,NE 68137,USA",omaha,NE,41.2078755,-96.1185231,310550074561,1650131054,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,60.0,Blazing (≥200),,0.4165680473372781,less white,46750.0,15463.0,Middle-Lower,1721.7385280256242,2.0,0.856140350877193
"5062 S 128TH ST,OMAHA,NE 68137,USA",omaha,NE,41.2065588,-96.1146271,310550074561,1650131054,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,60.0,Blazing (≥200),,0.4165680473372781,less white,46750.0,15463.0,Middle-Lower,1721.7385280256242,2.0,0.856140350877193
"5068 S 129TH ST,OMAHA,NE 68137,USA",omaha,NE,41.2064227,-96.1159278,310550074561,1650131053,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,60.0,Blazing (≥200),,0.4165680473372781,less white,46750.0,15463.0,Middle-Lower,1721.7385280256242,2.0,0.856140350877193
"5069 S 129TH ST,OMAHA,NE 68137,USA",omaha,NE,41.2064063,-96.1153698,310550074561,1650131054,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,60.0,Blazing (≥200),,0.4165680473372781,less white,46750.0,15463.0,Middle-Lower,1721.7385280256242,2.0,0.856140350877193
"4924 S 130TH ST,OMAHA,NE 68137,USA",omaha,NE,41.2092944,-96.1171645,310550074561,1650131063,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,60.0,Blazing (≥200),,0.4165680473372781,less white,46750.0,15463.0,Middle-Lower,1721.7385280256242,2.0,0.856140350877193
"12712 ORCHARD CIR,OMAHA,NE 68137,USA",omaha,NE,41.2094351,-96.1134123,310550074561,1650131044,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,60.0,Blazing (≥200),,0.4165680473372781,less white,46750.0,15463.0,Middle-Lower,1721.7385280256242,2.0,0.856140350877193
"5006 OAKS LN,OMAHA,NE 68137,USA",omaha,NE,41.2081943,-96.1133886,310550074561,1650131043,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,60.0,Blazing (≥200),,0.4165680473372781,less white,46750.0,15463.0,Middle-Lower,1721.7385280256242,2.0,0.856140350877193
