address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"555 N 30th St Omaha, NE 68131",omaha,NE,41.2644371,-95.9561454,310550016002,1653184926,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),C,0.2507621951219512,less white,,,,1782.2164143218477,2.0,,CenturyLink
"101 N 30th St Omaha, NE 68131",omaha,NE,41.2601232,-95.9561632,310550016002,1651755722,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.2507621951219512,less white,,,,1782.2164143218477,2.0,,CenturyLink
"2912 Dodge St Omaha, NE 68131",omaha,NE,41.2600608,-95.9555061,310550016002,1652072448,EarthLink,49.95,3.0,0.512,Mbps,Copper,EarthLink Internet 3M,3.0,49.95,Slow (<25 Mbps),,0.2507621951219512,less white,,,,1782.2164143218477,2.0,,CenturyLink
"4917 S 129th St Omaha, NE 68137",omaha,NE,41.2094959,-96.1154047,310550074561,1652720456,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.4165680473372781,less white,46750.0,15463.0,Low,1721.7385280256242,2.0,0.856140350877193,CenturyLink
"4935 S 129th St Omaha, NE 68137",omaha,NE,41.2088994,-96.1153974,310550074561,1653397245,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.4165680473372781,less white,46750.0,15463.0,Low,1721.7385280256242,2.0,0.856140350877193,CenturyLink
"4923 S 129th St Omaha, NE 68137",omaha,NE,41.2092983,-96.1153995,310550074561,1653141743,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.4165680473372781,less white,46750.0,15463.0,Low,1721.7385280256242,2.0,0.856140350877193,CenturyLink
"13136 O St Omaha, NE 68137",omaha,NE,41.2083298,-96.1189564,310550074561,1653487277,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.4165680473372781,less white,46750.0,15463.0,Low,1721.7385280256242,2.0,0.856140350877193,CenturyLink
"5067 S 130th Cir Omaha, NE 68137",omaha,NE,41.2063803,-96.11649,310550074561,1652416444,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.4165680473372781,less white,46750.0,15463.0,Low,1721.7385280256242,2.0,0.856140350877193,CenturyLink
"4947 S 129th St Omaha, NE 68137",omaha,NE,41.2084668,-96.1153994,310550074561,1651968190,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.4165680473372781,less white,46750.0,15463.0,Low,1721.7385280256242,2.0,0.856140350877193,CenturyLink
"5011 S 129th St Omaha, NE 68137",omaha,NE,41.2077382,-96.1153817,310550074561,1651604472,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.4165680473372781,less white,46750.0,15463.0,Low,1721.7385280256242,2.0,0.856140350877193,CenturyLink
