address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"125 WILLOW ST, PROVIDENCE, RI, 02909-2011, USA",providence,RI,41.8138852,-71.4372918,440070013004,1650482564,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.7465825446898002,less white,19620.0,29445.0,Low,5266.568091575152,2.0,0.5236907730673317
"8 MARVIN ST, PROVIDENCE, RI, 02909-2004, USA",providence,RI,41.8140062,-71.4373373,440070013004,1650482567,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,99.99,Blazing (≥200),C,0.7465825446898002,less white,19620.0,29445.0,Low,5266.568091575152,2.0,0.5236907730673317
"112 HUDSON ST, PROVIDENCE, RI, 02909-2027, USA",providence,RI,41.8129692,-71.4365714,440070013004,1650482564,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.7465825446898002,less white,19620.0,29445.0,Low,5266.568091575152,2.0,0.5236907730673317
"135 WILLOW ST, PROVIDENCE, RI, 02909-2011, USA",providence,RI,41.8139305,-71.4376418,440070013004,1650482565,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.7465825446898002,less white,19620.0,29445.0,Low,5266.568091575152,2.0,0.5236907730673317
"91 BEACON AVE, PROVIDENCE, RI, 02903-4525, USA",providence,RI,41.8141978,-71.4145616,440070007001,1650477272,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.8590425531914894,less white,9720.0,39345.0,Low,2864.936529464653,2.0,0.1890034364261168
"99 BEACON AVE, PROVIDENCE, RI, 02903-4525, USA",providence,RI,41.8140673,-71.4145455,440070007001,1650477272,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.8590425531914894,less white,9720.0,39345.0,Low,2864.936529464653,2.0,0.1890034364261168
"103 BEACON AVE, PROVIDENCE, RI, 02903-4525, USA",providence,RI,41.8139311,-71.4145287,440070007001,1650477271,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.8590425531914894,less white,9720.0,39345.0,Low,2864.936529464653,2.0,0.1890034364261168
"1 AMANDA WAY, PROVIDENCE, RI, 02904-1069, USA",providence,RI,41.8589812,-71.4331682,440070028002,1650425414,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.7502078137988363,less white,20500.0,28565.0,Low,2715.612401070895,2.0,0.7169459962756052
"7 CAXTON ST, PROVIDENCE, RI, 02904-1007, USA",providence,RI,41.8563013,-71.4402961,440070028002,1650425422,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.7502078137988363,less white,20500.0,28565.0,Low,2715.612401070895,2.0,0.7169459962756052
"550 VEAZIE ST, PROVIDENCE, RI, 02904-1045, USA",providence,RI,41.8580712,-71.433848,440070028002,1650425421,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),C,0.7502078137988363,less white,20500.0,28565.0,Low,2715.612401070895,2.0,0.7169459962756052
