address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"2583 S 700 E, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.714464,-111.8708955,490351049002,1650130228,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2594 S LAKE,SALT LAKE CITY,UT 84106,USA",salt lake city,UT,40.7141488,-111.8700422,490351049002,1650130249,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"847 E FOREST PARK CT,SALT LAKE CITY,UT 84106,USA",salt lake city,UT,40.7151401,-111.8671124,490351049002,1650130226,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2465 S 800 E, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.716953,-111.8677426,490351049002,1650130205,CenturyLink,50.0,15.0,0.75,Mbps,Not Fiber,HSI Upto 15 Mbps/750 Kbps Prepaid,15.0,50.0,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"733 E 3300 S, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.7128378,-111.8700893,490351049002,1650130252,CenturyLink,50.0,140.0,20.0,Mbps,Not Fiber,HSI Upto 140 Mbps/20 Mbps Prepaid,140.0,50.0,Fast (100-199),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2570 S 800 E, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.7146946,-111.8685786,490351049002,1650130244,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2456 S LK,SALT LAKE CITY,UT 84106,USA",salt lake city,UT,40.7172821,-111.8698933,490351049002,1650130221,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2424 S 900 E, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.7180406,-111.8685441,490351049002,1650130223,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2619 S WINDSOR CIR,SALT LAKE CITY,UT 84106,USA",salt lake city,UT,40.7134963,-111.8663903,490351049002,1650130205,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2657 S 800 E, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.7131337,-111.8679737,490351049002,1650130244,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2557 S 700 E, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.7149173,-111.8708886,490351049002,1650130229,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2398 S 900 E,SALT LAKE CITY,UT 84106,USA",salt lake city,UT,40.7185931,-111.8656534,490351049002,1650130224,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2721 S CHADWICK ST,SALT LAKE CITY,UT 84106,USA",salt lake city,UT,40.7121885,-111.8690434,490351049002,1650130206,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2587 S 700 E,SALT LAKE CITY,UT 84106,USA",salt lake city,UT,40.7142749,-111.8708773,490351049002,1650130205,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2437 S 700 E, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.7176577,-111.8708501,490351049002,1650130234,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2493 S 700 E, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.7163269,-111.8708446,490351049002,1650130238,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2645 S 800 E, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.7132892,-111.8680304,490351049002,1650130205,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2573 S LK,SALT LAKE CITY,UT 84106,USA",salt lake city,UT,40.7146389,-111.8695716,490351049002,1650130239,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"861 E FAIRMONT CIR,SALT LAKE CITY,UT 84106,USA",salt lake city,UT,40.7174803,-111.866293,490351049002,1650130245,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2652 S 900 E, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.7128629,-111.8657213,490351049002,1650130230,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"773 E LOVELAND AVE,SALT LAKE CITY,UT 84106,USA",salt lake city,UT,40.7163134,-111.8688786,490351049002,1650130215,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"764 E 3155 S, SALT LAKE CITY, UT 84106, USA",salt lake city,UT,40.7124894,-111.8691518,490351049002,1650130214,CenturyLink,50.0,100.0,10.0,Mbps,Not Fiber,HSI Upto 100 Mbps/10 Mbps Prepaid,100.0,50.0,Fast (100-199),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
"2630 S WINDSOR,SALT LAKE CITY,UT 84106,USA",salt lake city,UT,40.7133582,-111.8670372,490351049002,1650130220,CenturyLink,50.0,10.0,0.75,Mbps,Not Fiber,HSI Upto 10 Mbps/750 Kbps Prepaid,10.0,50.0,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497
