address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"832 E Parkway Ave Salt Lake City, UT 84106",salt lake city,UT,40.7182442,-111.8672133,490351049002,1652889816,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497,CenturyLink
"826 E Parkway Ave Salt Lake City, UT 84106",salt lake city,UT,40.7182333,-111.8673878,490351049002,1652445238,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497,CenturyLink
"752 E Loveland Ave Salt Lake City, UT 84106",salt lake city,UT,40.7159586,-111.8694696,490351049002,1652816914,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497,CenturyLink
"850 E Forest Park Ct Salt Lake City, UT 84106",salt lake city,UT,40.7149057,-111.8668004,490351049002,1652407291,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497,CenturyLink
"855 E Stratford Ave Salt Lake City, UT 84106",salt lake city,UT,40.7161542,-111.8663883,490351049002,1652072722,EarthLink,49.95,3.0,0.512,Mbps,Copper,EarthLink Internet 3M,3.0,49.95,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497,CenturyLink
"864 E Parkway Ave Salt Lake City, UT 84106",salt lake city,UT,40.718246,-111.8662993,490351049002,1652270677,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497,CenturyLink
"741 E Loveland Ave Salt Lake City, UT 84106",salt lake city,UT,40.7163202,-111.8698048,490351049002,1652842894,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497,CenturyLink
"820 E Parkway Ave Salt Lake City, UT 84106",salt lake city,UT,40.7182467,-111.8675567,490351049002,1650945720,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497,CenturyLink
"753 E Loveland Ave Salt Lake City, UT 84106",salt lake city,UT,40.7163138,-111.8694359,490351049002,1650934982,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497,CenturyLink
"2600 S Windsor Cir Salt Lake City, UT 84106",salt lake city,UT,40.7138244,-111.8667388,490351049002,1651590193,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497,CenturyLink
"837 E Parkway Ave Salt Lake City, UT 84106",salt lake city,UT,40.7186317,-111.8671065,490351049002,1651928645,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),B,0.1181494661921708,most white,58750.0,4406.0,Middle-Lower,3458.682894166765,5.0,0.8496503496503497,CenturyLink
"148 S Hawkes Ct Salt Lake City, UT 84102",salt lake city,UT,40.7659604,-111.8726073,490351019001,1652655651,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),C,0.2943396226415094,less white,27440.0,35716.0,Low,3789.2436955564326,6.0,0.5897435897435898,CenturyLink
"150 S Hawkes Ct Salt Lake City, UT 84102",salt lake city,UT,40.7658769,-111.8726123,490351019001,1651712892,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),C,0.2943396226415094,less white,27440.0,35716.0,Low,3789.2436955564326,6.0,0.5897435897435898,CenturyLink
"149 S Hawkes Ct Salt Lake City, UT 84102",salt lake city,UT,40.7658936,-111.8723897,490351019001,1653322032,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),C,0.2943396226415094,less white,27440.0,35716.0,Low,3789.2436955564326,6.0,0.5897435897435898,CenturyLink
"142 S Hawkes Ct Salt Lake City, UT 84102",salt lake city,UT,40.7660504,-111.8726074,490351019001,1652839306,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),C,0.2943396226415094,less white,27440.0,35716.0,Low,3789.2436955564326,6.0,0.5897435897435898,CenturyLink
"160 S Hawkes Ct Salt Lake City, UT 84102",salt lake city,UT,40.7656715,-111.8726098,490351019001,1652356908,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),C,0.2943396226415094,less white,27440.0,35716.0,Low,3789.2436955564326,6.0,0.5897435897435898,CenturyLink
"164 S Hawkes Ct Salt Lake City, UT 84102",salt lake city,UT,40.7655656,-111.8726049,490351019001,1653451273,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),C,0.2943396226415094,less white,27440.0,35716.0,Low,3789.2436955564326,6.0,0.5897435897435898,CenturyLink
"480 E Robert Ave South Salt Lake, UT 84115",salt lake city,UT,40.7177024,-111.8773511,490351114002,1653134453,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),B,0.4429097605893186,least white,78548.0,-15392.0,Middle-Upper,3524.7380788554665,5.0,0.7297979797979798,CenturyLink
"484 E Robert Ave South Salt Lake, UT 84115",salt lake city,UT,40.7177028,-111.8772721,490351114002,1653415332,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),B,0.4429097605893186,least white,78548.0,-15392.0,Middle-Upper,3524.7380788554665,5.0,0.7297979797979798,CenturyLink
