address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"4341 Roosevelt Way NE Seattle, WA 98105",seattle,WA,47.6604779,-122.3178816,530330052005,1653083153,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),B,0.5810019518542615,least white,30286.0,66899.0,Low,9328.77718364399,3.0,0.732739420935412,CenturyLink
"4501 Roosevelt Way NE Seattle, WA 98105",seattle,WA,47.6618636,-122.3179861,530330052005,1652205766,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),B,0.5810019518542615,least white,30286.0,66899.0,Low,9328.77718364399,3.0,0.732739420935412,CenturyLink
"4730 7th Ave NE Seattle, WA 98105",seattle,WA,47.6640933,-122.3204906,530330052005,1652105182,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),B,0.5810019518542615,least white,30286.0,66899.0,Low,9328.77718364399,3.0,0.732739420935412,CenturyLink
"4719 8th Ave NE Seattle, WA 98105",seattle,WA,47.6637125,-122.3198796,530330052005,1653426324,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),B,0.5810019518542615,least white,30286.0,66899.0,Low,9328.77718364399,3.0,0.732739420935412,CenturyLink
"4324 8th Ave NE Seattle, WA 98105",seattle,WA,47.6602562,-122.3194905,530330052005,1652828502,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),B,0.5810019518542615,least white,30286.0,66899.0,Low,9328.77718364399,3.0,0.732739420935412,CenturyLink
"4754 7th Ave NE Seattle, WA 98105",seattle,WA,47.664695,-122.3203724,530330052005,1652666483,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,15.0,49.95,Slow (<25 Mbps),B,0.5810019518542615,least white,30286.0,66899.0,Low,9328.77718364399,3.0,0.732739420935412,CenturyLink
"12752 Evanston Ave N Seattle, WA 98133",seattle,WA,47.7229025,-122.3513206,530330004021,1650660923,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.3896414342629482,less white,47481.0,49704.0,Low,3905.2289615513873,2.0,0.7964458804523424,CenturyLink
"12756 Evanston Ave N Seattle, WA 98133",seattle,WA,47.7230715,-122.351322,530330004021,1650660915,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.3896414342629482,less white,47481.0,49704.0,Low,3905.2289615513873,2.0,0.7964458804523424,CenturyLink
"12702 Dayton Ave N Seattle, WA 98133",seattle,WA,47.7215765,-122.3525203,530330004021,1650660928,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.3896414342629482,less white,47481.0,49704.0,Low,3905.2289615513873,2.0,0.7964458804523424,CenturyLink
"610 N 125th St Seattle, WA 98133",seattle,WA,47.7197952,-122.3511427,530330004021,1650660961,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.3896414342629482,less white,47481.0,49704.0,Low,3905.2289615513873,2.0,0.7964458804523424,CenturyLink
"12721 Fremont Ave N Seattle, WA 98133",seattle,WA,47.7220661,-122.3507251,530330004021,1650660986,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.3896414342629482,less white,47481.0,49704.0,Low,3905.2289615513873,2.0,0.7964458804523424,CenturyLink
"12714 Evanston Ave N Seattle, WA 98133",seattle,WA,47.7219029,-122.3512406,530330004021,1650660835,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.3896414342629482,less white,47481.0,49704.0,Low,3905.2289615513873,2.0,0.7964458804523424,CenturyLink
"12750 Dayton Ave N Seattle, WA 98133",seattle,WA,47.7228897,-122.352531,530330004021,1650660920,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.3896414342629482,less white,47481.0,49704.0,Low,3905.2289615513873,2.0,0.7964458804523424,CenturyLink
"12515 Fremont Ave N Seattle, WA 98133",seattle,WA,47.7200829,-122.350715,530330004021,1650660850,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.3896414342629482,less white,47481.0,49704.0,Low,3905.2289615513873,2.0,0.7964458804523424,CenturyLink
"12745 Evanston Ave N Seattle, WA 98133",seattle,WA,47.722737,-122.3519204,530330004021,1650660834,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.3896414342629482,less white,47481.0,49704.0,Low,3905.2289615513873,2.0,0.7964458804523424,CenturyLink
