address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"47195 260TH ST,SIOUX FALLS,SD 57107,USA",sioux falls,SD,43.6166821,-96.7718145,460990104042,1650159145,CenturyLink,50.0,10.0,1.0,Mbps,Not Fiber,HSI Upto 10 Mbps/1 Mbps Prepaid,10.0,50.0,Slow (<25 Mbps),,0.0412105602060528,most white,96429.0,-34691.0,Upper Income,22.94640532370788,5.0,0.967680608365019
"47046 259TH ST,SIOUX FALLS,SD 57107,USA",sioux falls,SD,43.6312525,-96.7746761,460990104042,1650159144,CenturyLink,50.0,3.0,0.5,Mbps,Not Fiber,HSI Upto 3 Mbps/500 Kbps Prepaid,3.0,50.0,Slow (<25 Mbps),,0.0412105602060528,most white,96429.0,-34691.0,Upper Income,22.94640532370788,5.0,0.967680608365019
"4900 FOUNDATION CT,SIOUX FALLS,SD 57107,USA",sioux falls,SD,43.6186351,-96.7799589,460990104042,1650159196,CenturyLink,50.0,15.0,0.75,Mbps,Not Fiber,HSI Upto 15 Mbps/750 Kbps Prepaid,15.0,50.0,Slow (<25 Mbps),,0.0412105602060528,most white,96429.0,-34691.0,Upper Income,22.94640532370788,5.0,0.967680608365019
"5100 FOUNDATION CT,SIOUX FALLS,SD 57107,USA",sioux falls,SD,43.62649,-96.784472,460990104042,1650159196,CenturyLink,50.0,10.0,1.0,Mbps,Not Fiber,HSI Upto 10 Mbps/1 Mbps Prepaid,10.0,50.0,Slow (<25 Mbps),,0.0412105602060528,most white,96429.0,-34691.0,Upper Income,22.94640532370788,5.0,0.967680608365019
"5050 FOUNDATION CT,SIOUX FALLS,SD 57107,USA",sioux falls,SD,43.6253548,-96.7785367,460990104042,1650159146,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.0412105602060528,most white,96429.0,-34691.0,Upper Income,22.94640532370788,5.0,0.967680608365019
"6700 N MARION RD,SIOUX FALLS,SD 57107,USA",sioux falls,SD,43.6216349,-96.7882566,460990104042,1650159151,CenturyLink,50.0,200.0,200.0,Mbps,Fiber,HSI Upto 200 Mbps/200 Mbps Prepaid,940.0,65.0,Blazing (≥200),,0.0412105602060528,most white,96429.0,-34691.0,Upper Income,22.94640532370788,5.0,0.967680608365019
"6900 N DIANE CIR,SIOUX FALLS,SD 57107,USA",sioux falls,SD,43.6240474,-96.7824605,460990104042,1650159146,CenturyLink,50.0,1.5,0.5,Mbps,Not Fiber,HSI Upto 1.5 Mbps/500 Kbps Prepaid,1.5,50.0,Slow (<25 Mbps),,0.0412105602060528,most white,96429.0,-34691.0,Upper Income,22.94640532370788,5.0,0.967680608365019
"2100 S NORTON AVE,SIOUX FALLS,SD 57105,USA",sioux falls,SD,43.5258013,-96.7347667,460990015005,1650138594,CenturyLink,50.0,3.0,0.5,Mbps,Not Fiber,HSI Upto 3 Mbps/500 Kbps Prepaid,3.0,50.0,Slow (<25 Mbps),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806
"2600 S DULUTH AVE,SIOUX FALLS,SD 57105,USA",sioux falls,SD,43.5210155,-96.7335072,460990015005,1650138581,CenturyLink,50.0,40.0,3.0,Mbps,Not Fiber,HSI Upto 40 Mbps/3 Mbps Prepaid,40.0,50.0,Medium (25-99),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806
"2114 S DULUTH AVE,SIOUX FALLS,SD 57105,USA",sioux falls,SD,43.5250732,-96.7333376,460990015005,1650138566,CenturyLink,50.0,3.0,0.5,Mbps,Not Fiber,HSI Upto 3 Mbps/500 Kbps Prepaid,3.0,50.0,Slow (<25 Mbps),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806
