address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"6700 N Marion Rd Sioux Falls, SD 57107",sioux falls,SD,43.6216349,-96.7882566,460990104042,1653264094,EarthLink,49.95,10.0,1.0,Mbps,Fiber Based,EarthLink Internet 10M,1000.0,99.95,Slow (<25 Mbps),,0.0412105602060528,most white,96429.0,-34691.0,Upper Income,22.94640532370788,5.0,0.967680608365019,CenturyLink
"2304 S Norton Ave Sioux Falls, SD 57105",sioux falls,SD,43.5238519,-96.7347464,460990015005,1651737758,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806,CenturyLink
"304 W 37th St Sioux Falls, SD 57105",sioux falls,SD,43.5187014,-96.7292906,460990015005,1652094079,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806,CenturyLink
"2809 S Spring Ave Sioux Falls, SD 57105",sioux falls,SD,43.5189714,-96.7328965,460990015005,1652572993,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806,CenturyLink
"2805 S Duluth Ave Sioux Falls, SD 57105",sioux falls,SD,43.5192465,-96.7340392,460990015005,1651784555,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806,CenturyLink
"2608 S Duluth Ave Sioux Falls, SD 57105",sioux falls,SD,43.520851,-96.7335072,460990015005,1652554894,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806,CenturyLink
"2816 S Summit Ave Sioux Falls, SD 57105",sioux falls,SD,43.5188571,-96.7359632,460990015005,1651683782,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806,CenturyLink
"2705 S Norton Ave Sioux Falls, SD 57105",sioux falls,SD,43.5199977,-96.7352577,460990015005,1651604898,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,80.0,69.95,Slow (<25 Mbps),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806,CenturyLink
"2122 S Norton Ave Sioux Falls, SD 57105",sioux falls,SD,43.5245838,-96.7347465,460990015005,1652969029,EarthLink,49.95,10.0,1.0,Mbps,Copper,EarthLink Internet 10M,10.0,49.95,Slow (<25 Mbps),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806,CenturyLink
"2415 S Norton Ave Sioux Falls, SD 57105",sioux falls,SD,43.5226414,-96.7352933,460990015005,1651651224,EarthLink,49.95,15.0,0.75,Mbps,Copper,EarthLink Internet 15M,100.0,79.95,Slow (<25 Mbps),,0.1688159437280187,less white,40216.0,21522.0,Low,1703.1727332627838,3.0,0.9557522123893806,CenturyLink
