address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"6488 KNOTTS ISLAND RD, VIRGINIA BEACH, VA, 23457-1206, USA",virginia beach,VA,36.5523409,-75.9275523,518100464002,1650414617,Verizon,39.99,7.1,0.768,Mbps,Not fiber,HSI Up to 3.1 - 7 Mbps,7.1,40.0,Slow (<25 Mbps),,0.0631120783460282,most white,91250.0,-13114.0,Middle-Upper,26.5352213629379,2.0,0.872
"6436 KNOTTS ISLAND RD, VIRGINIA BEACH, VA, 23457-1206, USA",virginia beach,VA,36.5549757,-75.9281063,518100464002,1650414609,Verizon,39.99,7.1,0.768,Mbps,Not fiber,HSI Up to 3.1 - 7 Mbps,7.1,40.0,Slow (<25 Mbps),,0.0631120783460282,most white,91250.0,-13114.0,Middle-Upper,26.5352213629379,2.0,0.872
"1905 CLAUDIA MAY RD, VIRGINIA BEACH, VA, 23457-1253, USA",virginia beach,VA,36.5771428,-76.026887,518100464002,1650414616,Verizon,39.99,7.1,0.768,Mbps,Not fiber,HSI Up to 3.1 - 7 Mbps,7.1,40.0,Slow (<25 Mbps),,0.0631120783460282,most white,91250.0,-13114.0,Middle-Upper,26.5352213629379,2.0,0.872
"2869 AUGUSTA CIR, VIRGINIA BEACH, VA, 23453-3324, USA",virginia beach,VA,36.8084258,-76.0667006,518100454074,1650421799,Verizon,39.99,7.1,0.768,Mbps,Not fiber,HSI Up to 3.1 - 7 Mbps,7.1,40.0,Slow (<25 Mbps),,0.1984231274638633,more white,80833.0,-2697.0,Middle-Lower,104.24354799559244,3.0,0.933774834437086
"425 N ADVENTURE TRL, VIRGINIA BEACH, VA, 23454-5217, USA",virginia beach,VA,36.8312779,-76.0561606,518100454074,1650421803,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),,0.1984231274638633,more white,80833.0,-2697.0,Middle-Lower,104.24354799559244,3.0,0.933774834437086
"2417 BRUSH CREEK LN, VIRGINIA BEACH, VA, 23454-2273, USA",virginia beach,VA,36.8279634,-76.0546287,518100454074,1650421803,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),,0.1984231274638633,more white,80833.0,-2697.0,Middle-Lower,104.24354799559244,3.0,0.933774834437086
"2405 BULLOCK TRL, VIRGINIA BEACH, VA, 23454-5220, USA",virginia beach,VA,36.8286375,-76.0535629,518100454074,1650421808,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),,0.1984231274638633,more white,80833.0,-2697.0,Middle-Lower,104.24354799559244,3.0,0.933774834437086
"2473 BRUSH CREEK LN, VIRGINIA BEACH, VA, 23454-2273, USA",virginia beach,VA,36.8281085,-76.0582158,518100454074,1650421803,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,99.99,Blazing (≥200),,0.1984231274638633,more white,80833.0,-2697.0,Middle-Lower,104.24354799559244,3.0,0.933774834437086
"1263 NEW LAND DR, VIRGINIA BEACH, VA, 23453-3122, USA",virginia beach,VA,36.8015655,-76.0716248,518100454074,1650421800,Verizon,39.99,7.1,0.768,Mbps,Not fiber,HSI Up to 3.1 - 7 Mbps,7.1,40.0,Slow (<25 Mbps),,0.1984231274638633,more white,80833.0,-2697.0,Middle-Lower,104.24354799559244,3.0,0.933774834437086
"1295 NEW LAND DR, VIRGINIA BEACH, VA, 23453-3107, USA",virginia beach,VA,36.8033334,-76.0695105,518100454074,1650421799,Verizon,39.99,7.1,0.768,Mbps,Not fiber,HSI Up to 3.1 - 7 Mbps,7.1,40.0,Slow (<25 Mbps),,0.1984231274638633,more white,80833.0,-2697.0,Middle-Lower,104.24354799559244,3.0,0.933774834437086
"2508 S ADVENTURE TRL, VIRGINIA BEACH, VA, 23454-5205, USA",virginia beach,VA,36.8301909,-76.0556289,518100454074,1650421807,Verizon,39.99,300.0,300.0,Mbps,Fiber,FiOS 300 Mbps,1024.0,89.99,Blazing (≥200),,0.1984231274638633,more white,80833.0,-2697.0,Middle-Lower,104.24354799559244,3.0,0.933774834437086
"2841 AUGUSTA CIR, VIRGINIA BEACH, VA, 23453-3325, USA",virginia beach,VA,36.8086485,-76.0647034,518100454074,1650421806,Verizon,39.99,7.1,0.768,Mbps,Not fiber,HSI Up to 3.1 - 7 Mbps,7.1,40.0,Slow (<25 Mbps),,0.1984231274638633,more white,80833.0,-2697.0,Middle-Lower,104.24354799559244,3.0,0.933774834437086
"1229 NEW LAND DR, VIRGINIA BEACH, VA, 23453-3120, USA",virginia beach,VA,36.8011281,-76.0736875,518100454074,1650421799,Verizon,39.99,7.1,0.768,Mbps,Not fiber,HSI Up to 3.1 - 7 Mbps,7.1,40.0,Slow (<25 Mbps),,0.1984231274638633,more white,80833.0,-2697.0,Middle-Lower,104.24354799559244,3.0,0.933774834437086
"1233 NEW LAND DR, VIRGINIA BEACH, VA, 23453-3120, USA",virginia beach,VA,36.8010326,-76.0734333,518100454074,1650421801,Verizon,39.99,7.1,0.768,Mbps,Not fiber,HSI Up to 3.1 - 7 Mbps,7.1,40.0,Slow (<25 Mbps),,0.1984231274638633,more white,80833.0,-2697.0,Middle-Lower,104.24354799559244,3.0,0.933774834437086
