address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband
"1916 W 29th St N, Wichita KS 67204",wichita,KS,37.7377694,-97.3640396,201730083004,1650354545,AT&T,55.0,5.0,1.0,Mbps,Not Fiber,Internet Basic 5,5.0,55.0,Slow (<25 Mbps),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"2018 W 31st St N, Wichita KS 67204",wichita,KS,37.7414319,-97.3665295,201730083004,1650354544,AT&T,55.0,5.0,1.0,Mbps,Not Fiber,Internet Basic 5,5.0,55.0,Slow (<25 Mbps),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"3139 N Saint Clair Ave, Wichita KS 67204",wichita,KS,37.7404817,-97.3697585,201730083004,1650354552,AT&T,55.0,0.768,0.384,Mbps,Not Fiber,Internet Basic 768kbps,0.768,55.0,Slow (<25 Mbps),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"3501 N Edwards St, Wichita KS 67204",wichita,KS,37.7470201,-97.3741673,201730083004,1650354561,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"2027 W 31st St N, Wichita KS 67204",wichita,KS,37.7408648,-97.3668495,201730083004,1650354552,AT&T,55.0,0.768,0.384,Mbps,Not Fiber,Internet Basic 768kbps,0.768,55.0,Slow (<25 Mbps),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"3240 N Charles Ave, Wichita KS 67204",wichita,KS,37.7425115,-97.3651398,201730083004,1650354562,AT&T,55.0,0.768,0.384,Mbps,Not Fiber,Internet Basic 768kbps,0.768,55.0,Slow (<25 Mbps),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"3400 N Charles Ave, Wichita KS 67204",wichita,KS,37.7446929,-97.364921,201730083004,1650354545,AT&T,55.0,0.768,0.384,Mbps,Not Fiber,Internet Basic 768kbps,0.768,55.0,Slow (<25 Mbps),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"3513 N Sedgwick St, Wichita KS 67204",wichita,KS,37.7471196,-97.3712359,201730083004,1650354564,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"3523 N Meridian Ave, Wichita KS 67204",wichita,KS,37.7472403,-97.3721837,201730083004,1650354554,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"3749 N Meridian Ave, Wichita KS 67204",wichita,KS,37.751881,-97.372302,201730083004,1650354565,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"3303 N Charles Ave, Wichita KS 67204",wichita,KS,37.7431642,-97.3658789,201730083004,1650354559,AT&T,55.0,0.768,0.384,Mbps,Not Fiber,Internet Basic 768kbps,0.768,55.0,Slow (<25 Mbps),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"2309 W 34th St N, Wichita KS 67204",wichita,KS,37.746936,-97.3696356,201730083004,1650354560,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"2618 W Valley Park St, Wichita KS 67204",wichita,KS,37.7386939,-97.3733302,201730083004,1650354545,AT&T,55.0,0.768,0.384,Mbps,Not Fiber,Internet Basic 768kbps,0.768,55.0,Slow (<25 Mbps),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"3522 N Sedgwick St, Wichita KS 67204",wichita,KS,37.7474731,-97.3707138,201730083004,1650354556,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"2305 W Manlo St, Wichita KS 67204",wichita,KS,37.7470561,-97.3695165,201730083004,1650354553,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),,0.0383211678832116,most white,49545.0,3901.0,Middle-Lower,373.6283815754845,2.0,0.7454545454545455
"3609 E 10th St N, Wichita KS 67208",wichita,KS,37.7027792,-97.2931229,201730011001,1650335752,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"939 N Roosevelt St, Wichita KS 67208",wichita,KS,37.7004898,-97.2920094,201730011001,1650335759,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),A,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"3636 E 10th St N, Wichita KS 67208",wichita,KS,37.7032137,-97.292171,201730011001,1650335753,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),A,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"1031 N Yale Ave, Wichita KS 67208",wichita,KS,37.7024858,-97.2938303,201730011001,1650335759,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"3430 E Central Ave, Wichita KS 67208",wichita,KS,37.6940375,-97.2940301,201730011001,1650335753,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),B,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"1101 N Roosevelt St, Wichita KS 67208",wichita,KS,37.7032149,-97.2919276,201730011001,1650335753,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),A,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"953 N Roosevelt St, Wichita KS 67208",wichita,KS,37.7008371,-97.2920105,201730011001,1650335761,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),A,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"1125 N Roosevelt St, Wichita KS 67208",wichita,KS,37.7038071,-97.2920662,201730011001,1650335754,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),A,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"3422 E 9th St N, Wichita KS 67208",wichita,KS,37.7015184,-97.2944793,201730011001,1650335753,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"520 N Rutan St, Wichita KS 67208",wichita,KS,37.6940362,-97.2963195,201730011001,1650335760,AT&T,55.0,5.0,1.0,Mbps,Not Fiber,Internet Basic 5,5.0,55.0,Slow (<25 Mbps),B,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"946 N Rutan St, Wichita KS 67208",wichita,KS,37.7006724,-97.2960913,201730011001,1650335752,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"3427 E 9th St N, Wichita KS 67208",wichita,KS,37.7007449,-97.2942209,201730011001,1650335761,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"950 N Rutan St, Wichita KS 67208",wichita,KS,37.7008526,-97.2960921,201730011001,1650335763,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),C,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
"3444 E Pine St, Wichita KS 67208",wichita,KS,37.6967492,-97.2937587,201730011001,1650335754,AT&T,55.0,300.0,300.0,Mbps,Fiber,AT&T FIBER—INTERNET 300,1000.0,80.0,Blazing (≥200),A,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578
