address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"3444 E Pine St Wichita, KS 67208",wichita,KS,37.6967492,-97.2937587,201730011001,1651892589,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),A,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
"922 N Holyoke Ave Wichita, KS 67208",wichita,KS,37.6998747,-97.2969654,201730011001,1651806073,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
"3609 E 10th St N Wichita, KS 67208",wichita,KS,37.7027792,-97.2931229,201730011001,1651827751,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
"839 N Vassar St Wichita, KS 67208",wichita,KS,37.6986372,-97.2957119,201730011001,1653271265,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),B,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
"923 N Rutan St Wichita, KS 67208",wichita,KS,37.700049,-97.2966071,201730011001,1651622508,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
"1101 N Roosevelt St Wichita, KS 67208",wichita,KS,37.7032149,-97.2919276,201730011001,1652673832,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),A,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
"3296 E 9th St N Wichita, KS 67208",wichita,KS,37.7012206,-97.2961143,201730011001,1652065732,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
"3636 E 10th St N Wichita, KS 67208",wichita,KS,37.7032137,-97.292171,201730011001,1652680914,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),A,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
"3430 E Central Ave Wichita, KS 67208",wichita,KS,37.6940375,-97.2940301,201730011001,1652998565,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),B,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
"520 N Rutan St Wichita, KS 67208",wichita,KS,37.6940362,-97.2963195,201730011001,1651860380,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),B,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
"1125 N Roosevelt St Wichita, KS 67208",wichita,KS,37.7038071,-97.2920662,201730011001,1651712692,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),A,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
"953 N Roosevelt St Wichita, KS 67208",wichita,KS,37.7008371,-97.2920105,201730011001,1652990475,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),A,0.2446555819477434,more white,55625.0,-2179.0,Middle-Upper,1573.8582518210587,2.0,0.9149659863945578,AT&T
