major_city,state,isp,closest_fiber_miles
Philadelphia,PA,Verizon,0.0221121296408346
Boston,MA,Verizon,0.0333326595890536
Washington,DC,Verizon,0.0471026246407029
Newark,NJ,Verizon,0.0543740494815072
Portland,OR,CenturyLink,0.073069756830869
Seattle,WA,CenturyLink,0.07565583837191625
Denver,CO,CenturyLink,0.091298560120806
Minneapolis,MN,CenturyLink,0.0925686343457175
Wilmington,DE,Verizon,0.1172349109062399
Atlanta,GA,AT&T,0.1280897701054899
Milwaukee,WI,AT&T,0.1486006076927368
Charlotte,NC,AT&T,0.15296077923846355
Louisville,KY,AT&T,0.1602486892455943
Los Angeles,CA,AT&T,0.1677586114644335
Huntsville,AL,AT&T,0.16791822142017288
Houston,TX,AT&T,0.1747962230212612
Salt Lake City,UT,CenturyLink,0.1760837884840487
Indianapolis,IN,AT&T,0.1986919897851741
Oklahoma City,OK,AT&T,0.22157674613102696
Des Moines,IA,CenturyLink,0.23072732135586185
Wichita,KS,AT&T,0.2457925282323016
New Orleans,LA,AT&T,0.24736826716023624
Jacksonville,FL,AT&T,0.2517681870229423
Little Rock,AR,AT&T,0.2545479831269466
Chicago,IL,AT&T,0.2773866536884335
Cleveland,OH,AT&T,0.2891370340734867
Boise,ID,CenturyLink,0.3380437480102864
Omaha,NE,CenturyLink,0.4171265175715786
Memphis,TN,AT&T,0.4270300965378265
Jackson,MS,AT&T,0.516255662809651
Charleston,SC,AT&T,0.5606305604843241
Virginia Beach,VA,Verizon,0.5643508669192836
Detroit,MI,AT&T,0.7018058105777744
Fargo,ND,CenturyLink,0.7363726830257837
Kansas City,MO,AT&T,0.7703866522199754
Phoenix,AZ,CenturyLink,0.7956291089941918
Las Vegas,NV,CenturyLink,0.8000079711517483
Sioux Falls,SD,CenturyLink,0.8189095429783255
Billings,MT,CenturyLink,0.9826537698502272
Cheyenne,WY,CenturyLink,1.0140456325917913
Albuquerque,NM,CenturyLink,1.3874376492447498
