Observed,pct_slow_least_white,pct_slow_most_white,isp,major_city,display_city
39.73,51.15,11.42,AT&T,Oklahoma City,"Oklahoma City, Okla."
34.209999999999994,50.31,16.1,AT&T,Kansas City,"Kansas City, Mo."
32.04,76.82,44.78,AT&T,New Orleans,"New Orleans, La."
26.3,29.9,3.5999999999999996,AT&T,Louisville,"Louisville, Ky."
18.13,33.900000000000006,15.770000000000001,AT&T,Charleston,"Charleston, S.C."
12.5,21.21,8.709999999999999,AT&T,Wichita,"Wichita, Kan."
11.06,15.98,4.92,AT&T,Little Rock,"Little Rock, Ark."
6.1899999999999995,13.320000000000002,7.13,AT&T,Nashville,"Nashville, Tenn."
5.84999999999999,11.219999999999999,5.37,AT&T,Houston,"Houston, Texas"
5.47,14.26,8.790000000000001,AT&T,Columbus,"Columbus, Ohio"
5.17,12.13,6.959999999999999,AT&T,Jacksonville,"Jacksonville, Fla."
4.96999999999999,13.19,8.219999999999999,AT&T,Huntsville,"Huntsville, Ala."
4.35,20.580000000000002,16.23,AT&T,Indianapolis,"Indianapolis, Ind."
2.73999999999999,25.77,23.03,AT&T,Chicago,"Chicago, Ill."
1.76999999999999,12.2,10.43,AT&T,Milwaukee,"Milwaukee, Wis."
1.70999999999999,9.53,7.82,AT&T,Atlanta,"Atlanta, Ga."
1.61999999999999,17.7,16.08,AT&T,Jackson,"Jackson, Miss."
0.41000000000000003,8.260000000000002,7.85,AT&T,Charlotte,"Charlotte, N.C."
-3.61,29.4,33.01,AT&T,Los Angeles,"Los Angeles, Calif."
10.46999999999999,30.7,20.23,Verizon,Virginia Beach,"Virginia Beach, Va."
1.95,99.85000000000001,97.89999999999999,Verizon,Baltimore,"Baltimore, Md.*"
0.12,0.12,0.0,Verizon,Providence,"Providence, R.I.*"
-0.18,0.08,0.26,Verizon,New York City,"New York, N.Y.*"
-0.33999999999999997,1.78,2.12,Verizon,Philadelphia,"Philadelphia, Pa.*"
-0.4,27.99,28.389999999999997,Verizon,Washington,Washington
-0.81999999999999,3.3000000000000003,4.12,Verizon,Boston,"Boston, Mass.*"
32.91999999999999,54.98,22.06,CenturyLink,Omaha,"Omaha, Neb."
31.47,71.27,39.800000000000004,CenturyLink,Las Vegas,"Las Vegas, Nev."
19.009999999999998,45.93,26.919999999999998,CenturyLink,Des Moines,"Des Moines, Iowa"
18.58,23.880000000000003,5.3,CenturyLink,Minneapolis,"Minneapolis, Minn."
18.37,34.68,16.31,CenturyLink,Phoenix,"Phoenix, Ariz."
14.149999999999999,32.879999999999995,18.73,CenturyLink,Seattle,"Seattle, Wash"
7.899999999999991,59.17,51.27,CenturyLink,Sioux Falls,"Sioux Falls, S.D."
3.80999999999999,15.53,11.72,CenturyLink,Denver,"Denver, Colo."
3.1299999999999897,29.84,26.71,CenturyLink,Salt Lake City,"Salt Lake City, Utah"
-2.4699999999999998,16.439999999999998,18.91,CenturyLink,Portland,"Portland, Ore."
-3.08999999999999,20.630000000000003,23.72,CenturyLink,Albuquerque,"Albuquerque, N.M."
28.53,77.13,48.6,EarthLink,New Orleans,"New Orleans, La."
25.88,56.21000000000001,30.330000000000002,EarthLink,Kansas City,"Kansas City, Mo."
23.19999999999999,44.48,21.279999999999998,EarthLink,Oklahoma City,"Oklahoma City, Okla."
21.55,28.110000000000003,6.5600000000000005,EarthLink,Louisville,"Louisville, Ky."
16.59,41.18,24.59,EarthLink,Charleston,"Charleston, S.C."
8.18,27.21,19.03,EarthLink,Chicago,"Chicago, Ill."
4.71,11.78,7.07,EarthLink,Houston,"Houston, Texas"
2.30999999999999,10.95,8.64,EarthLink,Atlanta,"Atlanta, Ga."
2.2699999999999902,20.62,18.35,EarthLink,Wichita,"Wichita, Kan."
1.7000000000000002,75.17,73.47,EarthLink,Columbus,"Columbus, Ohio"
1.6,99.83,98.22999999999999,EarthLink,Las Vegas,"Las Vegas, Nev.*"
1.44999999999999,14.02,12.57,EarthLink,Milwaukee,"Milwaukee, Wis."
0.9099999999999899,21.75,20.84,EarthLink,Indianapolis,"Indianapolis, Ind."
0.54,7.21,6.67,EarthLink,Huntsville,"Huntsville, Ala."
0.27,9.56,9.29,EarthLink,Charlotte,"Charlotte, N.C."
0.0,100.0,100.0,EarthLink,Albuquerque,"Albuquerque, N.M.*"
0.0,100.0,100.0,EarthLink,Denver,"Denver, Colo.*"
0.0,100.0,100.0,EarthLink,Des Moines,"Des Moines, Iowa*"
0.0,100.0,100.0,EarthLink,Omaha,"Omaha, Neb.*"
0.0,100.0,100.0,EarthLink,Phoenix,"Phoenix, Ariz.*"
0.0,100.0,100.0,EarthLink,Portland,"Portland, Ore.*"
0.0,100.0,100.0,EarthLink,Salt Lake City,"Salt Lake City, Utah*"
0.0,100.0,100.0,EarthLink,Seattle,"Seattle, Wash*"
0.0,100.0,100.0,EarthLink,Sioux Falls,"Sioux Falls, S.D.*"
-0.70999999999999,14.89,15.6,EarthLink,Little Rock,"Little Rock, Ark."
-1.69999999999999,17.26,18.96,EarthLink,Jacksonville,"Jacksonville, Fla."
-4.019999999999991,16.8,20.82,EarthLink,Nashville,"Nashville, Tenn."
-4.42,26.99,31.41,EarthLink,Los Angeles,"Los Angeles, Calif."
