Observed,pct_slow_d_rated,pct_slow_ab_rated,isp,major_city,display_city
56.38999999999999,68.49,12.1,AT&T,Kansas City,"Kansas City, Mo."
47.62999999999999,67.69,20.06,AT&T,Detroit,"Detroit, Mich."
31.82999999999999,37.51,5.680000000000001,AT&T,Louisville,"Louisville, Ky."
30.240000000000002,76.9,46.660000000000004,AT&T,New Orleans,"New Orleans, La."
20.380000000000003,25.2,4.82,AT&T,Wichita,"Wichita, Kan."
19.51999999999999,31.31,11.790000000000001,AT&T,Columbus,"Columbus, Ohio"
15.920000000000002,19.35,3.4299999999999997,AT&T,Milwaukee,"Milwaukee, Wis."
14.45,28.689999999999998,14.24,AT&T,Indianapolis,"Indianapolis, Ind."
13.79999999999999,26.38,12.58,AT&T,Charlotte,"Charlotte, N.C."
12.98,16.220000000000002,3.2399999999999998,AT&T,Atlanta,"Atlanta, Ga."
10.59,16.34,5.75,AT&T,Houston,"Houston, Texas"
8.24,28.02,19.78,AT&T,Chicago,"Chicago, Ill."
7.1499999999999995,17.19,10.040000000000001,AT&T,Nashville,"Nashville, Tenn."
6.4799999999999995,33.52,27.04,AT&T,Los Angeles,"Los Angeles, Calif."
18.360000000000003,20.71,2.35,Verizon,Newark,"Newark, N.J."
2.77,6.16,3.39,Verizon,Boston,"Boston, Mass.*"
1.91,2.41,0.5,Verizon,Philadelphia,"Philadelphia, Pa.*"
-0.04,0.01,0.05,Verizon,New York City,"New York, N.Y.*"
-0.6699999999999899,99.07000000000001,99.74,Verizon,Baltimore,"Baltimore, Md.*"
47.13,53.349999999999994,6.22,CenturyLink,Minneapolis,"Minneapolis, Minn."
42.14,58.78,16.64,CenturyLink,Phoenix,"Phoenix, Ariz."
24.19,55.71,31.52,CenturyLink,Des Moines,"Des Moines, Iowa"
22.69999999999999,31.509999999999998,8.81,CenturyLink,Portland,"Portland, Ore."
18.32,24.16,5.84,CenturyLink,Denver,"Denver, Colo."
15.310000000000002,31.5,16.189999999999998,CenturyLink,Seattle,"Seattle, Wash"
14.719999999999999,30.17,15.45,CenturyLink,Salt Lake City,"Salt Lake City, Utah"
58.8,71.41,12.61,EarthLink,Kansas City,"Kansas City, Mo."
42.709999999999994,64.55,21.84,EarthLink,Detroit,"Detroit, Mich."
27.16,35.52,8.36,EarthLink,Louisville,"Louisville, Ky."
25.16999999999999,79.56,54.39000000000001,EarthLink,New Orleans,"New Orleans, La."
15.53,19.919999999999998,4.390000000000001,EarthLink,Milwaukee,"Milwaukee, Wis."
15.079999999999998,75.31,60.23,EarthLink,Columbus,"Columbus, Ohio"
14.09,26.35,12.26,EarthLink,Indianapolis,"Indianapolis, Ind."
12.0,17.0,5.0,EarthLink,Wichita,"Wichita, Kan."
11.04999999999999,16.669999999999998,5.62,EarthLink,Houston,"Houston, Texas"
9.12999999999999,26.369999999999997,17.24,EarthLink,Chicago,"Chicago, Ill."
8.37999999999999,12.58,4.2,EarthLink,Atlanta,"Atlanta, Ga."
8.01,33.51,25.5,EarthLink,Los Angeles,"Los Angeles, Calif."
0.0,100.0,100.0,EarthLink,Denver,"Denver, Colo.*"
0.0,100.0,100.0,EarthLink,Des Moines,"Des Moines, Iowa*"
0.0,100.0,100.0,EarthLink,Portland,"Portland, Ore.*"
0.0,100.0,100.0,EarthLink,Salt Lake City,"Salt Lake City, Utah*"
0.0,100.0,100.0,EarthLink,Seattle,"Seattle, Wash*"
-8.43,18.73,27.16,EarthLink,Nashville,"Nashville, Tenn."
