major_city,isp,Adjusted,Observed,state
Oklahoma City,AT&T,50.911694627309366,46.1742625481226,OK
Charleston,AT&T,35.861430201071734,34.86326681448643,SC
Louisville,AT&T,32.67888054777676,30.805578907901115,KY
Kansas City,AT&T,28.95735517916173,43.034052551337716,MO
New Orleans,AT&T,25.97407630043148,36.89307575608057,LA
Huntsville,AT&T,22.1460061222246,12.01106757407024,AL
Detroit,AT&T,21.03287415913904,23.682781642694184,MI
Wichita,AT&T,18.456688469829754,24.080964181638787,KS
Los Angeles,AT&T,11.601926590848132,21.09795700971045,CA
Nashville,AT&T,10.244347150785698,12.773930575035008,TN
Milwaukee,AT&T,8.818489058190611,15.5337702322898,WI
Little Rock,AT&T,8.174476938747773,11.949768415863804,AR
Jackson,AT&T,5.611228482628823,23.95445965199231,MS
Indianapolis,AT&T,5.220605848370437,10.785857995130192,IN
Houston,AT&T,5.067938055796228,11.028013676738494,TX
Chicago,AT&T,4.032688406418506,5.871308000462333,IL
Atlanta,AT&T,3.9596499528563296,7.399584357583796,GA
Jacksonville,AT&T,1.3836472168460505,9.90858108411549,FL
Columbus,AT&T,0.9344453860095571,13.79969667944884,OH
Charlotte,AT&T,-0.7434692781844818,4.817507924490634,NC
Washington,Verizon,32.310801641858696,19.766410211168203,DC
Virginia Beach,Verizon,23.345321545675922,9.223606283395178,VA
Newark,Verizon,9.831997662384143,5.519479315052248,NJ
Cheyenne,CenturyLink,44.39636339073132,37.722208467442556,WY
Las Vegas,CenturyLink,19.327023760007005,26.866404304289983,NV
Minneapolis,CenturyLink,15.424718255671616,43.61454612720005,MN
Sioux Falls,CenturyLink,10.387655097499287,17.97540623627591,SD
Phoenix,CenturyLink,9.866924460581952,16.822189131375566,AZ
Des Moines,CenturyLink,9.632458154380105,12.259191748159937,IA
Seattle,CenturyLink,6.582604242941592,31.2395767791684,WA
Denver,CenturyLink,4.915820486102348,14.967814733260804,CO
Boise,CenturyLink,4.5441013963387205,0.6995852021085838,ID
Albuquerque,CenturyLink,3.6219008673694986,7.380547229528245,NM
Fargo,CenturyLink,2.621454330489239,4.5389109374614875,ND
Omaha,CenturyLink,1.607779047275696,30.14369813282694,NE
Portland,CenturyLink,-0.4444684830671411,11.068456042349121,OR
Salt Lake City,CenturyLink,-1.4295398819436005,18.240898013440678,UT
Billings,CenturyLink,-3.3946531233918664,14.90556609237823,MT
Charleston,EarthLink,37.0671697441799,32.74668571882202,SC
Detroit,EarthLink,16.727569041549483,20.26190869022083,MI
Oklahoma City,EarthLink,16.36355382587669,23.109250565425445,OK
New Orleans,EarthLink,15.63107115255688,37.598332502354445,LA
Louisville,EarthLink,14.568221476892345,26.44206490120395,KY
Kansas City,EarthLink,13.831792963028954,26.83999160797098,MO
Wichita,EarthLink,13.080594745840557,8.957203647800013,KS
Los Angeles,EarthLink,11.27690488045122,21.398218809810608,CA
Huntsville,EarthLink,10.628137428727571,5.31139272429229,AL
Nashville,EarthLink,10.138988020721351,0.2350783764620945,TN
Little Rock,EarthLink,8.101383292727373,2.10370491090828,AR
Milwaukee,EarthLink,7.24079738147129,13.047171224746174,WI
Houston,EarthLink,6.2780362989019105,8.671615746895847,TX
Indianapolis,EarthLink,6.03213011759348,2.401511207230403,IN
Chicago,EarthLink,5.870940890455786,10.322730326053309,IL
Atlanta,EarthLink,3.9663558057043287,2.499847492585068,GA
Columbus,EarthLink,3.7934568815166325,4.802336969117038,OH
Las Vegas,EarthLink,-0.5246008997981888,0.33173946682746314,NV
Charlotte,EarthLink,-0.6539578099201526,3.5977286842338585,NC
Jacksonville,EarthLink,-1.650532148624284,-0.8296557811120792,FL
