major_city,isp,Adjusted,Observed,state
Oklahoma City,AT&T,32.36598223352671,40.052659515616504,OK
Cleveland,AT&T,19.321921410187215,28.99107111663438,OH
New Orleans,AT&T,15.290611334163387,31.164469303092496,LA
Kansas City,AT&T,13.596895016054034,34.20846250523669,MO
Louisville,AT&T,8.080951289505586,26.27403199437126,KY
Little Rock,AT&T,5.723428882713618,10.58410436590249,AR
Wichita,AT&T,3.4797508920900695,12.3816779517382,KS
Huntsville,AT&T,3.2235942662591333,4.63261049868343,AL
Chicago,AT&T,3.071116675446283,2.8185630739436114,IL
Houston,AT&T,2.1913440976882725,6.337137124775198,TX
Atlanta,AT&T,2.156237600678914,1.5669523137940344,GA
Indianapolis,AT&T,0.6412233405542866,4.305925324870207,IN
Memphis,AT&T,-0.7948874675979267,16.721023166087672,TN
Jacksonville,AT&T,-0.9131341028256474,5.219089209734351,FL
Charlotte,AT&T,-3.132049441935786,1.8448012833996303,NC
Jackson,AT&T,-4.188731843976808,1.5207575567540432,MS
Los Angeles,AT&T,-4.692908044159866,-3.1574453003384684,CA
Milwaukee,AT&T,-6.940632015305201,1.920849069836292,WI
Charleston,AT&T,-7.941657036156824,18.578263112027877,SC
Virginia Beach,Verizon,27.888419836622134,10.069004123986925,VA
Washington,Verizon,-13.210951971687257,-0.3637515476072606,DC
Las Vegas,CenturyLink,29.42585099696629,31.253433920380846,NV
Des Moines,CenturyLink,17.482796309488975,19.825288548826332,IA
Phoenix,CenturyLink,13.742986170800958,18.63896243674368,AZ
Minneapolis,CenturyLink,2.4011937773756875,19.018996626260797,MN
Omaha,CenturyLink,1.6125963997898243,32.690636440386996,NE
Denver,CenturyLink,-0.1299696158710853,4.371230711201185,CO
Seattle,CenturyLink,-0.1320429945636914,14.143167323559258,WA
Portland,CenturyLink,-1.1284980049527458,-2.20590273822808,OR
Sioux Falls,CenturyLink,-2.2488888959224074,8.32227627893264,SD
Salt Lake City,CenturyLink,-4.749618422332557,4.782663340266829,UT
Albuquerque,CenturyLink,-5.294278273551553,-3.178243470589387,NM
Kansas City,EarthLink,12.337386837447784,25.859723100709726,MO
Cleveland,EarthLink,11.27370661396197,24.6096940659816,OH
Oklahoma City,EarthLink,11.103618633174001,23.171417378613853,OK
New Orleans,EarthLink,9.096203069271615,27.322711845563312,LA
Louisville,EarthLink,7.129863807118053,21.524085748492613,KY
Chicago,EarthLink,5.036627100961637,8.180683415304438,IL
Atlanta,EarthLink,4.199543534926394,2.203514812737603,GA
Wichita,EarthLink,3.7442027780120597,2.074051848034747,KS
Houston,EarthLink,2.899177706138243,5.0530709835611685,TX
Memphis,EarthLink,2.3323745869550647,17.258344312692103,TN
Charleston,EarthLink,1.1091182265327515,16.770138134409372,SC
Indianapolis,EarthLink,0.8041694449938144,0.909268781129216,IN
Little Rock,EarthLink,0.6097036657813804,-1.9234461452533602,AR
Las Vegas,EarthLink,2.7833347998616652e-06,1.6184879487644022,NV
Huntsville,EarthLink,-0.761657534930666,0.1790889411987448,AL
Charlotte,EarthLink,-2.4813442034703135,1.092939927484353,NC
Jacksonville,EarthLink,-3.209275757554922,-1.6721371366490156,FL
Los Angeles,EarthLink,-4.151879307336315,-4.245240238330017,CA
Milwaukee,EarthLink,-4.50153621218264,1.539137664534762,WI
