major_city,state,slowest_income,isp,prop_slow_income_exposure,prop_slow_income_treatment,prop_slow_income_delta,flag_x,slowest_race,prop_slow_race_exposure,prop_slow_race_treatment,prop_slow_race_delta,flag_y,slowest_redlining,prop_slow_redlining_exposure,prop_slow_redlining_treatment,prop_slow_redlining_delta,flag
Atlanta,GA,True,AT&T,0.14799635701275046,0.08502224419179437,0.0629741128209561,,True,0.13405590416428978,0.08095356344673454,0.053102340717555235,,True,0.16216216216216217,0.032359081419624215,0.12980308074253796,
Charleston,SC,,AT&T,,,,small bin,,,,,small bin,,,,,not HOLC graded
Charlotte,NC,True,AT&T,0.1613361762615494,0.03870877585243153,0.12262740040911786,,False,0.05687598261352076,0.06236150680595125,-0.005485524192430487,,True,0.26380368098159507,0.12577319587628866,0.1380304851053064,
Chicago,IL,True,AT&T,0.29131504922644164,0.22142178594046866,0.06989326328597298,,False,0.23853983010097773,0.23374295954941116,0.004796870551566579,,True,0.28023352793994993,0.19780832095096582,0.08242520698898412,
Columbus,OH,True,AT&T,0.22565742714996445,0.06161812297734628,0.16403930417261817,,False,0.14335573940020682,0.09903566508495332,0.044320074315253505,,True,0.3131067961165049,0.1179080824088748,0.1951987137076301,
Detroit,MI,True,AT&T,0.6243739565943238,0.27243330638641877,0.35194065020790505,,,,,,no diversity,True,0.6768867924528302,0.20061475409836066,0.4762720383544696,
Houston,TX,True,AT&T,0.2,0.04478449375159398,0.15521550624840602,,True,0.1044504748982361,0.03831929319909595,0.06613118169914015,,True,0.16344086021505377,0.05747126436781609,0.10596959584723768,
Huntsville,AL,True,AT&T,0.31006493506493504,0.08774745853397539,0.22231747653095965,,False,0.12526389866291343,0.09018456375838926,0.03507933490452417,,,,,,not HOLC graded
Indianapolis,IN,True,AT&T,0.24240780911062906,0.1353528843055108,0.10705492480511827,,False,0.2111812778603269,0.18590872698158528,0.025272550878741612,,True,0.28688524590163933,0.14241325737959606,0.14447198852204327,
Jackson,MS,,AT&T,,,,small bin,True,0.18018018018018017,0.07075471698113207,0.1094254631990481,,,,,,small bin
Jacksonville,FL,True,AT&T,0.25389302640487477,0.03986741552343247,0.21402561088144229,,False,0.11685169370908056,0.06918409852395183,0.04766759518512874,,,,,,not HOLC graded
Kansas City,MO,True,AT&T,0.6563849475632326,0.1207408701729862,0.5356440773902464,,True,0.4868522815158546,0.1787018494522323,0.30815043206362225,,True,0.684931506849315,0.12098765432098765,0.5639438525283273,
Little Rock,AR,True,AT&T,0.28134556574923547,0.051360842844600525,0.22998472290463495,,True,0.16025166543301259,0.07450980392156863,0.08574186151144396,,,,,,small bin
Los Angeles,CA,True,AT&T,0.5149130832570906,0.2880687093779016,0.22684437387918904,,False,0.36881151207873547,0.3310009718172984,0.0378105402614371,,True,0.3352471642627083,0.27040720585475697,0.06483995840795131,
Louisville,KY,True,AT&T,0.37141183362624486,0.04392072844134976,0.3274911051848951,,True,0.27906976744186046,0.07765351339945135,0.2014162540424091,,True,0.3750778816199377,0.05683947532792005,0.31823840629201766,
Milwaukee,WI,True,AT&T,0.338301043219076,0.05536554082941428,0.2829355023896617,,False,0.12189362419880805,0.09184388875905586,0.030049735439752187,,True,0.19346140883046847,0.034334763948497854,0.15912664488197062,
Nashville,TN,True,AT&T,0.32320777642770354,0.10950878774222622,0.21369898868547732,,True,0.1674454828660436,0.09951348960636887,0.06793199325967474,,True,0.17192982456140352,0.1003584229390681,0.07157140162233541,
New Orleans,LA,True,AT&T,0.799761620977354,0.4730342741935484,0.32672734678380566,,True,0.7140773158278628,0.4522491349480969,0.26182818087976595,,True,0.7690322580645161,0.4665718349928876,0.3024604230716285,
Oklahoma City,OK,True,AT&T,0.6180141074335322,0.08563899868247694,0.5323751087510553,,True,0.478494623655914,0.11518179295031918,0.36331283070559484,,,,,,not HOLC graded
Wichita,KS,True,AT&T,0.5246132208157525,0.046153846153846156,0.4784593746619063,,True,0.26508313539192396,0.09978991596638656,0.1652932194255374,,True,0.25203252032520324,0.04817518248175182,0.20385733784345142,
Albuquerque,NM,False,CenturyLink,0.22559474979491387,0.18143961927424151,0.04415513052067235,,False,0.22139481598166977,0.21796071094480823,0.0034341050368615345,,,,,,not HOLC graded
Billings,MT,,CenturyLink,,,,small bin,,,,,no diversity,,,,,not HOLC graded
Boise,ID,True,CenturyLink,0.32113821138211385,0.11436054124836316,0.2067776701337507,,,,,,no diversity,,,,,not HOLC graded
Cheyenne,WY,,CenturyLink,,,,small bin,,,,,no diversity,,,,,not HOLC graded
Denver,CO,True,CenturyLink,0.2881844380403458,0.08104631217838765,0.20713812586195818,,False,0.14174252275682706,0.12707827806237082,0.014664244694456235,,True,0.24156305506216696,0.05843801201529219,0.18312504304687477,
Des Moines,IA,,CenturyLink,,,,small bin,True,0.47652916073968704,0.3348813209494324,0.14164783979025464,,True,0.5570731707317074,0.3152492668621701,0.24182390386953728,
Fargo,ND,,CenturyLink,,,,small bin,,,,,no diversity,,,,,not HOLC graded
Las Vegas,NV,True,CenturyLink,0.7077625570776256,0.3859250851305335,0.3218374719470921,,True,0.636100186296833,0.4116027170919772,0.22449746920485575,,,,,,not HOLC graded
Minneapolis,MN,True,CenturyLink,0.6426250812215725,0.06752330561854371,0.5751017756030288,,True,0.25576995838062805,0.17313390715394383,0.08263605122668422,,True,0.53353428786737,0.06217030896759608,0.47136397889977394,
Omaha,NE,True,CenturyLink,0.5785837651122625,0.24323361823361822,0.3353501468786443,,True,0.5427298501417578,0.2839390142021721,0.2587908359395857,,,,,,small bin
