major_city,state,income_disparity,isp,pct_slow_lower_income,pct_slow_upper_income,income_pct_pt_diff,uniform_speed,flag_income,race_disparity,pct_slow_least_white,pct_slow_most_white,race_pct_pt_diff,flag_race,redlining_disparity,pct_slow_d_rated,pct_slow_ab_rated,redlining_pct_pt_diff,flag_redlining
Atlanta,GA,True,AT&T,0.1443,0.0703,0.07400000000000001,False,,False,0.0953,0.0782,0.01709999999999999,,True,0.1622,0.0324,0.12980000000000003,
Charleston,SC,True,AT&T,0.4244,0.0758,0.3486,False,,True,0.339,0.1577,0.18130000000000002,,,,,,not HOLC graded
Charlotte,NC,False,AT&T,0.0964,0.0482,0.0482,False,,False,0.0826,0.0785,0.004100000000000006,,True,0.2638,0.1258,0.13799999999999998,
Chicago,IL,True,AT&T,0.2834,0.2247,0.058699999999999974,False,,False,0.2577,0.2303,0.02739999999999998,,True,0.2802,0.1978,0.0824,
Columbus,OH,True,AT&T,0.2041,0.0661,0.138,False,,True,0.1426,0.0879,0.0547,,True,0.3131,0.1179,0.19519999999999998,
Detroit,MI,True,AT&T,0.4978,0.261,0.2368,False,,,,,,no diversity,True,0.6769,0.2006,0.47629999999999995,
Houston,TX,True,AT&T,0.1507,0.0404,0.11030000000000001,False,,True,0.1122,0.0537,0.058499999999999996,,True,0.1634,0.0575,0.1059,
Huntsville,AL,True,AT&T,0.2163,0.0962,0.1201,False,,True,0.1319,0.0822,0.049699999999999994,,,,,,not HOLC graded
Indianapolis,IN,True,AT&T,0.2483,0.1405,0.10779999999999998,False,,False,0.2058,0.1623,0.04350000000000001,,True,0.2869,0.1424,0.1445,
Jackson,MS,True,AT&T,0.3079,0.0683,0.2396,False,,False,0.177,0.1608,0.016199999999999992,,,,,,small bin
Jacksonville,FL,True,AT&T,0.1393,0.0402,0.09910000000000001,False,,True,0.1213,0.0696,0.05170000000000001,,,,,,not HOLC graded
Kansas City,MO,True,AT&T,0.5406,0.1102,0.43039999999999995,False,,True,0.5031,0.161,0.34209999999999996,,True,0.6849,0.121,0.5639,
Little Rock,AR,True,AT&T,0.1723,0.0528,0.11950000000000001,False,,True,0.1598,0.0492,0.1106,,,,,,small bin
Los Angeles,CA,True,AT&T,0.5002,0.2892,0.21099999999999997,False,,False,0.294,0.3301,-0.03610000000000002,,True,0.3352,0.2704,0.06480000000000002,
Louisville,KY,True,AT&T,0.3486,0.0405,0.30810000000000004,False,,True,0.299,0.036,0.263,,True,0.3751,0.0568,0.31829999999999997,
Milwaukee,WI,True,AT&T,0.2088,0.0535,0.15530000000000002,False,,False,0.122,0.1043,0.017699999999999994,,True,0.1935,0.0343,0.1592,
Nashville,TN,True,AT&T,0.2391,0.1114,0.1277,False,,True,0.1332,0.0713,0.06190000000000001,,True,0.1719,0.1004,0.0715,
New Orleans,LA,True,AT&T,0.807,0.4381,0.36890000000000006,False,,True,0.7682,0.4478,0.3204,,True,0.769,0.4666,0.3024,
Oklahoma City,OK,True,AT&T,0.5328,0.071,0.46180000000000004,False,,True,0.5115,0.1142,0.3973,,,,,,not HOLC graded
