,coef,odds_ratio,pvalue,pr_sq,N,major_city,state,isp,model,intercept,probability_treatment,probability_exposure,odds_directional,is_coef_positive,probability_delta,perc_probability
"C(income_level, Treatment('Upper Income'))[T.Low]",0.8022906455978077,2.2306446972541356,2.7628232068323242e-17,0.011080015000770271,10615,Atlanta,GA,AT&T,income_level_alone,-2.582641478579184,0.07026397515527988,0.14425981873111784,2.2306446972541356,True,0.07399584357583797,2.053112116305843
"C(income_level, Treatment('Upper Income'))[T.Middle-Lower]",0.4268862577856776,1.5324783443302983,1.8576054276421536e-05,0.011080015000770271,10615,Atlanta,GA,AT&T,income_level_alone,-2.582641478579184,0.07026397515527988,0.1037946428571428,1.5324783443302983,True,0.033530667701862915,1.4772099447513725
"C(income_level, Treatment('Upper Income'))[T.Middle-Upper]",0.6050393221585949,1.8313242190913475,6.045594008121733e-10,0.011080015000770271,10615,Atlanta,GA,AT&T,income_level_alone,-2.582641478579184,0.07026397515527988,0.12157468159011957,1.8313242190913475,True,0.05131070643483969,1.730256241857162
"C(income_level, Treatment('Upper Income'))[T.Low]",1.315686328238981,3.7273082645016657,1.1563954992001518e-18,0.11130742014321438,10615,Atlanta,GA,AT&T,income_level_controls,-4.160320260800012,0.015362860278501051,0.05495935980706435,3.7273082645016657,True,0.0395964995285633,3.5774171482881387
"C(income_level, Treatment('Upper Income'))[T.Middle-Lower]",0.887580149110472,2.429244124557613,1.2853711259053677e-13,0.11130742014321438,10615,Atlanta,GA,AT&T,income_level_controls,-4.160320260800012,0.015362860278501051,0.03651829570476159,2.429244124557613,True,0.021155435426260537,2.377050564982725
"C(income_level, Treatment('Upper Income'))[T.Middle-Upper]",0.7270467605554544,2.0689614379071135,1.2725196080846315e-11,0.11130742014321438,10615,Atlanta,GA,AT&T,income_level_controls,-4.160320260800012,0.015362860278501051,0.031271613510578875,2.0689614379071135,True,0.015908753232077823,2.0355332889631694
ppl_per_sq_mile_standard,0.46624485045205405,1.5939972425163302,2.3967204513000974e-68,0.11130742014321438,10615,Atlanta,GA,AT&T,income_level_controls,-4.160320260800012,0.015362860278501051,0.024266909321554377,1.5939972425163302,True,0.008904049043053325,1.579582765294933
n_providers,0.7760114719405293,2.172788730928674,4.5541966104224064e-54,0.11130742014321438,10615,Atlanta,GA,AT&T,income_level_controls,-4.160320260800012,0.015362860278501051,0.0327894690554573,2.172788730928674,True,0.01742660877695625,2.1343336111272997
internet_perc_broadband,-0.16587650128015224,0.8471508497747864,0.0014155882998443546,0.11130742014321438,10615,Atlanta,GA,AT&T,income_level_controls,-4.160320260800012,0.015362860278501051,0.013045293098966512,-0.8471508497747864,False,-0.0023175671795345396,0.8491448117394019
"C(income_level, Treatment('Upper Income'))[T.Low]",1.2487597135602153,3.4860166159274777,4.8432751155434554e-18,0.0678150749560924,10615,Atlanta,GA,AT&T,income_level_minus_ppl_per_sq_mile_standard,-4.29009273095768,0.013518402962052985,0.04559313018817815,3.4860166159274777,True,0.032074727226125165,3.372671336707521
"C(income_level, Treatment('Upper Income'))[T.Middle-Lower]",0.8684467126283251,2.3832061729997784,4.802120367516081e-14,0.0678150749560924,10615,Atlanta,GA,AT&T,income_level_minus_ppl_per_sq_mile_standard,-4.29009273095768,0.013518402962052985,0.03162577921519318,2.3832061729997784,True,0.018107376253140198,2.3394611999633943
"C(income_level, Treatment('Upper Income'))[T.Middle-Upper]",0.6975515383920728,2.008828142542672,6.9747744686368044e-12,0.0678150749560924,10615,Atlanta,GA,AT&T,income_level_minus_ppl_per_sq_mile_standard,-4.29009273095768,0.013518402962052985,0.02679078244370041,2.008828142542672,True,0.013272379481647424,1.981800847252729
n_providers,0.9689921165207616,2.6352870581147796,8.761630652344217e-92,0.0678150749560924,10615,Atlanta,GA,AT&T,income_level_minus_ppl_per_sq_mile_standard,-4.29009273095768,0.013518402962052985,0.03485436540953991,2.6352870581147796,True,0.021335962447486922,2.5782901654417554
internet_perc_broadband,-0.10294614224725362,0.9021755613214043,0.04366717511359984,0.0678150749560924,10615,Atlanta,GA,AT&T,income_level_minus_ppl_per_sq_mile_standard,-4.29009273095768,0.013518402962052985,0.012212122459781224,-0.9021755613214043,False,-0.0013062805022717606,0.9033702053461069
"C(income_level, Treatment('Upper Income'))[T.Low]",1.0408206162115523,2.8315396685730483,1.0095953947443222e-12,0.0795917614305427,10615,Atlanta,GA,AT&T,income_level_minus_n_providers ,-2.8341596893085073,0.0555059225172524,0.14266383107116226,2.8315396685730483,True,0.08715790855390987,2.570245202695611
"C(income_level, Treatment('Upper Income'))[T.Middle-Lower]",0.5664523202724016,1.7620049208471964,1.1879313682301934e-06,0.0795917614305427,10615,Atlanta,GA,AT&T,income_level_minus_n_providers ,-2.8341596893085073,0.0555059225172524,0.09383296940885127,1.7620049208471964,True,0.038327046891598875,1.6905037364199473
"C(income_level, Treatment('Upper Income'))[T.Middle-Upper]",0.6440328570838613,1.9041445585281893,1.1912024707310914e-09,0.0795917614305427,10615,Atlanta,GA,AT&T,income_level_minus_n_providers ,-2.8341596893085073,0.0555059225172524,0.10064061313414042,1.9041445585281893,True,0.045134690616888025,1.8131508957960156
ppl_per_sq_mile_standard,0.5863814866836206,1.79747245544787,4.44303933705333e-106,0.0795917614305427,10615,Atlanta,GA,AT&T,income_level_minus_n_providers ,-2.8341596893085073,0.0555059225172524,0.09554128495085115,1.79747245544787,True,0.04003536243359875,1.72128091234147
internet_perc_broadband,-0.056560264742242274,0.9450095320231872,0.26633530514725934,0.0795917614305427,10615,Atlanta,GA,AT&T,income_level_minus_n_providers ,-2.8341596893085073,0.0555059225172524,0.05261422007045513,-0.9450095320231872,False,-0.002891702446797269,0.9479028126070967
"C(income_level, Treatment('Upper Income'))[T.Low]",1.6273634907460937,5.090436029009737,3.7289455006001695e-48,0.10992531818139695,10615,Atlanta,GA,AT&T,income_level_minus_internet_perc_broadband,-4.240627671637855,0.014194175872339758,0.06828962356144525,5.090436029009737,True,0.054095447689105486,4.811101692386487
"C(income_level, Treatment('Upper Income'))[T.Middle-Lower]",1.0081591866459152,2.7405515250136885,4.2561365603616275e-19,0.10992531818139695,10615,Atlanta,GA,AT&T,income_level_minus_internet_perc_broadband,-4.240627671637855,0.014194175872339758,0.03796199293468162,2.7405515250136885,True,0.023767817062341857,2.674476720318669
"C(income_level, Treatment('Upper Income'))[T.Middle-Upper]",0.7608476405180642,2.140089478447011,8.3708309569519e-13,0.10992531818139695,10615,Atlanta,GA,AT&T,income_level_minus_internet_perc_broadband,-4.240627671637855,0.014194175872339758,0.029893058123482173,2.140089478447011,True,0.015698882251142417,2.1060087174018243
ppl_per_sq_mile_standard,0.4599631354993925,1.584015589974458,1.2434672978468395e-67,0.10992531818139695,10615,Atlanta,GA,AT&T,income_level_minus_internet_perc_broadband,-4.240627671637855,0.014194175872339758,0.02229894607931032,1.584015589974458,True,0.008104770206970561,1.5709926578241402
n_providers,0.7530392773547753,2.1234439543198675,4.871454166274245e-52,0.10992531818139695,10615,Atlanta,GA,AT&T,income_level_minus_internet_perc_broadband,-4.240627671637855,0.014194175872339758,0.029667449087487988,2.1234439543198675,True,0.01547327321514823,2.090114238002437
"C(race_quantile, Treatment('most white'))[T.more white]",0.34407496732082804,1.4106843867726946,0.00031723760221498626,0.01705541974858349,10615,Atlanta,GA,AT&T,race_quantile_alone,-2.466713303826785,0.07822489657766148,0.10691588785046728,1.4106843867726946,True,0.028690991272805805,1.3667757009345671
"C(race_quantile, Treatment('most white'))[T.less white]",0.9012089469481523,2.4625784389762093,2.9706428221959738e-24,0.01705541974858349,10615,Atlanta,GA,AT&T,race_quantile_alone,-2.466713303826785,0.07822489657766148,0.1728582259287335,2.4625784389762093,True,0.09463332935107203,2.2097597247331646
"C(race_quantile, Treatment('most white'))[T.least white]",0.2166754238798796,1.241940932342421,0.027023135225825726,0.01705541974858349,10615,Atlanta,GA,AT&T,race_quantile_alone,-2.466713303826785,0.07822489657766148,0.09534619750283735,1.241940932342421,True,0.017121300925175872,1.21887278442328
"C(race_quantile, Treatment('most white'))[T.more white]",0.3991425863427226,1.4905461349781224,0.00011596297938910309,0.10774637042988466,10615,Atlanta,GA,AT&T,race_quantile_controls,-3.96842479818367,0.018552484954179257,0.02740393564081059,1.4905461349781224,True,0.008851450686631332,1.477103240266334
"C(race_quantile, Treatment('most white'))[T.less white]",1.1744585284181537,3.236390056068201,9.895464059455393e-25,0.10774637042988466,10615,Atlanta,GA,AT&T,race_quantile_controls,-3.96842479818367,0.018552484954179257,0.057651099522446764,3.236390056068201,True,0.039098614568267506,3.107459710374803
"C(race_quantile, Treatment('most white'))[T.least white]",0.7967691910120257,2.218362233597926,2.427053563726582e-09,0.10774637042988466,10615,Atlanta,GA,AT&T,race_quantile_controls,-3.96842479818367,0.018552484954179257,0.04024641617715698,2.218362233597926,True,0.02169393122297772,2.1693275200900137
ppl_per_sq_mile_standard,0.4340106781345282,1.5434353490387867,1.7794673531680864e-61,0.10774637042988466,10615,Atlanta,GA,AT&T,race_quantile_controls,-3.96842479818367,0.018552484954179257,0.02834874686650489,1.5434353490387867,True,0.009796261912325632,1.528029637890576
n_providers,0.7825332794000865,2.1870055499688736,2.2439691309786183e-55,0.10774637042988466,10615,Atlanta,GA,AT&T,race_quantile_controls,-3.96842479818367,0.018552484954179257,0.03970011548385868,2.1870055499688736,True,0.021147630529679426,2.1398812925551285
internet_perc_broadband,-0.24337450502453725,0.7839778551407962,8.255710833238895e-09,0.10774637042988466,10615,Atlanta,GA,AT&T,race_quantile_controls,-3.96842479818367,0.018552484954179257,0.014603263556266262,-0.7839778551407962,False,-0.003949221397912995,0.7871324834561654
"C(race_quantile, Treatment('most white'))[T.more white]",0.39628643425451315,1.4862949823812504,6.847163561822818e-05,0.070253424779668,10615,Atlanta,GA,AT&T,race_quantile_minus_ppl_per_sq_mile_standard,-4.049500232829036,0.017132446827648293,0.02525347239690303,1.4862949823812504,True,0.008121025569254738,1.474014345466933
"C(race_quantile, Treatment('most white'))[T.less white]",1.126500868183901,3.0848433193787796,1.4496412929289659e-24,0.070253424779668,10615,Atlanta,GA,AT&T,race_quantile_minus_ppl_per_sq_mile_standard,-4.049500232829036,0.017132446827648293,0.05102826280387176,3.0848433193787796,True,0.033895815976223466,2.978457386572623
"C(race_quantile, Treatment('most white'))[T.least white]",0.5830459927847284,1.791486984838934,4.957318073527968e-06,0.070253424779668,10615,Atlanta,GA,AT&T,race_quantile_minus_ppl_per_sq_mile_standard,-4.049500232829036,0.017132446827648293,0.03028192925831757,1.791486984838934,True,0.013149482430669279,1.7675192319551625
