,coef,odds_ratio,pvalue,pr_sq,N,major_city,state,isp,model,intercept,probability_treatment,probability_exposure,odds_directional,is_coef_positive,probability_delta,perc_probability
"C(income_level, Treatment('Upper Income'))[T.Low]",1.315686328238981,3.7273082645016657,1.1563954992001518e-18,0.11130742014321438,10615,Atlanta,GA,AT&T,income_level_controls,-4.160320260800012,0.015362860278501051,0.05495935980706435,3.7273082645016657,True,0.0395964995285633,3.5774171482881387
"C(income_level, Treatment('Upper Income'))[T.Low]",1.592175958687223,4.914430900958001,8.814806386014597e-18,0.23355296943196668,3849,Charleston,SC,AT&T,income_level_controls,-0.2954630757686422,0.42666694483278167,0.785281246843499,4.914430900958001,True,0.3586143020107173,1.840501722370981
"C(income_level, Treatment('Upper Income'))[T.Low]",-0.19920384334578195,0.81938285056649,0.087552631463389,0.0778231235363035,19716,Charlotte,NC,AT&T,income_level_controls,-3.1107527246163613,0.04266588821112278,0.03523119542927796,-0.81938285056649,False,-0.007434692781844818,0.825746208656061
"C(income_level, Treatment('Upper Income'))[T.Low]",0.656136364602004,1.9273314246497442,5.881607834918853e-52,0.07536009853001413,42146,Chicago,IL,AT&T,income_level_controls,-2.9943077486736076,0.04768369357073716,0.08801057763492222,1.9273314246497442,True,0.04032688406418506,1.8457164503073045
"C(income_level, Treatment('Upper Income'))[T.Low]",0.8752276978989874,2.399421575022631,2.2415036871444455e-28,0.06461802242181147,24458,Columbus,OH,AT&T,income_level_controls,-4.985958458254786,0.006786849453470308,0.016131303313565878,2.399421575022631,True,0.00934445386009557,2.376847081132393
"C(income_level, Treatment('Upper Income'))[T.Low]",0.858542442289786,2.35971875963434,1.0639612500071508e-64,0.045820709514005076,21441,Detroit,MI,AT&T,income_level_controls,-0.575125897375038,0.3600548940612846,0.570383635652675,2.35971875963434,True,0.21032874159139042,1.5841574300489596
"C(income_level, Treatment('Upper Income'))[T.Low]",1.459178284165486,4.302422706548235,1.7969809219926314e-111,0.05781181568155813,53031,Houston,TX,AT&T,income_level_controls,-4.090816024367557,0.01645043642550522,0.0671298169834675,4.302422706548235,True,0.05067938055796228,4.080731674655606
"C(income_level, Treatment('Upper Income'))[T.Low]",0.9048985898721598,2.471681256835404,1.4976093736791587e-06,0.04742184418422202,4518,Huntsville,AL,AT&T,income_level_controls,-0.5889991870236994,0.35686452020879605,0.578324581431042,2.471681256835404,True,0.22146006122224599,1.6205718099761586
"C(income_level, Treatment('Upper Income'))[T.Low]",0.66198820552354,1.9386429258233224,4.676008754812276e-16,0.03977379254044133,14734,Indianapolis,IN,AT&T,income_level_controls,-2.7020938696925216,0.06284991459972086,0.11505597308342523,1.9386429258233224,True,0.05220605848370437,1.8306464506148468
"C(income_level, Treatment('Upper Income'))[T.Low]",1.4580155599132274,4.297423082479203,6.152916248469289e-14,0.1272850367991336,3819,Jackson,MS,AT&T,income_level_controls,-3.977563667619876,0.01838681186265241,0.07449909668894064,4.297423082479203,True,0.05611228482628823,4.051768041433241
"C(income_level, Treatment('Upper Income'))[T.Low]",0.5992369132628778,1.820728896076689,7.48781796963581e-10,0.0622719612860132,25762,Jacksonville,FL,AT&T,income_level_controls,-4.033592030010449,0.017402391783293433,0.031238863951753938,1.820728896076689,True,0.013836472168460505,1.795090257750876
