,coef,odds_ratio,pvalue,pr_sq,N,major_city,state,isp,model,intercept,probability_treatment,probability_exposure,odds_directional,is_coef_positive,probability_delta,perc_probability
"C(race_quantile, Treatment('most white'))[T.least white]",0.7967691910120257,2.218362233597926,2.427053563726582e-09,0.10774637042988466,10615,Atlanta,GA,AT&T,race_quantile_controls,-3.96842479818367,0.018552484954179257,0.04024641617715698,2.218362233597926,True,0.02169393122297772,2.1693275200900137
"C(race_quantile, Treatment('most white'))[T.least white]",-0.38521686541459277,0.6803030859951041,0.019438765011027235,0.2193490126204133,3849,Charleston,SC,AT&T,race_quantile_controls,0.8443733294739905,0.6993854895152296,0.6128140469005493,-0.6803030859951041,False,-0.0865714426146803,0.8762178456480614
"C(race_quantile, Treatment('most white'))[T.least white]",-0.7889337714590122,0.45432895562318365,4.4177465562916437e-16,0.07499490299980849,19716,Charlotte,NC,AT&T,race_quantile_controls,-2.6958505314798296,0.06321865117554663,0.029748277831018504,-0.45432895562318365,False,-0.033470373344528126,0.4705617294556471
"C(race_quantile, Treatment('most white'))[T.least white]",0.4999063948541556,1.648566949127887,3.8645588305567497e-35,0.06761240016177494,42146,Chicago,IL,AT&T,race_quantile_controls,-2.9190758323888755,0.05121859244964279,0.08172256252963017,1.648566949127887,True,0.030503970079987383,1.595564396073132
"C(race_quantile, Treatment('most white'))[T.least white]",0.14092321283494277,1.1513362367447162,0.028415999868788663,0.048738146819927275,24458,Columbus,OH,AT&T,race_quantile_controls,-4.945628656684353,0.007064183005999682,0.008124564175395888,1.1513362367447162,True,0.0010603811693962063,1.1501066957772206
"C(race_quantile, Treatment('most white'))[T.least white]",0.5852868977175553,1.7955060383369013,1.9809931212466118e-25,0.04563714595406643,53031,Houston,TX,AT&T,race_quantile_controls,-3.5589529515312224,0.02768058904476346,0.048629832187105995,1.7955060383369013,True,0.020949243142342536,1.7568207131887483
"C(race_quantile, Treatment('most white'))[T.least white]",0.19113523171492713,1.2106231556575624,0.22959378049540102,0.0377033627443224,4518,Huntsville,AL,AT&T,race_quantile_controls,-0.8955078791628607,0.2899745036320179,0.3308434695956453,1.2106231556575624,True,0.040868965963627435,1.1409398600626308
"C(race_quantile, Treatment('most white'))[T.least white]",0.09786339185907139,1.1028121217040787,0.1345243111224129,0.03143709663683858,14734,Indianapolis,IN,AT&T,race_quantile_controls,-2.4799916083722016,0.07727280047198917,0.0845457009061269,1.1028121217040787,True,0.007272900434137725,1.0941197988129614
"C(race_quantile, Treatment('most white'))[T.least white]",-0.7009845658723705,0.49609662345704164,1.6171258322140183e-05,0.10339804626051363,3819,Jackson,MS,AT&T,race_quantile_controls,-2.352214058846696,0.08688994807725611,0.045079580434288974,-0.49609662345704164,False,-0.04181036764296714,0.5188123762510198
"C(race_quantile, Treatment('most white'))[T.least white]",-0.3524834142920122,0.7029402284753967,1.752839209370586e-06,0.07322143576403906,25762,Jacksonville,FL,AT&T,race_quantile_controls,-3.3959335851170227,0.032422792184297645,0.023012934188050845,-0.7029402284753967,False,-0.009409857996246801,0.7097764454474098
"C(race_quantile, Treatment('most white'))[T.least white]",0.5496582428519867,1.7326607674678918,4.353452522055016e-16,0.1318542068798534,15449,Kansas City,MO,AT&T,race_quantile_controls,-0.40740428900613845,0.399534686962916,0.5355036371234538,1.7326607674678918,True,0.13596895016053784,1.3403182617111746
"C(race_quantile, Treatment('most white'))[T.least white]",1.2724214563480425,3.5694854592703846,6.199572697829207e-15,0.07628117350170205,6252,Little Rock,AR,AT&T,race_quantile_controls,-3.682321870726032,0.02454677158480648,0.08242084924157655,3.5694854592703846,True,0.05787407765677008,3.3577062856034368
"C(race_quantile, Treatment('most white'))[T.least white]",-0.37442954002198214,0.6876814616695258,1.5276987804550412e-18,0.06576765889506664,35347,Los Angeles,CA,AT&T,race_quantile_controls,-1.5737917812649422,0.17167651498703831,0.12474743454544056,-0.6876814616695258,False,-0.046929080441597756,0.7266423980872344
"C(race_quantile, Treatment('most white'))[T.least white]",1.7067181134863845,5.510845796580937,1.3962253276651387e-37,0.15418788481986423,8750,Louisville,KY,AT&T,race_quantile_controls,-3.8964585415131334,0.019909292539104277,0.10067559277927877,5.510845796580937,True,0.0807663002401745,5.056713722074234
"C(race_quantile, Treatment('most white'))[T.least white]",-0.5787208501949167,0.5606150187068671,1.591574549816158e-10,0.04316213104477662,14475,Milwaukee,WI,AT&T,race_quantile_controls,-1.5367439706118586,0.17700910425584893,0.1076027841027985,-0.5606150187068671,False,-0.06940632015305043,0.6078940659869645
"C(race_quantile, Treatment('most white'))[T.least white]",0.4298878537945774,1.537085135616765,0.001682509503104519,0.07136116621436539,8428,Nashville,TN,AT&T,race_quantile_controls,-3.541370219846276,0.0281577677782885,0.042636095577260814,1.537085135616765,True,0.014478327798972315,1.5141859224414822
"C(race_quantile, Treatment('most white'))[T.least white]",0.9175321313662819,2.503105425868558,2.52557942875608e-26,0.0738767004243237,8066,New Orleans,LA,AT&T,race_quantile_controls,-1.7754799913978714,0.1448621614016299,0.29776827474326395,2.503105425868558,True,0.15290611334163404,2.055528316450438
"C(race_quantile, Treatment('most white'))[T.least white]",1.7727438660140786,5.886984316864237,1.2240844511478302e-100,0.1879561618930038,16951,Oklahoma City,OK,AT&T,race_quantile_controls,-1.1441495167249658,0.2415593195635396,0.6521706668814163,5.886984316864237,True,0.41061134731787674,2.6998364958958656
"C(race_quantile, Treatment('most white'))[T.least white]",0.417487143281562,1.5181418854502413,3.105336223305556e-05,0.08603676479308298,11896,Wichita,KS,AT&T,race_quantile_controls,-2.4276287709034206,0.08108998250138985,0.1181422215888721,1.5181418854502413,True,0.037052239087482244,1.4569274520049031
"C(race_quantile, Treatment('most white'))[T.least white]",-0.41165842057551605,0.662550551040398,1.7190697906619094e-10,0.04824122113656604,15801,Albuquerque,NM,CenturyLink,race_quantile_controls,-1.5344846624910733,0.17733847342912787,0.12497452506787367,-0.662550551040398,False,-0.0523639483612542,0.70472313565854
