,coef,odds_ratio,pvalue,pr_sq,N,major_city,state,isp,model,intercept,probability_treatment,probability_exposure,odds_directional,is_coef_positive,probability_delta,perc_probability
"C(redlining_grade, Treatment('rest'))[T.D]",1.4142026028569237,4.113205299795907,9.057325946673519e-12,0.1249906460733663,10615,Atlanta,GA,AT&T,redlining_grade_controls,-4.048441098521781,0.01715029063601191,0.06696713206238607,4.113205299795907,True,0.04981684142637416,3.904722869347155
"C(redlining_grade, Treatment('rest'))[T.D]",0.5895181932296779,1.80311945091903,0.008399953258499075,0.22413347583703824,19716,Charlotte,NC,AT&T,redlining_grade_controls,-5.402604017227443,0.00448463245879171,0.008057308046072168,1.80311945091903,True,0.0035726755872804578,1.7966484701051824
"C(redlining_grade, Treatment('rest'))[T.D]",0.49024865431608544,1.6327221528950844,2.685413747549828e-29,0.06491456036670451,42146,Chicago,IL,AT&T,redlining_grade_controls,-2.710240447742765,0.06237178814397888,0.09796952952236204,1.6327221528950844,True,0.03559774137838316,1.5707346612575772
"C(redlining_grade, Treatment('rest'))[T.D]",1.2287393733304244,3.416919360425613,1.7557892539253954e-47,0.0506927974984589,24458,Columbus,OH,AT&T,redlining_grade_controls,-2.9584069875477255,0.049340674580021976,0.15063010046854286,3.416919360425613,True,0.10128942588852088,3.052858554340336
"C(redlining_grade, Treatment('rest'))[T.D]",2.1764372230466,8.814844920803637,0.0,0.1328229609898618,21441,Detroit,MI,AT&T,redlining_grade_controls,0.25644685364068154,0.5637626500031224,0.9193007523392746,8.814844920803637,True,0.35553810233615213,1.6306521056940948
"C(redlining_grade, Treatment('rest'))[T.D]",1.047376838208485,2.8501648599626166,5.028504712817711e-13,0.050974655853878614,53031,Houston,TX,AT&T,redlining_grade_controls,-3.079042959522725,0.043980037365464575,0.11591806688086824,2.8501648599626166,True,0.07193802951540366,2.635697325984838
"C(redlining_grade, Treatment('rest'))[T.D]",0.704657854244336,2.023154352814987,3.2988014094135716e-14,0.03801326627203516,14734,Indianapolis,IN,AT&T,redlining_grade_controls,-2.6493141614937454,0.06603129336190043,0.1251372034413247,2.023154352814987,True,0.05910591007942427,1.8951196784149005
"C(redlining_grade, Treatment('rest'))[T.D]",-0.4151769895609563,0.6602234177106893,0.09537386431216187,0.17312490148944282,3819,Jackson,MS,AT&T,redlining_grade_controls,-2.895993866186745,0.05235195624879381,0.035189945123303666,-0.6602234177106893,False,-0.017162011125490144,0.6721801369956341
"C(redlining_grade, Treatment('rest'))[T.D]",2.100693238615541,8.171832979593686,1.4504761737270832e-81,0.19202061950848237,15449,Kansas City,MO,AT&T,redlining_grade_controls,0.7471888471482119,0.678565854756933,0.9452091017958246,8.171832979593686,True,0.26664324703889164,1.3929511707222655
"C(redlining_grade, Treatment('rest'))[T.D]",1.00456299080124,2.7307136650453283,7.772374748910429e-05,0.15878889817985153,6252,Little Rock,AR,AT&T,redlining_grade_controls,-2.9212265455333033,0.05111417883078262,0.12823408547561221,2.7307136650453283,True,0.0771199066448296,2.5087771809880954
"C(redlining_grade, Treatment('rest'))[T.D]",0.01605637828813512,1.0161859746168216,0.7136858031007096,0.0497421567576547,35347,Los Angeles,CA,AT&T,redlining_grade_controls,-1.705221030005549,0.15378459806137526,0.15588572814055918,1.0161859746168216,True,0.002101130079183916,1.0136628121780138
"C(redlining_grade, Treatment('rest'))[T.D]",1.9014458477569287,6.695568219481002,2.2310884116298934e-51,0.17957426202038596,8750,Louisville,KY,AT&T,redlining_grade_controls,-0.7576835382098298,0.3191494062808945,0.7583697337244875,6.695568219481002,True,0.43922032744359296,2.3762216654635413
